StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
49.921	-0.0815	-0.0020	1.0396	-1.3428	-1.0986	2.8076	0.0165	4.2572	79.3542	43.9200	160	33	-94	100559	0.64 
50.046	-0.0376	-0.0005	1.0205	1.5259	1.3428	-5.0049	0.0165	4.1144	79.3268	43.9300	159	34	-91	100559	0.64 
50.124	-0.0835	0.0000	1.0244	1.0376	5.3101	0.6104	0.1703	4.4934	79.0411	43.9400	159	32	-95	100559	0.64 
50.203	-0.0415	-0.0142	1.0205	-2.1973	0.0000	4.6387	-0.0110	4.6307	79.2334	43.9400	156	31	-94	100559	0.64 
50.327	-0.0278	-0.0503	1.0015	-0.5493	15.0146	11.0474	-0.2856	4.8889	80.1178	43.9500	160	31	-95	100559	0.64 
50.421	-0.0527	-0.0625	0.9731	7.2021	5.2490	-9.3384	-0.2307	5.9106	80.5243	43.9400	166	32	-90	100558	0.64 
50.546	-0.0381	-0.0195	1.3140	-2.5024	27.9541	40.5273	0.9229	8.2452	81.3153	43.9100	169	29	-87	100558	0.64 
50.655	-0.0488	0.2080	0.9102	15.3809	29.3579	11.2915	2.3016	9.5636	82.1393	43.9600	175	23	-79	100558	0.64 
50.734	-0.0576	0.1455	0.9976	-1.8311	13.9771	16.7847	3.6969	11.7938	83.2159	43.9400	181	18	-75	100558	0.64 
50.828	-0.1035	0.0786	1.0991	-12.5732	19.1650	14.9536	3.2080	12.8046	84.7650	43.9600	184	17	-69	100558	0.64 
50.952	-0.0664	0.0566	1.1958	-4.8218	-2.0752	-5.6152	2.2797	13.0298	84.9957	43.9400	188	14	-65	100558	0.64 
51.077	-0.2769	0.2607	1.2319	-4.8828	-2.8076	33.9355	2.6862	12.5354	84.7211	43.9400	187	13	-61	100558	0.64 
51.140	-0.3203	-0.0313	0.8081	-4.8218	-12.8174	-33.1421	1.0052	11.8872	84.5782	43.9500	195	15	-65	100558	0.64 
51.218	-0.1714	-0.0371	0.8901	-21.4233	-24.2310	8.7280	-0.1538	10.8820	84.1443	43.9600	191	18	-68	100558	0.64 
51.343	-0.1748	-0.1777	0.9873	-15.4419	1.0986	11.1694	-2.2852	10.0305	85.0397	43.9400	188	23	-73	100558	0.64 
51.437	-0.0186	-0.0938	0.9321	6.7749	0.0000	-11.7188	-2.8400	9.5306	84.9518	43.9400	190	22	-74	100558	0.64 
51.546	-0.0815	0.0073	1.0488	14.5264	-20.7520	-5.1270	-2.0105	8.1738	83.5400	43.9400	192	24	-81	100559	0.64 
51.687	-0.1455	-0.0820	1.3657	-7.6904	-11.0474	-1.7700	-1.7139	6.0864	84.1882	43.9400	187	25	-85	100559	0.64 
51.749	-0.2217	0.2183	0.6348	0.4272	8.9722	19.5313	-1.9885	5.1855	83.4027	43.9300	180	24	-90	100559	0.64 
51.858	-0.2158	0.2056	0.9053	35.7666	-19.8364	-40.5884	-0.2966	7.1246	82.2327	43.9300	187	27	-92	100559	0.64 
51.999	-0.0493	-0.0552	0.8857	0.0000	9.1553	-12.5732	1.6095	6.6248	80.3320	43.9300	185	30	-93	100559	0.64 
52.093	0.0039	0.0991	0.8989	-11.9019	6.7139	-20.9961	0.7196	7.0642	78.2996	43.9100	183	30	-93	100559	0.64 
52.155	-0.2041	0.2065	1.2559	-1.6479	14.0381	-23.5596	-0.4944	7.9541	75.6903	43.9300	184	38	-90	100559	0.64 
52.249	-0.5308	0.2119	1.3813	6.7749	20.9961	22.7051	0.2472	8.1024	76.4099	43.9200	185	42	-90	100559	0.64 
52.374	-0.3555	-0.2485	1.0552	-2.5024	5.0659	23.0713	0.0604	9.4098	79.7058	43.9100	189	38	-85	100559	0.64 
52.468	-0.1875	-0.1060	0.8809	-18.7378	-2.7466	26.9165	-0.3680	9.1681	81.2494	43.9200	191	33	-90	100559	0.64 
52.562	-0.0830	-0.0669	0.9453	-7.2632	1.7090	11.7188	-1.5271	8.1793	82.8809	43.9100	195	28	-89	100559	0.64 
52.718	0.0103	-0.0229	0.9390	0.0610	4.5776	3.1128	-1.7853	8.1079	83.7433	43.9100	192	27	-93	100559	0.64 
52.780	-0.1567	-0.1538	1.3516	-3.4180	-10.4980	11.1694	-1.8951	8.3386	85.3528	43.9100	195	25	-90	100559	0.64 
52.877	-0.5664	-0.1841	0.8442	-13.1226	-26.2451	2.0142	-2.3895	7.8607	85.9406	43.9100	197	21	-97	100559	0.64 
52.971	-0.3521	-0.3491	1.1318	13.0005	1.7090	26.4282	-2.1588	8.2837	87.5006	43.9100	195	20	-93	100559	0.64 
53.065	-0.0688	0.0942	0.7964	22.5830	7.2021	-18.4937	0.0879	7.5256	86.2921	43.9200	196	16	-96	100559	0.64 
53.236	-0.0239	0.1299	0.9219	-0.1831	3.4790	-18.7378	1.1810	7.9376	83.9795	43.9200	195	15	-102	100559	0.64 
53.283	-0.1494	0.1436	1.2261	-0.7324	13.3667	-26.9775	0.7416	8.2452	81.6614	43.9100	199	25	-96	100559	0.64 
53.361	-0.6860	0.1641	1.3584	12.9395	14.0991	22.8882	2.0105	8.9648	81.8976	43.9300	198	26	-96	100559	0.64 
53.471	-0.2554	0.0781	0.9409	4.3335	9.2773	-13.7939	2.2028	8.8330	81.5021	43.9200	202	23	-100	100558	0.64 
53.611	-0.0962	-0.1714	0.8467	-26.4282	-12.2070	17.8223	0.4395	9.0033	81.7053	43.9000	202	23	-100	100558	0.64 
53.689	-0.0679	-0.1470	0.8770	-13.1226	1.5259	16.9067	-1.2854	8.3936	83.5950	43.9000	203	24	-102	100558	0.64 
53.815	0.0151	0.0420	0.9907	1.7090	14.0381	21.2402	-1.6479	8.4540	84.7650	43.9000	202	22	-99	100558	0.64 
53.878	-0.0347	-0.1558	1.3784	-1.8921	-1.2817	6.8970	-1.1206	8.9923	87.6489	43.9100	210	14	-94	100559	0.64 
54.002	-0.3667	0.0215	0.7104	-20.2637	-30.0293	5.4321	-2.2906	9.3823	87.8906	43.9100	215	13	-94	100559	0.64 
54.096	-0.3232	-0.3047	1.0244	18.4326	-6.4087	-0.8545	-1.8842	9.5581	89.2035	43.9100	211	8	-98	100559	0.64 
54.205	-0.0552	0.0830	0.8164	20.1416	-1.8311	-36.8652	0.1923	8.2617	86.1658	43.8900	210	10	-103	100559	0.64 
54.284	0.0298	0.1431	0.9155	-0.7935	17.6392	-25.8179	1.0986	8.2343	82.8204	43.9000	207	17	-108	100559	0.64 
54.408	-0.0410	0.3066	1.3818	9.5215	0.4272	-22.2778	0.7416	9.5197	79.9805	43.8900	209	26	-102	100559	0.64 
54.518	-0.7158	0.1895	1.0732	2.6855	3.4180	12.5122	1.4941	10.7007	79.9860	43.9100	213	29	-97	100559	0.64 
54.611	-0.3154	0.0962	1.0200	1.1597	-2.0752	-11.7798	1.7249	10.7831	80.9857	43.9000	213	20	-102	100559	0.64 
54.706	-0.0806	-0.1431	0.7852	-24.7803	-14.6484	21.0571	0.0989	9.8767	81.8481	43.9000	214	26	-106	100559	0.64 
54.815	-0.0576	-0.1865	0.9463	-8.2397	8.0566	4.4556	-1.4777	9.7559	83.7103	43.9000	217	25	-106	100559	0.64 
54.924	-0.2207	0.0527	1.2417	-1.2817	2.8076	13.0005	-1.5875	9.8712	83.4631	43.9100	218	27	-101	100559	0.64 
55.018	-0.5747	-0.2119	1.4727	-14.4653	11.7188	-21.9727	-2.2742	9.4537	84.0784	43.9200	218	26	-103	100559	0.64 
55.115	-0.2715	0.1445	0.8691	-6.4697	11.9629	45.5322	-2.3566	9.5471	83.8477	43.9100	215	32	-110	100559	0.64 
55.210	-0.1108	0.1543	0.8164	18.2495	-13.1836	-8.9111	-1.4392	9.7339	85.6879	43.9100	219	25	-108	100559	0.64 
55.319	-0.0601	0.1387	0.7319	-5.1270	21.3623	1.4648	0.0055	9.7723	85.2759	43.9100	216	23	-107	100559	0.64 
55.428	0.0132	-0.0806	1.1602	-4.4556	6.5918	-9.8267	-0.8789	11.2500	84.6277	43.9000	224	27	-102	100559	0.64 
55.506	-0.4121	0.0293	1.4917	9.3994	17.6392	2.7466	-0.6427	12.3871	83.1940	43.8900	223	30	-96	100558	0.64 
55.631	-0.2363	-0.3535	0.7368	-3.3569	-11.7188	11.2915	0.0165	13.9911	85.3693	43.9100	230	27	-93	100558	0.64 
55.740	-0.2583	-0.0469	0.8438	-12.6953	-31.5552	9.8877	-0.8624	12.9309	84.2212	43.8900	227	35	-91	100559	0.64 
55.818	-0.1948	-0.0835	0.8901	-7.8125	-15.1978	7.2632	-1.8567	10.5579	85.0177	43.9100	224	35	-104	100558	0.64 
55.928	0.0542	0.0571	0.9893	6.1646	10.0708	5.0659	-2.0160	8.8824	85.2924	43.9100	217	34	-104	100558	0.64 
56.038	-0.0620	-0.1372	1.2871	-3.1738	-1.7700	1.8311	-1.6809	9.2615	86.4240	43.8900	217	32	-102	100558	0.64 
56.194	-0.5151	0.1099	0.7207	-19.2871	-29.4800	3.6011	-2.9663	9.5966	85.8527	43.9000	217	35	-103	100558	0.64 
56.241	-0.3345	-0.3647	1.0757	10.9863	8.1787	12.1460	-2.7795	9.9756	88.1213	43.9000	213	35	-104	100558	0.64 
56.319	-0.0918	0.0630	0.8862	19.9585	1.5259	-27.0386	-0.7910	9.3274	85.5780	43.9100	210	30	-109	100558	0.64 
56.444	0.0254	0.0718	0.8877	2.6855	8.1787	-25.2075	0.1703	9.3329	82.6282	43.9000	205	38	-106	100557	0.64 
56.522	-0.1821	0.2690	1.3018	-0.3662	9.8267	-26.9775	-0.4230	10.0964	79.2114	43.9000	201	46	-99	100557	0.64 
56.647	-0.7671	0.2109	1.4150	13.6719	31.4941	25.3296	0.4559	11.1786	79.5135	43.9200	197	48	-98	100557	0.64 
