StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1375.978	-0.2202	-0.0703	1.0156	0.1831	1.0986	0.7324	-3.9880	11.5411	81.0022	43.4100	184	35	-88	100549	0.65 
1376.056	-0.1948	-0.0796	1.0146	0.6104	1.0986	0.6104	-3.9716	11.6675	80.9143	43.4300	188	35	-82	100549	0.65 
1376.181	-0.1631	-0.0635	1.0195	0.1831	0.1221	0.0000	-3.9496	11.7499	80.8374	43.4300	189	36	-84	100549	0.65 
1376.321	-0.1743	-0.0972	1.0215	-0.6714	7.2021	-1.7700	-4.0924	11.8982	80.6726	43.4200	190	34	-82	100549	0.65 
1376.360	-0.1475	-0.0659	1.0088	1.2207	9.9487	6.8359	-3.9880	12.6233	80.7550	43.4300	189	36	-83	100549	0.65 
1376.485	-0.1123	-0.0869	0.9551	-0.6714	20.9351	5.7983	-3.7628	14.0680	81.2988	43.4400	196	33	-76	100548	0.65 
1376.568	-0.2002	0.0220	0.9360	-5.1270	40.3442	10.9253	-3.8013	17.1442	81.6614	43.4600	200	33	-70	100548	0.65 
1376.693	-0.2876	-0.0430	1.0391	-11.9019	10.6812	45.7153	-3.4222	20.4785	84.2267	43.4500	206	29	-57	100548	0.65 
1376.787	-0.1680	-0.1694	1.1284	5.8594	21.5454	23.9868	-3.0322	22.1814	87.6599	43.4300	216	19	-48	100548	0.65 
1376.896	-0.3545	-0.0571	1.0962	6.8970	70.1904	16.2354	-1.3788	25.1257	89.6210	43.4300	224	9	-40	100549	0.65 
1376.990	-0.2896	0.0723	1.3076	5.6152	27.5269	30.3955	0.2856	29.2896	91.0052	43.4500	231	5	-25	100550	0.65 
1377.084	-0.3257	0.0327	-0.2070	-18.3105	-28.9307	-12.5732	0.0165	27.3615	91.5051	43.4200	234	0	-17	100550	0.65 
1377.193	-0.9326	-0.5122	2.0464	3.1738	53.6499	22.0947	1.5106	31.2561	93.6310	43.4000	240	-6	-14	100550	0.65 
1377.303	-0.8130	-0.1558	1.7695	7.8125	-37.4756	-130.1270	-3.7024	30.3278	84.9463	43.4100	243	1	-11	100551	0.65 
1377.397	-0.2290	0.3242	-0.4063	42.4194	-40.3442	-35.7666	-3.7024	22.3682	76.3989	43.3800	233	32	-29	100551	0.65 
1377.521	-0.2754	0.5083	-0.4419	29.5410	-13.1226	4.7607	3.0487	20.6488	77.0197	43.3700	226	44	-44	100551	0.65 
1377.615	-0.5483	0.4590	1.6768	-8.7280	-16.0522	68.2983	1.3733	26.6473	76.8549	43.3600	232	46	-34	100552	0.65 
1377.709	-0.4058	0.0073	1.1479	3.4180	-89.7827	98.5718	5.6085	24.5105	87.6984	43.3500	236	29	-31	100552	0.65 
1377.850	-0.2520	-0.3096	0.0415	-14.8315	-53.5889	-20.6909	4.3176	15.8588	92.5653	43.3100	238	3	-50	100552	0.65 
1377.912	-1.1387	0.2324	2.3032	23.4375	134.7656	33.0200	1.6205	15.1941	90.8240	43.3000	228	6	-66	100552	0.65 
1378.022	-0.9912	-0.2080	2.1284	-4.8828	38.8794	-113.6475	-0.2802	16.8201	86.7316	43.2900	232	8	-57	100553	0.64 
1378.162	-0.2397	0.3491	-0.2749	16.2964	-13.3057	11.5967	2.6422	11.1841	82.4304	43.2900	226	28	-72	100553	0.64 
1378.318	-0.6216	0.2842	0.0522	0.6104	48.9502	53.5278	7.2235	8.6792	83.9630	43.2600	228	24	-79	100553	0.64 
1378.365	0.0850	0.3384	1.3218	-24.9023	7.8735	92.4072	6.2073	14.8810	84.6552	43.2700	241	27	-67	100553	0.64 
1378.412	0.2124	0.1279	0.2412	-5.9204	-114.5630	88.4399	6.8829	11.5796	93.1970	43.2500	247	1	-61	100553	0.64 
1378.537	0.0269	0.0845	0.0581	-15.9302	-28.9307	-25.2686	1.9720	6.2402	94.9109	43.2300	242	-9	-87	100553	0.64 
1378.662	-1.9712	-0.6943	3.5537	17.9443	-1.4038	0.1831	1.4612	11.2390	92.3236	43.2200	246	-1	-82	100553	0.64 
1378.741	-1.3833	-0.0054	2.2168	2.0142	-31.7383	-86.1206	-0.1593	11.8048	85.0781	43.2100	251	11	-72	100553	0.64 
1378.912	-0.1899	0.3569	-0.2441	6.4087	-31.3721	21.9727	2.7905	4.8450	81.9690	43.1900	244	32	-86	100553	0.64 
1379.006	-0.7358	0.1816	0.4355	-16.4795	95.0928	52.7954	5.0482	4.5868	84.8749	43.1900	243	35	-103	100553	0.64 
1379.037	0.0527	-0.1958	1.2036	-20.2637	11.4136	67.9321	2.7356	8.9703	86.2042	43.1900	251	33	-81	100553	0.64 
1379.178	0.5400	0.3022	-0.3213	0.0000	-81.3599	66.5283	4.9933	6.2238	92.3785	43.1700	254	23	-77	100553	0.64 
1379.240	-0.0264	0.0225	0.1221	-14.8315	-41.6260	-9.0332	2.5983	3.4113	93.4662	43.1700	248	19	-92	100553	0.64 
1379.366	-1.7490	-0.5298	3.6504	8.9722	-4.0283	8.0566	1.7303	9.6295	91.9391	43.1600	247	28	-83	100553	0.64 
1379.490	-0.9136	-0.1099	1.8418	-9.5215	-58.5327	-56.2744	-0.2252	10.6293	85.1001	43.1600	244	39	-78	100552	0.64 
1379.584	-0.1328	0.4873	-0.0850	9.8267	4.8828	8.7280	2.1204	4.8724	80.6396	43.1000	224	66	-87	100553	0.64 
1379.725	-0.4985	0.4565	0.0186	0.3662	53.3447	79.2847	4.5209	2.0544	83.7982	43.1200	213	63	-97	100552	0.64 
1379.803	0.3262	0.4189	1.4536	-12.6343	-4.8218	69.7021	3.0048	8.7781	84.7705	43.1200	215	58	-81	100552	0.65 
1379.897	-0.1099	0.0239	0.7695	13.0005	-93.4448	35.2173	4.5868	7.9376	90.7416	43.1000	216	39	-71	100552	0.64 
1379.975	-0.1455	0.1187	-0.0098	3.9063	-26.8555	-66.8335	1.4941	0.7526	89.0826	43.0800	199	31	-87	100552	0.64 
1380.131	-0.8501	-0.0703	2.7637	7.4463	193.6646	36.0107	1.9611	3.1915	86.9897	43.0900	187	33	-91	100552	0.65 
1380.209	-0.6694	-0.1592	1.8027	-1.5869	88.6230	-117.7979	1.1151	2.0435	83.3368	43.0700	180	32	-89	100552	0.65 
1380.303	0.1626	0.1377	0.1577	10.0708	-51.8799	-24.5972	1.1755	-1.7413	78.2391	43.0400	166	41	-90	100552	0.65 
1380.382	-0.2388	-0.0083	0.0098	6.5308	-47.1802	65.5518	6.0370	-6.3501	79.4641	43.0600	156	31	-107	100552	0.65 
1380.537	-1.6133	0.2300	2.0854	46.2646	-113.2202	-73.3643	3.5541	-2.0215	81.8152	43.0400	161	16	-102	100551	0.65 
1380.616	-0.7119	-0.6641	1.4800	3.9063	-25.2686	52.7344	2.8674	-4.0924	85.9900	43.0200	160	15	-101	100552	0.65 
1380.710	0.0376	0.0029	0.3066	15.8691	-22.2168	-80.0781	3.1860	-8.5748	82.8369	43.0100	152	14	-109	100551	0.65 
1380.804	-0.1157	-0.0928	1.0107	7.1411	5.7983	-42.5415	5.8228	-8.8934	77.1790	43.0100	147	17	-114	100551	0.65 
1380.944	-0.5576	-0.0234	1.4575	14.5264	-5.0049	12.5122	6.7126	-6.8939	74.9048	43.0200	142	22	-115	100551	0.65 
1381.023	-0.1938	-0.1519	0.9492	2.3193	26.0620	-19.7754	6.7731	-5.9271	76.5363	43.0200	141	18	-114	100551	0.65 
1381.117	-0.3193	-0.0337	1.0688	-9.5825	20.4468	8.8501	6.0480	-1.4832	76.4923	43.0300	146	18	-109	100550	0.65 
1381.212	-0.1606	-0.1929	0.9644	-5.1880	15.3809	2.5635	4.0594	0.5933	78.2776	43.0300	153	16	-102	100550	0.65 
1381.336	-0.1362	-0.1289	1.0234	3.6011	9.3384	-6.7139	3.4332	1.9940	78.9423	43.0300	159	15	-99	100550	0.65 
1381.399	-0.2598	-0.0063	1.0493	-2.6855	16.1133	-1.7090	3.1036	3.9606	78.8269	43.0400	165	16	-95	100550	0.65 
1381.524	-0.1870	-0.1475	1.0059	-6.4697	9.7656	6.7139	2.1643	5.1746	79.9915	43.0500	167	13	-91	100550	0.65
