11 steps
StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1403.597	-0.1729	-0.1050	1.0405	-2.2583	-1.0376	8.9111	-4.0594	11.4368	79.7113	43.3200	188	45	-83	100549	0.65 
1403.722	-0.1729	-0.0815	1.0210	0.3052	-3.7842	5.1270	-4.1418	11.0742	80.1178	43.3000	184	45	-85	100549	0.65 
1403.800	-0.1025	-0.0786	0.9854	0.6104	3.7842	9.3994	-3.9551	11.0248	80.5902	43.3200	184	43	-88	100549	0.65 
1403.894	-0.1104	-0.1108	0.9805	-1.2817	6.4697	3.9063	-3.9276	11.6290	81.0791	43.3200	186	43	-78	100549	0.65 
1404.019	-0.0801	-0.0908	0.9736	-1.0376	18.9819	-9.1553	-4.2133	12.4805	80.4803	43.3400	192	42	-78	100549	0.65 
1404.098	-0.2100	0.0962	0.8286	-4.5776	50.1099	19.2871	-4.1144	15.5292	79.9915	43.3300	195	39	-74	100549	0.65 
1404.238	-0.1943	-0.1948	0.8618	6.5918	35.4004	-0.2441	-3.9386	20.1654	81.3977	43.3400	207	36	-59	100549	0.65 
1404.331	-0.3081	0.2969	0.8560	22.2168	49.2554	40.8325	-1.3843	25.1917	81.8866	43.3400	215	30	-40	100549	0.65 
1404.425	-0.3145	0.1543	1.7002	23.1934	61.0962	9.3994	2.1313	29.6576	85.1550	43.3400	224	21	-27	100550	0.65 
1404.535	-0.3018	0.0923	1.5317	-33.7524	-12.3291	88.9893	5.7458	29.9762	91.6205	43.3300	236	8	-17	100550	0.65 
1404.613	-0.6533	-0.2959	-0.0405	-31.5552	12.6343	-9.4604	-0.3735	26.3672	93.9825	43.3200	234	-3	-21	100550	0.65 
1404.738	-0.6587	0.0864	1.1694	-13.9771	44.7998	30.8838	-0.4669	29.3719	95.6360	43.3000	241	-8	-19	100550	0.65 
1404.847	-1.0220	-0.4209	2.3374	4.2725	43.7012	-119.3848	-4.8560	32.9810	92.6697	43.2800	249	-12	-6	100551	0.65 
1404.925	-0.1025	0.1182	-0.2188	45.2271	-111.0229	-94.6045	-9.4702	25.7245	80.7166	43.2600	245	17	-14	100552	0.65 
1405.050	-0.1191	0.0947	0.0083	4.4556	-65.3687	22.7051	-1.8896	20.3906	80.7880	43.2200	236	34	-42	100552	0.65 
1405.144	-0.9570	0.1362	3.1484	-1.9531	87.8296	-29.9072	-0.9448	24.3512	80.7715	43.2200	236	34	-43	100552	0.65 
1405.223	-0.8345	-0.1816	2.1719	19.6533	-13.3667	108.0322	2.4939	23.7415	87.6324	43.2100	239	20	-34	100552	0.65 
1405.348	-0.5063	-0.2686	-0.3770	-36.6211	-39.7949	25.7568	5.4108	14.6008	96.1578	43.1700	236	-1	-49	100552	0.64 
