StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
636.638	-0.1680	-0.1001	1.0146	0.0000	-0.9766	0.6714	-5.5426	9.2230	-12.5574	44.0000	-24	151	-62	100555	0.64 
636.778	-0.1621	-0.0991	1.0117	0.0000	-0.5493	2.1973	-5.5151	9.1901	-12.4915	43.9900	-23	150	-60	100555	0.64 
636.841	-0.1572	-0.1167	1.0127	0.9155	1.1597	0.0000	-5.5096	9.2175	-12.4750	44.0000	-22	147	-63	100555	0.64 
636.966	-0.1563	-0.1094	1.0107	0.4272	5.3101	1.7700	-5.4877	9.5142	-12.4915	44.0100	-24	150	-61	100555	0.64 
637.029	-0.1318	-0.1060	1.0176	1.0376	8.6670	3.7842	-5.4382	10.1569	-12.3596	44.0000	-22	150	-62	100555	0.64 
637.137	-0.2119	0.0093	0.9497	-1.7700	12.4512	7.0801	-5.2130	10.8710	-12.2388	44.0000	-21	151	-66	100554	0.64 
637.232	-0.3682	0.0688	1.2339	-15.4419	7.4463	50.2319	-5.1636	12.7002	-9.2780	44.0200	-14	147	-64	100554	0.64 
637.325	-0.0127	-0.2671	0.9463	-1.5259	3.6621	25.0854	-5.2240	12.4585	-4.3781	44.0200	2	153	-54	100554	0.64 
637.450	-0.1055	-0.0273	1.0005	7.2021	14.8315	5.1880	-4.6747	13.6395	-3.1696	44.0200	12	153	-58	100555	0.64 
637.591	-0.1851	-0.0151	1.0308	1.9531	13.3667	9.0942	-3.8342	15.0348	-2.1368	44.0300	17	151	-58	100555	0.64 
637.653	-0.1982	-0.0659	1.1260	18.1274	19.3481	-16.5405	-3.1256	15.9082	-2.1588	44.0400	21	153	-54	100556	0.64 
637.716	-0.7129	0.1484	1.5474	3.6621	56.5186	18.2495	-1.2195	19.8193	-1.9830	44.0400	24	153	-61	100556	0.64 
637.841	-0.4375	-0.3242	0.6460	0.8545	18.0054	-13.7329	-1.3403	21.6486	-1.5106	44.0300	36	147	-63	100556	0.64 
637.935	-0.4229	0.0474	0.9683	-10.4370	-4.6387	-5.5542	-3.0267	23.3350	-4.0594	44.0300	40	149	-62	100556	0.64 
638.059	-0.2861	-0.1938	0.7808	-15.8081	8.4229	-2.7466	-4.9658	22.7197	-3.2574	44.0300	40	150	-61	100555	0.64 
638.184	-0.3140	-0.0518	0.7852	-7.3242	0.7324	2.8076	-5.9930	22.8900	-2.9938	44.0200	43	150	-60	100555	0.64 
638.247	-0.3823	-0.2534	1.0771	-5.6152	-5.7983	0.7935	-6.7291	22.6978	-1.5656	44.0400	46	158	-60	100556	0.64 
638.356	-0.3989	-0.2759	1.2192	0.4272	6.8359	-14.5874	-7.6190	21.6211	-2.1039	44.0300	45	156	-59	100556	0.64 
638.419	-0.5703	0.1455	0.7251	-2.1362	3.9673	16.6626	-7.8333	23.0438	-2.2797	44.0300	49	156	-57	100556	0.64 
638.528	-0.4482	-0.1592	0.9390	8.8501	-4.3945	2.2583	-6.6083	23.2471	-0.9558	44.0300	53	157	-59	100555	0.64 
638.653	-0.2881	0.0542	0.6943	2.2583	0.8545	7.7515	-5.0427	23.1262	-0.2856	44.0200	52	157	-62	100555	0.64 
638.747	-0.3125	-0.1382	0.8135	5.1880	15.1978	2.5635	-4.1968	23.7689	1.5491	44.0100	59	158	-70	100555	0.64 
638.857	-0.3237	-0.0469	1.0513	13.6719	0.9155	-18.6157	-3.7299	24.0271	0.6866	43.9900	57	155	-68	100554	0.64 
