StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
94.237	-0.3364	-0.0186	0.9580	0.1831	-0.7324	1.5869	-0.9723	19.5502	94.1418	43.8900	304	-12	-57	100551	0.65 
94.362	-0.3403	-0.0132	0.9604	-1.0376	0.7935	0.6104	-0.8844	19.5392	94.2407	43.8900	305	-9	-61	100551	0.65 
94.455	-0.3550	-0.0229	0.9780	0.1831	0.9766	-2.8687	-1.0931	19.6930	93.9606	43.8900	306	-10	-57	100551	0.65 
94.581	-0.3438	-0.0063	0.9614	-0.4272	1.2207	0.5493	-1.0382	19.7754	93.8013	43.9000	300	-11	-56	100551	0.65 
94.659	-0.3579	-0.0244	0.9619	-0.8545	-0.5493	1.2207	-1.0492	19.9402	93.8397	43.9100	302	-11	-56	100551	0.65 
94.784	-0.3633	-0.0078	0.9365	0.0610	1.9531	-2.1362	-1.1206	20.0775	93.6694	43.9200	303	-12	-51	100551	0.65 
94.878	-0.5767	-0.0503	0.8398	-2.1973	34.4238	16.2354	-0.6537	22.8900	94.5428	43.9400	305	-12	-49	100551	0.65 
94.987	-0.1821	0.0566	0.3779	6.9580	33.4473	-8.7280	-0.8130	25.5597	94.7021	43.9200	311	-16	-37	100551	0.65 
95.066	-0.2378	-0.0640	0.6133	-3.6621	48.4619	21.8506	0.4614	28.8776	94.7186	43.9100	310	-15	-22	100551	0.65 
95.222	-0.3486	0.0059	0.7100	1.7700	7.9346	-20.1416	-0.1868	31.8054	94.8230	43.9200	320	-21	-2	100551	0.65 
95.300	-0.7939	0.0313	1.2290	2.0142	32.2266	8.7891	0.2472	34.7278	95.6305	43.9200	318	-19	10	100551	0.65 
95.472	-0.5850	-0.1021	0.9824	-1.8921	-12.0850	-18.2495	-0.5658	32.9041	94.8010	43.9100	320	-25	11	100552	0.65 
95.550	-0.8184	-0.0215	1.3062	-3.0518	-20.5078	-5.1880	-0.5273	30.9265	94.3286	43.9100	322	-21	0	100553	0.64 
95.597	-1.3896	-0.0562	1.9121	-1.4038	5.3101	10.0708	-0.6097	29.6960	94.7900	43.9100	321	-24	-15	100554	0.64 
95.847	-0.8784	0.0801	1.5391	13.6108	72.4487	-11.7188	-1.2579	35.3979	92.5269	43.9000	327	-22	6	100554	0.64 
95.878	-0.6885	-0.0327	1.3794	18.5547	-1.5259	7.6294	0.2747	38.6938	92.1753	43.8800	328	-16	28	100554	0.64 
96.003	-1.1074	0.1655	1.5039	2.6855	-41.5039	-7.6904	1.0272	35.9473	92.1698	43.8500	329	-8	25	100554	0.64 
96.050	-0.1099	-0.1494	0.1528	-9.8267	-67.0166	40.4663	1.7908	28.2239	94.0649	43.8200	325	-6	-6	100554	0.64 
96.222	-0.2275	0.0693	-0.2466	-19.1040	94.6045	-11.4136	-4.1968	22.6044	91.4172	43.7800	314	-7	-51	100553	0.64 
96.269	0.0894	-0.0918	-0.0762	5.3101	-63.5986	3.5400	-4.9054	21.2860	90.6317	43.7600	317	-1	-54	100553	0.64 
96.362	-0.2256	0.0679	-0.0649	-5.8594	54.1382	13.3667	-6.0480	21.1542	89.2749	43.7700	319	-5	-67	100552	0.65 
96.456	0.3901	0.0254	0.4390	-7.5073	-9.9487	31.0059	-6.1798	22.9010	89.5990	43.7700	321	-5	-53	100551	0.65 
96.628	-0.9297	-0.2080	3.5308	8.2397	30.5786	-35.2173	-8.7122	30.1959	86.6272	43.7600	327	-3	-22	100551	0.65 
96.675	-0.1987	-0.0898	-0.4424	-5.9204	37.7808	64.0259	-5.7019	21.2311	87.4292	43.7400	313	4	-38	100550	0.65 
96.784	-0.1753	0.2793	0.5366	-0.9766	-92.1021	-8.0566	-6.3995	24.2523	86.1108	43.7500	316	4	-34	100550	0.65 
96.863	-0.6807	-0.1621	1.2197	3.9673	25.8789	-15.8691	-5.0977	23.4943	87.1161	43.7300	317	3	-49	100550	0.65 
97.050	-0.4375	0.1470	1.1143	1.4038	-24.7192	23.2544	-4.3506	22.1814	86.9788	43.7700	314	6	-51	100550	0.65 
97.081	-0.3857	-0.1396	0.9180	-8.3008	5.2490	10.0098	-3.6914	21.5167	89.2694	43.7500	314	2	-54	100550	0.65 
97.191	-0.2598	0.0933	0.8560	-6.7749	-31.4941	4.3335	-4.2133	19.4073	89.8901	43.7400	307	0	-54	100549	0.65 
97.253	-0.3794	-0.0952	1.0508	-0.9766	1.6479	1.1597	-4.3671	19.2096	90.2747	43.7600	305	-1	-63	100549	0.65 
97.425	-0.3203	0.0142	0.9902	-0.5493	-2.0142	3.6621	-3.9056	18.8635	90.8350	43.7500	303	-1	-66	100549	0.65 
97.472	-0.3120	-0.0337	0.9619	-3.1128	0.1831	5.9204	-3.7463	18.5834	91.3458	43.7400	304	-2	-67	100549	0.65 
97.613	-0.3271	-0.0146	0.9561	-2.0142	1.5259	3.5400	-3.6255	18.6823	91.8127	43.7900	305	-6	-66	100549	0.65 
97.676	-0.3452	-0.0313	0.9497	-0.1221	0.1221	2.1362	-3.4167	18.9679	92.2412	43.7900	305	-6	-63	100549	0.65 
97.800	-0.3369	-0.0034	0.9858	-5.1270	1.2817	24.0479	-2.9224	19.8688	93.2300	43.7900	308	-10	-63	100550	0.65 
97.879	-0.3179	-0.0103	0.9604	-0.6714	19.1040	-3.4790	-2.9883	20.3082	94.0485	43.8000	310	-14	-58	100550	0.65 
98.003	-0.3804	-0.0034	0.9561	2.1362	4.6997	-6.5308	-2.9608	21.5607	93.4113	43.7900	309	-15	-51	100550	0.65 
98.097	-0.4175	0.0005	0.9668	2.3193	6.5918	-3.5400	-2.7466	22.3517	92.8125	43.7900	310	-7	-49	100550	0.65 
98.222	-0.4443	-0.0127	0.9058	1.2207	11.5967	-3.9063	-2.6477	23.1262	92.2742	43.8000	310	-10	-47	100550	0.65 
98.300	-0.4595	0.0508	0.9424	1.0986	12.3901	-3.6621	-2.7026	24.7412	91.5491	43.8200	310	-6	-37	100549	0.65 
98.425	-0.4814	-0.0605	0.8096	-0.1221	26.4282	-9.4604	-2.8894	26.2848	90.9998	43.8400	317	-4	-31	100550	0.65 
98.503	-0.4658	0.0010	0.6699	9.3994	28.0151	-13.3057	-3.0432	29.7839	89.4012	43.8500	316	0	-19	100550	0.65 
98.644	-0.2827	0.1289	0.4351	9.3384	15.3809	13.4888	-1.6534	31.5033	89.0277	43.8500	318	0	-11	100550	0.65 
98.722	-0.5244	-0.0488	0.7764	-8.5449	11.5356	-8.6060	-1.3898	34.4037	89.7308	43.8400	323	-4	0	100550	0.65 
98.863	-0.4878	-0.0190	0.6885	-14.8315	-5.1270	14.4043	-2.1643	34.1235	90.1758	43.8400	322	-4	7	100551	0.65 
