StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
273.622	-0.2227	0.0493	1.0117	-0.0610	-0.0610	0.9766	2.4390	11.8378	100.4919	44.8300	223	-36	-53	100557	0.64 
273.778	-0.2158	0.0342	1.0620	1.0376	1.1597	4.3335	2.5104	11.8268	100.6403	44.8400	222	-39	-52	100557	0.64 
273.825	-0.2808	0.0483	1.0356	-4.3945	-25.6348	-3.2959	2.3346	10.8325	100.5084	44.8200	224	-37	-52	100557	0.64 
273.934	-0.2446	0.0532	1.0200	-8.9722	-26.0010	-3.7842	1.8347	8.2837	99.9811	44.8200	219	-34	-58	100557	0.64 
273.981	-0.1318	0.0503	1.0029	-15.9302	-51.1475	-3.7231	0.5988	4.2517	99.2560	44.8400	211	-28	-72	100557	0.64 
274.200	-0.0449	0.0352	1.0117	-18.3716	-62.9883	2.9297	-0.9833	-1.0986	99.0967	44.8400	197	-27	-85	100557	0.64 
274.231	0.0464	-0.0112	1.1167	-23.9868	-70.1294	10.1318	-2.8235	-7.1631	100.1019	44.8300	181	-23	-107	100557	0.64 
274.325	0.3359	-0.0947	0.8613	-32.3486	-91.9189	24.9023	-6.0205	-15.6665	102.1399	44.8400	162	-20	-129	100558	0.64 
274.387	0.4702	-0.2065	0.8418	-27.9541	-83.2520	18.9819	-10.3931	-23.5272	105.7214	44.8300	127	-15	-149	100558	0.64 
274.544	0.6021	-0.2710	0.7910	-28.1372	-82.1533	10.7422	-15.0073	-31.1572	109.1492	44.8300	101	-10	-163	100558	0.64 
274.606	0.8271	-0.3013	0.6401	-20.8130	-62.7441	-0.6104	-19.3359	-38.2159	111.9836	44.8300	71	-3	-175	100558	0.64 
274.762	0.8364	-0.3589	0.5186	-18.0664	-41.4429	3.5400	-22.4561	-42.7368	113.8568	44.8200	51	1	-179	100558	0.64 
274.840	0.8750	-0.4585	0.4443	-12.6953	-29.5410	3.7842	-24.8895	-44.5221	114.9445	44.8100	43	8	-178	100558	0.64 
274.950	0.4956	-0.3667	0.8589	1.8921	-13.6108	-7.2021	-24.4775	-44.4232	113.8074	44.8300	36	14	-182	100558	0.64 
275.075	0.7236	-0.3237	0.5054	4.0283	34.3628	-8.2397	-24.9554	-46.3733	114.4116	44.7900	34	12	-185	100558	0.64 
275.184	0.7236	-0.2573	0.7236	3.1738	10.2539	-2.4414	-23.1976	-44.4672	112.5714	44.8000	40	12	-186	100558	0.64 
275.263	0.6729	-0.2500	0.6802	-2.7466	-4.0283	3.3569	-22.5165	-44.2419	111.8793	44.8100	42	10	-185	100558	0.64 
275.403	0.6914	-0.2666	0.6875	0.2441	2.0752	-3.1738	-22.7032	-44.1705	111.8738	44.7900	45	14	-181	100558	0.64 
275.497	0.7119	-0.2656	0.6660	-2.3193	-4.6997	2.6855	-22.6263	-44.3848	111.6870	44.8000	45	12	-183	100558	0.64 
275.608	0.7324	-0.2944	0.6621	0.0000	4.0894	0.1221	-22.9120	-44.5660	111.8243	44.7900	42	13	-183	100558	0.64 
275.764	0.7075	-0.2690	0.6870	-0.1221	3.3569	0.8545	-22.7802	-44.1760	111.6650	44.7900	43	12	-183	100558	0.64 
275.811	0.7007	-0.2568	0.6831	-0.1831	-0.6104	-0.3052	-22.7252	-44.0222	111.5662	44.7900	43	15	-183	100557	0.64 
275.967	0.7056	-0.2720	0.6797	-0.9766	-1.1597	0.6714	-22.7527	-44.1046	111.4783	44.7900	44	14	-181	100558	0.64 
276.030	0.7148	-0.2739	0.6733	-0.4272	0.9766	0.4272	-22.8241	-44.1321	111.4563	44.7900	43	14	-183	100558	0.64 
276.170	0.7231	-0.2769	0.6772	0.0000	0.8545	-0.4883	-22.8351	-44.0222	111.4233	44.8000	44	13	-182	100558	0.64 
276.217	0.6943	-0.2651	0.6802	-0.5493	-1.6479	1.7090	-22.8790	-43.9124	111.5057	44.8000	43	10	-185	100557	0.64 
276.358	0.7041	-0.2754	0.6821	-0.3662	-0.1221	1.0376	-22.9065	-43.9288	111.5332	44.8000	44	12	-182	100557	0.64 
276.452	0.7080	-0.2734	0.6880	-0.3052	1.1597	0.1221	-22.9395	-43.8849	111.5387	44.7900	46	12	-183	100557	0.64 
276.561	0.7046	-0.2705	0.6802	-0.2441	0.3052	0.4272	-22.9669	-43.8354	111.5277	44.7900	45	11	-182	100557	0.64 
276.655	0.6997	-0.2705	0.6904	-0.1831	-0.4883	0.8545	-22.9395	-43.7915	111.4838	44.7900	47	14	-182	100557	0.64 
276.780	0.7051	-0.2671	0.6826	-0.3662	-0.4272	0.7324	-22.9724	-43.8519	111.4838	44.8000	45	12	-183	100557	0.64 
276.859	0.7388	-0.1875	0.6465	3.8452	-7.5684	-3.4180	-22.6428	-44.3463	111.3684	44.7800	42	13	-183	100557	0.64 
277.014	0.4658	-0.2476	0.7695	-2.5635	-26.2451	1.7090	-22.1320	-44.1101	110.9894	44.7800	41	11	-181	100557	0.64 
277.092	0.6699	-0.3911	0.2935	-1.5259	-42.2974	19.7754	-26.7133	-47.5049	116.4935	44.7800	33	12	-186	100557	0.64 
277.280	0.9829	-0.4658	0.6084	6.3477	21.4844	13.1226	-30.4047	-47.6917	121.0858	44.7900	24	12	-185	100557	0.64 
277.327	0.8486	-0.3564	0.4956	24.8413	71.8384	-12.1460	-27.6965	-44.1266	119.2401	44.7600	31	10	-182	100557	0.64 
277.420	0.4502	-0.2764	0.7051	37.3535	77.0874	-20.3247	-21.5826	-36.8811	114.3402	44.7800	59	2	-176	100558	0.64 
277.514	0.4653	-0.1333	0.8984	35.8276	73.4253	-32.2876	-14.8810	-30.4431	108.6877	44.7700	89	-6	-174	100558	0.64 
277.686	0.3057	-0.0708	0.9575	33.8135	72.3267	-17.3950	-9.1516	-23.4503	104.2932	44.7700	114	-15	-156	100558	0.64 
277.733	0.2217	-0.0464	0.9946	24.9634	80.5054	-10.4370	-5.1196	-15.8917	101.3708	44.7600	142	-22	-139	100558	0.64 
277.905	0.1338	0.0093	1.0098	14.3433	61.3403	-3.9673	-2.8235	-8.6353	100.0360	44.7500	166	-25	-117	100558	0.64 
278.031	0.0146	0.0073	0.9893	9.7656	50.9033	3.9063	-1.4941	-3.2025	99.8822	44.7500	184	-30	-105	100558	0.64 
278.047	-0.0820	0.0161	1.0679	7.2632	53.9551	9.0942	-0.5054	2.2467	100.5029	44.7600	199	-31	-89	100558	0.64 
278.141	-0.1870	0.0522	0.9863	5.0049	43.2739	7.0190	0.2087	7.1906	101.0193	44.7500	211	-36	-72	100558	0.64 
278.281	-0.3687	0.0425	0.9526	1.2817	39.4287	4.7607	0.8459	11.8323	101.9641	44.7500	227	-39	-56	100558	0.64 
278.390	-0.3062	0.0308	0.9766	7.6294	21.2402	-1.1597	1.4777	15.2106	102.1179	44.7500	231	-39	-46	100558	0.64 
278.453	-0.3267	0.0474	0.9980	3.9063	14.8315	-1.4648	1.9830	16.9794	101.8488	44.7300	232	-42	-39	100558	0.64 
278.625	-0.3506	0.0679	0.9927	5.5542	7.8125	1.7090	2.6532	18.3142	102.0081	44.7500	234	-41	-33	100558	0.64 
278.656	-0.3267	0.0645	0.9648	2.9907	6.4087	-1.6479	3.1586	18.8251	102.1069	44.7700	234	-43	-26	100558	0.64 
278.766	-0.3516	0.0850	0.9658	0.3662	0.9766	-2.0142	3.2904	19.1766	101.7773	44.7800	237	-42	-24	100558	0.64 
278.922	-0.3496	0.0654	0.9668	-0.1831	-0.4883	0.5493	3.3179	19.2480	101.6180	44.7700	236	-43	-25	100558	0.64 
278.969	-0.3535	0.0747	0.9697	-0.1221	-1.1597	0.9766	3.4222	19.2096	101.6785	44.7600	235	-42	-25	100558	0.64 
279.093	-0.3433	0.0659	0.9663	-0.3052	-1.0376	-0.0610	3.4662	19.1492	101.6510	44.7800	233	-43	-25	100558	0.64 
279.234	-0.3462	0.0635	0.9731	0.0000	-1.0376	0.0000	3.4772	19.1162	101.5411	44.7800	235	-43	-24	100558	0.64 
279.297	-0.3330	0.0752	0.9629	0.0000	-1.5869	1.4038	3.5486	18.9569	101.5796	44.7700	236	-44	-25	100558	0.64 
279.484	-0.3457	0.0713	0.9780	-0.4272	-1.4648	0.7935	3.6365	18.9020	101.6840	44.7800	235	-43	-27	100557	0.64 
279.515	-0.3340	0.0688	0.9722	-0.0610	-0.3052	-0.3052	3.6145	18.8031	101.5961	44.7900	234	-40	-23	100558	0.64 
279.640	-0.3467	0.0669	0.9707	-0.1831	-0.5493	0.0000	3.5925	18.7537	101.5411	44.7800	235	-43	-24	100558	0.64 
