StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
426.325	-0.2339	-0.0742	1.0132	-0.6104	-1.0376	1.1597	-4.2847	12.5354	172.2052	45.2100	63	-152	-170	100567	0.63 
426.419	-0.2271	-0.0752	1.0137	-0.4883	-1.0376	-0.4883	-4.3286	12.4146	172.1997	45.2100	59	-153	-170	100567	0.63 
426.513	-0.2231	-0.0757	1.0156	0.0610	-1.0376	0.1831	-4.3451	12.3212	172.1613	45.2200	61	-152	-171	100567	0.63 
426.622	-0.2163	-0.1074	1.0137	-0.2441	-0.2441	-2.5024	-4.4055	12.2058	172.0239	45.2100	59	-154	-167	100567	0.63 
426.732	-0.1763	-0.1270	1.0220	0.8545	-6.8970	-1.8311	-4.6143	11.8103	171.6504	45.2100	63	-153	-169	100567	0.63 
426.826	-0.1743	-0.1270	1.0176	4.5166	-7.8735	-1.5869	-4.5099	10.7336	171.3208	45.2300	62	-155	-169	100566	0.63 
426.919	-0.1924	-0.0767	0.9917	2.5024	-6.5918	7.8125	-4.1748	10.0250	171.3922	45.2300	58	-157	-167	100566	0.63 
427.013	-0.2407	-0.0527	1.0288	5.2490	-1.4038	12.6343	-3.6859	9.9207	172.3535	45.2300	53	-155	-166	100566	0.63 
427.138	-0.1187	0.0791	1.0532	7.0190	2.4414	13.7939	-2.5269	10.0854	173.7213	45.2200	50	-159	-165	100566	0.63 
427.247	-0.0938	0.0303	1.0845	12.0850	7.2021	-1.9531	-1.1975	10.0690	173.8367	45.2300	47	-164	-162	100566	0.63 
427.341	-0.1235	0.0884	1.0059	5.4321	9.3994	-3.7231	0.0330	10.6403	173.3862	45.2400	51	-168	-154	100566	0.63 
427.435	-0.1470	0.0288	0.8462	-10.2539	1.7700	-10.3760	-0.1099	11.0962	172.5787	45.2300	51	-169	-157	100566	0.63 
427.529	-0.0537	0.1455	0.7886	-7.5684	-0.0610	-8.6060	-0.9393	10.9039	170.8264	45.2300	55	-169	-157	100566	0.63 
427.639	-0.0508	0.2334	0.9282	-9.7046	-21.9727	4.7607	-1.4667	9.4757	170.3156	45.2400	49	-162	-166	100566	0.63 
427.748	-0.6084	-0.2837	1.4492	5.5542	26.9775	2.3804	-1.7853	9.2670	172.3315	45.2300	40	-163	-163	100566	0.63 
427.857	0.0029	0.1172	0.8906	-4.3945	-39.9170	30.7617	-0.7526	8.4485	172.7985	45.2300	36	-167	-163	100567	0.63 
427.951	-0.2759	-0.1216	0.7466	-13.9160	27.4658	-0.0610	-2.0160	9.0747	173.1226	45.2100	31	-164	-163	100567	0.63 
428.076	-0.1255	-0.2139	0.9771	12.8174	2.9907	-12.2681	-2.9169	10.8655	173.1335	45.2300	35	-162	-162	100567	0.63 
428.154	-0.2007	-0.0483	0.6387	8.6060	6.3477	-7.3242	-2.0929	10.3436	172.2821	45.2000	39	-164	-157	100567	0.63 
428.249	0.0542	-0.1182	0.6621	11.0474	-26.0010	1.4038	-1.3129	9.3604	171.2659	45.2000	40	-173	-157	100568	0.63 
428.373	-0.0103	0.3633	1.3315	7.9346	33.8135	-85.9985	-1.5930	8.8550	167.8217	45.2000	41	-175	-154	100568	0.63 
428.451	-0.2500	0.1899	1.2485	9.8877	48.9502	5.5542	-1.2415	9.9866	163.1195	45.2200	63	-175	-151	100568	0.63 
428.561	-0.2197	0.2739	0.8223	8.3618	29.8462	4.5166	0.2802	12.6123	162.7899	45.2300	71	-174	-143	100568	0.63 
428.655	-0.2104	0.0596	0.9165	-21.1182	-16.6016	15.9302	-0.3406	13.6230	164.1412	45.2100	80	-177	-142	100568	0.63 
428.779	-0.2075	0.0781	0.7134	-22.3389	-16.4185	29.4189	-1.7578	12.0850	166.3055	45.2100	65	-175	-147	100568	0.63 
428.858	-0.1489	0.0068	0.9790	-15.8691	-23.0103	36.6821	-2.6642	10.8435	171.2604	45.2000	46	-171	-158	100569	0.63 
428.982	-0.5488	-0.3979	1.7417	9.7046	27.2217	9.6436	-2.3346	10.3546	173.4302	45.2000	28	-169	-157	100569	0.63 
429.092	0.0054	-0.1367	0.9268	-9.2773	-4.8828	7.5073	-1.9501	10.3821	175.1276	45.1900	21	-178	-158	100569	0.63 
429.170	-0.1299	-0.2402	0.8267	-8.1787	13.4888	8.4839	-3.2629	12.1509	174.9463	45.2100	26	-174	-155	100569	0.63 
429.295	-0.1196	-0.0435	0.6631	21.4844	-31.0669	-6.7139	-3.0103	12.2882	174.1498	45.1900	31	-177	-153	100570	0.63 
429.389	-0.1714	-0.2168	1.0117	20.2637	-7.2632	-19.7754	-2.2632	11.3159	172.6996	45.2000	35	-179	-148	100570	0.63 
429.467	-0.4717	0.2002	1.3730	-6.0425	-1.3428	30.2124	-1.1975	10.3217	172.7380	45.2000	35	-184	-141	100570	0.63 
429.592	-0.0293	0.2163	1.1289	10.6201	-34.5459	-6.0425	-1.5381	9.5306	173.5291	45.1900	29	-180	-144	100570	0.63 
429.687	-0.1392	0.0923	0.7500	4.3945	6.1035	-2.2583	-0.6372	8.8000	175.3967	45.1800	23	-179	-140	100570	0.63 
429.782	-0.2026	0.0562	0.5991	-10.5591	0.6714	-1.2817	-0.7745	9.9097	176.0779	45.1800	24	-180	-139	100571	0.63 
429.891	-0.2705	0.2104	1.1006	-20.2026	15.5640	0.7935	-2.0325	9.9646	175.8527	45.1800	24	-182	-140	100571	0.63 
430.000	-0.2393	-0.2065	1.1265	5.5542	5.2490	-2.8687	-2.9333	8.9978	177.0721	45.1800	19	-178	-144	100571	0.63 
430.109	-0.9390	0.0010	2.2197	21.0571	11.5356	-29.7852	-2.8125	11.6510	175.4462	45.1700	29	-173	-144	100572	0.63 
430.203	-0.2871	0.0264	0.8853	-1.8921	33.6914	-24.1699	-3.0103	10.7391	174.1113	45.1600	36	-177	-143	100572	0.63 
430.282	-0.2549	-0.2241	0.8481	5.5542	14.7095	0.9766	-3.9276	12.6508	174.6332	45.1500	44	-175	-137	100572	0.63 
430.414	-0.0557	-0.1294	0.3506	21.1182	6.2866	-0.3052	-2.5928	10.0140	174.9683	45.1500	43	-177	-137	100573	0.63 
430.493	-0.0723	0.1812	1.0024	6.1035	-6.5918	-6.8359	-1.4832	11.1621	173.5675	45.1400	49	-179	-126	100573	0.63 
430.617	-0.6553	0.8174	2.4092	6.4697	49.2554	-48.0347	-1.4117	11.3763	171.5680	45.1400	53	-179	-121	100574	0.63 
430.711	-0.1440	0.0059	1.0239	-6.2256	34.4238	39.2456	-0.9613	10.5853	170.6396	45.1500	61	-179	-119	100574	0.63 
430.836	-0.3066	0.1494	0.9224	-3.2349	18.1274	-10.1318	-0.9613	12.7551	170.3156	45.1500	64	-178	-118	100574	0.63 
430.930	-0.0488	0.0854	0.6055	-17.7612	-24.7192	4.9438	-1.8018	11.7114	169.6619	45.1500	70	-174	-119	100574	0.63 
431.008	-0.1528	0.0781	0.8389	-26.8555	-8.3618	53.1006	-2.5598	10.9094	172.1722	45.1400	61	-174	-124	100574	0.63 
431.133	-0.4399	-0.1973	1.2666	-0.3662	-0.5493	28.1372	-3.0103	9.9481	175.4297	45.1600	50	-170	-133	100575	0.63 
431.227	-0.1768	-0.0010	1.2656	3.4790	-40.4663	4.3945	-2.7795	10.6512	176.5283	45.1300	42	-168	-131	100575	0.63 
431.305	-0.3149	-0.0273	0.8403	-9.8267	18.6768	15.7471	-2.9114	10.2502	175.4462	45.1200	44	-168	-133	100575	0.63 
431.477	-0.2773	-0.1904	0.8472	5.6763	8.9722	1.5869	-3.8232	11.8488	176.8909	45.1400	42	-167	-133	100576	0.62 
431.539	-0.1299	-0.2280	0.8589	15.0757	7.5684	-11.2305	-3.0981	10.0964	177.2864	45.1300	38	-172	-127	100576	0.62 
431.665	-0.5269	0.0581	1.4229	-6.9580	22.7051	-5.1270	-2.4390	9.3439	175.5121	45.1200	41	-171	-120	100577	0.62 
431.743	-0.1802	0.4775	1.3979	16.6626	-27.9541	-54.9927	-2.0764	10.5359	171.2329	45.1200	51	-170	-117	100577	0.62 
