StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
5.392	-0.1978	-0.0527	1.0293	-0.3662	-0.4272	1.2817	-3.0103	10.2393	84.4684	43.8800	200	22	-76	100579	0.62 
5.486	-0.2095	-0.0474	1.0254	-0.8545	-0.4883	0.3662	-3.0542	10.2612	84.4684	43.8800	201	27	-79	100579	0.62 
5.611	-0.2095	-0.0532	1.0156	-0.6714	-0.9766	0.4883	-3.1036	10.2612	84.4189	43.8800	200	26	-78	100578	0.62 
5.689	-0.2026	-0.0503	1.0210	-0.4272	-2.6245	-0.1221	-3.1256	10.1569	84.3256	43.8900	204	25	-79	100579	0.62 
5.783	-0.2002	-0.0537	1.0264	-0.3662	-4.0283	-1.1597	-3.1586	9.9426	84.1992	43.8900	200	22	-79	100578	0.62 
5.893	-0.1973	-0.0562	1.0210	0.3662	-7.5684	-2.5024	-3.1750	9.4263	84.0619	43.8900	197	26	-81	100578	0.62 
6.002	-0.2007	-0.0474	1.0259	0.3052	-9.8877	-1.2207	-3.1476	8.7122	83.8641	43.9100	196	26	-82	100578	0.62 
6.127	-0.1938	-0.0513	1.0298	0.4883	-14.4653	-0.1221	-3.0817	7.6410	83.8037	43.9000	195	26	-85	100577	0.62 
6.221	-0.1748	-0.0449	1.0288	1.1597	-20.1416	-1.5869	-2.9773	6.0754	83.7488	43.9200	193	28	-90	100577	0.62 
6.330	-0.1631	-0.0435	1.0176	1.8921	-25.1465	-0.9155	-2.8235	4.0979	83.6719	43.9100	186	27	-100	100577	0.62 
6.409	-0.1665	-0.0454	1.0127	1.6479	-27.8320	1.2207	-2.6147	1.8073	83.7268	43.9300	179	25	-106	100577	0.62 
6.502	-0.1592	-0.0366	0.9805	2.3193	-33.5083	0.8545	-2.3840	-0.6812	83.8422	43.9100	173	28	-115	100577	0.62 
6.611	-0.1528	-0.0205	0.9170	2.4414	-40.7104	-0.9155	-2.1039	-3.7573	83.8477	43.9400	162	26	-122	100577	0.62 
6.736	-0.1631	-0.0264	0.8271	2.8076	-41.4429	-1.5869	-1.8347	-7.0313	83.7433	43.9200	148	26	-132	100577	0.62 
6.830	-0.2402	-0.0220	0.6016	5.2490	-46.9360	3.5400	-1.3623	-9.9371	83.5455	43.9300	137	23	-143	100577	0.62 
6.939	0.0337	0.0054	0.4194	4.8828	-82.0313	-8.5449	-0.8185	-15.5127	83.6499	43.9500	115	24	-157	100577	0.62 
7.034	0.3330	-0.1069	-0.3784	-17.5171	-107.1167	14.3433	-2.0929	-29.4324	85.2649	43.9000	84	18	-176	100576	0.62 
7.158	2.8496	-0.6421	2.1348	-36.1938	-193.0542	34.1187	-9.4537	-45.7306	92.5488	43.9200	39	18	-188	100577	0.62 
7.221	0.9839	-0.5298	0.1709	-28.5645	-110.2295	27.7710	-24.3896	-65.0171	106.6608	43.9000	-28	23	-192	100578	0.62 
7.377	0.7085	-0.0688	0.0464	-13.4888	-36.7432	-1.5259	-39.4025	-73.9105	121.2726	43.8800	-74	33	-177	100579	0.62 
7.455	0.6187	-0.0830	-0.1040	-13.8550	-24.9023	7.6294	-53.9209	-76.3605	134.7308	43.8500	-91	38	-172	100579	0.62 
7.564	1.1284	-0.3477	0.2407	13.5498	40.8325	-17.2119	-50.7349	-76.5747	131.4954	43.8700	-99	39	-166	100580	0.62 
7.689	1.1758	-0.1128	0.2158	13.4277	22.5830	13.2446	-38.4851	-74.8059	120.7782	43.8500	-96	35	-170	100582	0.62 
7.752	0.9517	-0.2920	0.2192	-4.5776	34.4849	29.7241	-37.0569	-72.5208	119.8224	43.8700	-85	34	-177	100582	0.62 
7.877	0.9258	-0.2495	-0.1714	-11.1694	48.0957	15.9912	-29.4269	-70.2850	111.0278	43.8600	-72	37	-177	100582	0.62 
8.002	1.0649	-0.4922	0.6611	20.7520	82.0923	-28.6255	-22.9395	-64.8413	105.2051	43.8500	-51	35	-186	100582	0.62 
8.096	0.6450	-0.2974	0.7754	-4.3335	-14.9536	-10.4370	-22.8790	-64.2261	105.1501	43.8600	-42	32	-187	100582	0.62 
8.205	0.8467	-0.1445	0.4248	-2.4414	-30.1514	-12.6953	-22.8461	-65.1984	105.3644	43.8600	-43	30	-185	100583	0.62 
