StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
132.187	-0.1401	-0.0503	1.0396	-0.2441	-1.8311	0.0610	-3.4222	7.4377	-4.1473	44.7700	0	146	-98	100577	0.62 
132.250	-0.1377	-0.0527	1.0352	-0.3662	-2.1362	-2.1362	-3.4332	7.2235	-4.2902	44.7600	-1	144	-98	100577	0.62 
132.360	-0.1284	-0.0674	1.0288	0.2441	-2.5635	-4.0283	-3.4772	6.9763	-4.6143	44.7700	2	144	-99	100577	0.62 
132.500	-0.1138	-0.0591	1.0254	0.0000	-3.1738	0.7935	-3.4662	6.6687	-4.9823	44.7700	-3	144	-99	100577	0.62 
132.594	-0.1353	-0.0688	1.0518	0.9155	-0.1221	-0.9766	-3.4552	6.5259	-5.0372	44.7700	-3	144	-98	100577	0.62 
132.641	-0.1191	-0.1099	1.0361	-0.6104	-1.4038	1.0376	-3.4497	6.3885	-4.9274	44.7600	-5	144	-96	100577	0.62 
132.766	-0.1206	-0.0928	1.0308	0.1221	-0.4883	1.3428	-3.5486	6.2402	-5.0208	44.7700	-5	148	-102	100577	0.62 
132.859	-0.1265	-0.1040	1.0327	2.9297	0.9766	6.1646	-3.4937	6.3226	-4.6967	44.7600	-8	143	-100	100577	0.62 
132.953	-0.1294	-0.0923	1.0234	6.9580	0.9155	9.3384	-3.0103	6.4984	-4.1199	44.7600	-4	142	-99	100577	0.62 
133.078	-0.1406	-0.0703	1.0317	10.9253	1.3428	12.0239	-2.0380	6.5808	-3.1915	44.7700	3	143	-106	100577	0.62 
133.157	-0.1191	-0.0527	1.0464	16.6626	-5.1880	15.3809	-0.5548	6.5314	-1.9446	44.7600	5	136	-106	100577	0.62 
133.266	-0.1289	0.0166	1.0508	20.6299	-3.6011	15.9912	1.4227	6.0974	-0.5603	44.7800	5	135	-113	100577	0.62 
133.344	-0.1001	0.0576	0.9995	23.7427	-6.2256	22.3389	3.7903	5.2515	1.0382	44.7500	13	132	-118	100577	0.62 
133.469	-0.0903	0.0488	0.9780	24.7803	-10.6201	33.4473	6.3995	4.2297	3.5815	44.7600	15	124	-124	100577	0.62 
133.563	-0.0840	0.0308	1.0283	32.5928	-11.4746	13.5498	8.9703	3.0377	5.5591	44.7400	16	119	-131	100576	0.63 
133.656	-0.0801	0.1353	0.9810	40.5273	-14.5264	2.1973	12.3926	1.8402	5.8722	44.7400	18	111	-140	100576	0.63 
133.766	-0.0884	0.0708	0.9023	50.5371	-20.9961	-13.0615	16.3916	0.4834	4.9384	44.7100	11	98	-150	100576	0.63 
133.875	-0.1191	0.1914	0.8145	55.3589	-13.9771	-21.1182	21.2476	0.0385	2.1094	44.7000	2	82	-162	100575	0.63 
133.969	-0.0679	0.1763	0.7144	70.9839	-15.3198	-8.7280	26.9989	-0.2582	-0.3571	44.6600	-4	68	-169	100576	0.63 
134.063	-0.1187	-0.0410	0.1597	102.4780	13.0005	-48.7671	34.3378	0.4065	-2.9608	44.6400	-9	49	-179	100575	0.63 
134.188	0.1123	0.2578	-0.5474	100.3418	43.7012	-64.0869	47.0050	9.7888	-5.9930	44.6000	-1	14	-186	100576	0.63 
134.266	0.0093	1.4639	0.2119	135.2539	70.5566	108.2153	62.2540	10.7501	0.6537	44.5500	24	-19	-179	100576	0.63 
134.376	-0.1348	4.3350	0.6230	117.0654	-69.5801	159.9121	78.6017	-7.7069	6.5918	44.5000	35	-66	-169	100577	0.62 
134.485	0.8447	0.6299	-0.5742	38.2690	-33.2642	38.2080	91.1261	-21.5771	-2.7960	44.4800	-15	-104	-146	100579	0.62 
134.579	0.2749	0.2451	-0.1304	5.2490	-17.8833	19.2261	95.4987	-26.9604	-4.3671	44.4400	-45	-111	-135	100580	0.62 
134.673	0.5342	0.4961	-0.0898	-11.0474	4.2725	18.1274	96.0590	-29.2566	-5.1416	44.4200	-56	-111	-131	100581	0.62 
134.797	0.6411	1.1250	-0.0815	-42.9077	49.1333	1.5869	92.5269	-30.0201	-2.7191	44.4400	-55	-103	-139	100582	0.62 
134.907	0.5981	1.0498	0.1997	-58.4106	63.9648	-21.7896	83.6609	-28.8116	3.5486	44.4400	-43	-95	-150	100583	0.62 
135.032	0.5811	0.7266	0.3535	-19.4702	36.9873	-91.6748	77.4261	-22.9395	8.5968	44.4100	-23	-82	-157	100584	0.62 
135.110	-0.0083	0.8032	0.2578	-28.0762	-2.1973	-57.3730	75.4706	-15.6995	7.7893	44.4300	-3	-76	-160	100584	0.62 
135.250	0.0161	1.0562	0.4761	-15.4419	13.2446	-9.5215	72.9822	-11.2939	7.1521	44.4400	0	-67	-166	100585	0.62 
135.313	0.1577	1.0288	0.4082	2.6855	3.4790	0.4883	72.2681	-11.5576	7.8882	44.4400	5	-68	-167	100585	0.62 
135.391	0.1904	0.9282	0.3252	12.9395	-7.8735	26.0010	72.4933	-13.0188	8.2507	44.4400	8	-67	-168	100585	0.62 
135.547	0.2134	0.9624	0.2314	-0.9155	-10.5591	56.4575	73.2898	-17.4023	8.5693	44.4600	0	-67	-168	100585	0.62 
135.641	0.3921	0.9175	0.2651	-7.6904	-10.4980	62.9883	72.7570	-23.2471	9.1187	44.4400	-11	-66	-167	100585	0.62 
135.719	0.5659	0.7168	0.3037	-10.4980	3.1128	28.9917	71.3068	-28.3887	10.8600	44.4500	-24	-65	-169	100585	0.62 
135.798	0.5137	0.7661	0.3735	-5.7983	7.7515	-9.2163	69.8181	-28.8721	12.2662	44.4700	-24	-59	-170	100586	0.62 
135.922	0.3818	0.9053	0.3379	4.5776	1.8311	-9.7656	69.6259	-27.5427	12.3871	44.4400	-23	-60	-170	100586	0.62 
