StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
236.897	-0.0259	0.0811	1.0264	-1.0986	-0.5493	0.9766	3.8782	2.1643	85.8032	45.0900	172	8	-98	100585	0.62 
236.991	-0.0366	0.0796	1.0313	-1.4648	-2.4414	0.9155	3.8068	1.9446	85.8032	45.0900	172	7	-97	100584	0.62 
237.100	-0.0244	0.0771	1.0298	-1.3428	-3.0518	1.8311	3.7079	1.7029	85.8801	45.0900	169	10	-99	100584	0.62 
237.194	-0.0483	0.0747	1.0435	-2.4414	-7.5684	1.3428	3.5815	1.2744	85.9076	45.1100	170	12	-101	100584	0.62 
237.303	0.0005	0.0591	0.9883	-0.3662	-10.6201	2.3804	3.4552	0.3241	85.8801	45.0900	166	6	-101	100584	0.62 
237.397	0.0264	0.0815	1.0498	-0.6714	-10.0098	4.1504	3.4662	-0.4834	86.1438	45.0900	164	8	-107	100584	0.62 
237.506	0.0010	0.0635	1.0527	-1.2207	-9.0942	0.0000	3.3948	-1.3513	86.2042	45.0900	164	8	-109	100584	0.62 
237.585	0.0376	0.0703	1.0532	-1.4648	-6.1646	0.3052	3.2629	-2.1753	86.1163	45.1000	161	5	-113	100584	0.62 
237.725	0.0117	0.0684	1.0220	-1.4038	-15.9302	1.7090	3.1750	-3.3069	86.1218	45.0900	158	9	-112	100584	0.62 
237.803	0.0474	0.0815	1.0430	-1.7700	-28.9917	4.2725	3.0377	-5.4108	86.2976	45.1000	151	7	-115	100584	0.62 
237.913	0.0986	0.0581	1.0356	-3.4790	-45.7153	3.9673	2.8070	-8.8715	86.5613	45.1000	144	5	-123	100584	0.62 
238.007	0.2275	0.0435	0.9980	-3.2349	-57.3120	5.6763	2.4280	-13.8702	86.8195	45.1100	129	6	-134	100584	0.62 
238.100	0.2964	0.0591	1.0386	-6.4087	-70.3125	-1.7090	2.1094	-19.9347	86.5558	45.1100	111	3	-150	100584	0.62 
238.225	0.3418	0.0596	0.8579	-0.4272	-90.6982	2.4414	2.4939	-28.2129	85.2759	45.1100	87	8	-163	100584	0.62 
238.319	0.5850	0.0288	0.7593	-0.4272	-75.6836	6.3477	2.4335	-36.3098	85.1111	45.1200	57	11	-173	100584	0.62 
238.444	0.7075	0.1274	0.8159	-2.5635	-61.6455	2.8687	2.0599	-42.4072	85.4352	45.1100	34	12	-177	100584	0.62 
238.538	0.9971	0.0889	0.7070	-6.2256	-79.8340	23.3765	0.9778	-49.8560	86.3690	45.1100	11	7	-183	100583	0.62 
238.647	0.9570	-0.1626	0.5269	-7.6294	-79.8340	3.1738	-2.2961	-58.3649	89.5331	45.1100	-16	12	-182	100584	0.62 
238.726	1.3843	-0.1577	0.1968	-1.5869	-60.4248	31.9214	-5.7458	-66.5222	92.9608	45.0900	-47	18	-181	100584	0.62 
238.850	0.9102	0.0605	0.1064	0.0610	60.4858	-10.4980	-8.6847	-68.6755	95.9436	45.0900	-65	16	-173	100584	0.62 
238.960	0.8096	-0.1250	0.6382	-4.0283	52.8564	8.3618	-9.8273	-62.0343	96.5643	45.0700	-49	18	-174	100584	0.62 
239.054	0.7441	-0.1025	0.6729	-2.0752	-8.8501	-4.3335	-9.8767	-59.6063	96.2347	45.0900	-34	21	-177	100583	0.62 
239.225	1.0103	-0.0259	0.3394	-0.3052	-17.3950	3.4180	-9.4647	-62.0563	95.6525	45.0600	-40	21	-182	100583	0.62 
239.335	0.8521	-0.0479	0.4663	-1.3428	8.7280	6.2256	-9.9591	-61.9135	96.0919	45.0500	-41	20	-179	100584	0.62 
239.413	0.8740	-0.1094	0.5078	-2.1973	-0.4883	5.9204	-10.9644	-61.4081	96.9434	45.0600	-38	21	-180	100584	0.62 
239.491	0.9019	-0.0752	0.4795	-1.2207	-0.9766	0.9766	-11.3873	-61.4246	97.2784	45.0700	-38	20	-180	100584	0.62 
239.600	0.8940	-0.0664	0.4746	-0.9155	1.1597	2.5635	-11.2994	-61.5509	97.0313	45.0600	-36	20	-176	100583	0.62 
239.710	0.8945	-0.0908	0.4878	-0.6104	-0.9155	1.1597	-11.4752	-61.3971	97.1246	45.0600	-39	19	-179	100583	0.62 
239.804	0.9146	-0.0908	0.4580	-0.7935	-0.4272	1.8921	-11.7938	-61.5179	97.3608	45.0500	-38	18	-180	100583	0.62 
239.928	0.8857	-0.0791	0.4824	-0.2441	-2.9907	-0.3662	-11.7554	-61.5399	97.2510	45.0400	-42	20	-180	100583	0.62 
240.053	0.9033	-0.0801	0.4629	-0.5493	-1.2817	1.2207	-12.0135	-61.7761	97.4323	45.0600	-41	21	-180	100583	0.62 
240.132	0.8945	-0.0869	0.4766	-0.2441	-0.9766	0.5493	-12.2168	-61.8091	97.5861	45.0500	-37	19	-181	100583	0.62 
240.257	0.8989	-0.0864	0.4663	-0.4272	0.9155	0.6714	-12.3486	-61.8530	97.6245	45.0500	-37	24	-180	100583	0.62 
240.350	0.8809	-0.0854	0.4785	-0.4272	0.9155	1.4038	-12.3706	-61.7432	97.5037	45.0700	-37	24	-178	100583	0.62 
240.445	0.9121	-0.0835	0.4849	-0.0610	0.3052	-0.4272	-12.4860	-61.6333	97.5696	45.0400	-40	18	-178	100583	0.62 
240.569	0.8965	-0.0859	0.4722	-0.3052	0.6714	0.4883	-12.5629	-61.6168	97.6025	45.0500	-37	22	-177	100583	0.62 
240.710	0.8906	-0.0913	0.4839	-0.4883	-0.3052	1.7090	-12.6672	-61.5289	97.6520	45.0300	-37	18	-178	100583	0.62 
240.757	0.8960	-0.0947	0.4653	-0.4883	0.0000	0.7935	-12.7496	-61.6168	97.7289	45.0500	-39	20	-179	100583	0.62 
240.913	0.8940	-0.0903	0.4673	-0.4883	-0.4272	0.5493	-12.7386	-61.6058	97.6520	45.0300	-38	19	-181	100583	0.62 
240.991	0.8623	-0.0811	0.4761	-0.2441	-1.8311	-0.6714	-12.5848	-61.6443	97.4927	45.0600	-39	20	-182	100583	0.62 
241.085	0.9004	-0.1050	0.4438	0.5493	-6.7139	-6.2866	-12.3486	-62.0892	97.2290	45.0600	-39	21	-180	100583	0.62 
241.241	0.8242	-0.0869	0.4863	1.9531	-14.6484	-9.5825	-11.1127	-63.0286	95.9381	45.0500	-41	20	-180	100583	0.62 
241.319	0.5469	0.1958	0.4463	-0.9766	-43.0298	-3.5400	-7.9321	-64.9292	92.0984	45.0600	-47	21	-182	100582	0.62 
241.444	1.4351	-0.1274	-0.0654	2.7466	-16.1743	22.6440	-14.6008	-68.7469	99.7449	45.0600	-57	21	-177	100582	0.62 
241.554	1.1265	-0.1592	0.3047	6.0425	71.2280	-5.1270	-12.0410	-65.1050	97.6465	45.0500	-58	15	-176	100582	0.62 
