StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
712.862	-0.2593	-0.0850	1.0439	-4.2114	2.9907	4.9438	-3.9441	14.4855	80.4309	44.2300	178	35	-83	100577	0.62 
712.941	-0.1021	-0.1309	1.0083	-0.4883	3.2959	-1.4038	-4.3066	14.0295	81.1945	44.2200	185	33	-81	100577	0.62 
713.065	-0.1509	-0.1299	0.9844	1.1597	14.7095	-6.1035	-4.5648	14.5074	80.7990	44.2300	179	32	-82	100577	0.62 
713.160	-0.2012	-0.1289	0.9604	3.8452	21.1792	-11.4746	-4.7461	15.8862	79.9091	44.2500	181	33	-76	100577	0.62 
713.284	-0.2505	0.0942	0.8228	-6.2256	44.4946	14.3433	-4.6307	18.7921	79.1510	44.2500	184	37	-70	100577	0.62 
713.363	-0.0034	0.0039	0.9722	31.3110	27.0386	-14.6484	-3.9880	22.2089	78.1622	44.2400	191	38	-59	100577	0.62 
713.472	-0.2607	0.0054	0.8872	30.3345	32.5317	7.9956	-0.4449	25.3510	77.3767	44.2400	195	35	-48	100578	0.62 
713.597	-0.1177	0.1289	1.0356	21.2402	18.0664	6.8970	2.6752	26.9000	78.1512	44.2400	196	28	-40	100578	0.62 
713.676	0.0542	0.2671	1.2451	-13.3057	25.7568	25.9399	4.7076	26.8890	80.6781	44.2200	197	28	-32	100578	0.62 
713.754	-0.7476	0.0898	0.0029	-30.0903	33.0200	-3.8452	2.8345	26.7627	82.3206	44.2100	203	23	-27	100578	0.62 
713.879	-1.1182	-0.2397	1.7026	-19.3481	63.8428	-28.9917	1.5710	32.7997	83.5895	44.1800	208	18	-13	100578	0.62 
713.972	-0.1958	-0.4512	0.7617	2.6855	-76.2939	-98.6328	-4.5319	30.0751	75.8496	44.1500	211	30	-9	100578	0.62 
714.082	-0.3667	0.4063	-0.0083	37.9639	-48.4009	20.2026	-0.0659	24.9829	72.2900	44.1000	201	49	-22	100579	0.62 
714.176	-0.6289	-0.1797	-0.0225	-10.6812	12.8174	35.1563	-0.0549	19.7699	73.0206	44.0900	202	53	-39	100579	0.62 
714.301	-0.8525	-0.3013	2.3179	5.3711	44.1284	87.6465	-0.3406	23.5437	77.4042	44.0600	212	47	-34	100580	0.62 
714.394	0.0190	-0.0068	-0.0337	-6.6528	-60.3638	70.3125	3.7463	17.6715	83.1940	44.0500	216	30	-42	100580	0.62 
714.488	-0.1079	0.0518	-0.2832	-22.3999	-27.4658	-17.3340	-3.0103	11.9147	86.5063	44.0100	212	19	-64	100580	0.62 
714.598	-2.1768	-0.5234	4.1748	7.7515	188.7207	-47.9736	-2.7740	18.2263	84.9353	44.0000	217	20	-68	100580	0.62 
714.692	-0.5776	-0.2388	1.6206	5.3101	-49.0112	-24.6582	-4.0704	18.7372	79.5850	44.0100	219	30	-50	100580	0.62 
714.816	-0.4033	0.3345	-0.2217	59.2651	-18.1885	-40.0391	-3.6145	11.7114	74.6191	43.9500	214	45	-65	100580	0.62 
714.926	-0.3369	0.2324	-0.1782	4.0283	-20.4468	1.9531	-0.3021	7.8937	73.2623	43.9500	210	49	-82	100579	0.62 
715.051	-0.2510	-0.2358	2.8145	-39.4287	-51.4526	161.6821	-1.2469	13.6450	78.0084	43.9300	216	50	-78	100579	0.62 
715.113	-0.0469	0.2158	0.2915	-4.6997	-72.8760	62.8052	0.9778	10.3052	85.2374	43.9100	220	26	-72	100580	0.62 
715.223	-0.1748	-0.1528	-0.3643	-28.8696	-17.7002	22.0337	-5.5865	7.2345	91.2140	43.9000	220	5	-83	100580	0.62 
715.348	0.2798	-0.2056	0.9795	18.4937	102.7222	-33.6304	-7.9980	8.9154	92.4500	43.9000	226	-4	-92	100579	0.62 
715.473	-0.9326	-0.1318	2.2739	7.2021	38.1470	-73.9136	-7.9321	14.3207	83.8422	43.8900	240	6	-69	100579	0.62 
715.535	-0.1592	0.1221	-0.4575	50.3540	10.0708	-95.9473	-8.5419	7.3169	78.5083	43.8600	233	26	-79	100579	0.62 
715.660	-0.3496	-0.3022	-0.1802	28.0151	-25.5737	-44.3726	-3.0817	4.3506	76.7230	43.8300	229	34	-99	100579	0.62 
715.754	-1.2378	0.7109	3.5303	-27.8931	-9.0332	97.6563	-3.5541	10.8820	75.2948	43.8400	233	42	-95	100579	0.62 
715.832	-0.2163	0.2192	0.9497	-1.7700	-66.7114	52.5513	-2.5104	10.5743	84.2047	43.8200	242	24	-80	100579	0.62 
715.942	-0.2515	-0.1304	-0.3643	-46.2646	-31.9824	9.3994	-8.6627	5.2515	88.5938	43.8100	238	16	-94	100579	0.62 
716.036	-0.0078	0.0229	-0.3120	-19.7144	-0.0610	10.0708	-12.2278	2.6587	88.5828	43.8100	235	20	-109	100579	0.62 
