StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
629.162	-0.2124	-0.0610	0.9893	5.8594	11.9629	-13.7329	-2.2797	8.2343	-10.3107	45.1800	-12	141	-120	100583	0.62 
629.271	-0.2236	0.0137	0.9341	6.3477	25.2686	-7.0801	-1.7633	10.3107	-11.8652	45.1700	-12	140	-127	100583	0.62 
629.380	-0.2578	-0.0093	0.8765	1.8311	52.4292	-1.4648	-1.5381	14.4141	-12.5189	45.1700	-7	142	-122	100584	0.62 
629.459	-0.3169	-0.0161	0.8115	-0.9766	71.7773	6.4087	-1.4557	20.7916	-12.6288	45.1800	6	138	-125	100584	0.62 
629.583	-0.3071	-0.0786	0.7803	1.7700	56.6406	3.3569	-1.1481	26.8671	-11.8158	45.1800	22	142	-125	100583	0.62 
629.677	-0.4019	-0.0186	0.8057	6.8359	42.3584	12.2681	-0.3351	30.9375	-11.8378	45.1800	31	139	-126	100584	0.62 
629.771	-0.5059	0.0444	0.7959	7.9956	19.0430	2.1973	0.7141	32.9205	-11.6949	45.1800	39	135	-128	100584	0.62 
629.881	-0.5015	0.0190	0.7388	6.4697	-3.9673	10.6812	1.9995	32.9425	-10.9753	45.1800	44	131	-131	100584	0.62 
629.990	-0.4482	0.1133	0.6582	12.5122	-12.2681	13.6108	3.5376	31.4429	-10.2228	45.1900	43	129	-131	100585	0.62 
630.084	-0.7524	0.0557	1.3662	5.3101	-105.8960	29.4189	5.6525	27.4988	-8.4540	45.1600	39	128	-130	100585	0.62 
630.193	-0.6152	0.1768	1.9595	-23.2544	-68.4204	30.5786	5.2515	19.9347	-7.7289	45.1500	25	123	-132	100586	0.62 
630.271	0.2153	-0.0044	1.1812	-18.7378	-72.9370	2.6855	3.6255	12.1344	-5.5536	45.1600	16	126	-127	100587	0.62 
630.396	-0.0303	0.0044	0.7822	-15.0146	-63.2935	-12.5732	1.6425	3.7958	-6.1029	45.1100	-3	131	-126	100587	0.62 
630.505	-0.0493	0.0088	0.8042	-1.5259	-26.0010	-6.1035	0.5878	0.5493	-7.1851	45.1100	-16	135	-120	100588	0.62 
630.600	0.0752	0.0166	1.0425	-0.3052	-7.9956	0.0610	0.3900	-0.9064	-7.3059	45.0900	-22	133	-122	100588	0.62 
630.694	0.0610	-0.0034	1.1284	2.6855	-7.2021	1.8311	0.4724	-1.7029	-7.0532	45.1000	-22	134	-118	100588	0.62 
630.803	0.1060	0.0259	0.9937	2.1973	2.2583	1.5259	0.7416	-2.2357	-6.8774	45.0700	-25	134	-120	100589	0.61 
630.912	0.1143	0.0195	0.8848	6.8970	29.9683	8.8501	1.2140	-0.6097	-6.2073	45.0900	-22	133	-119	100589	0.61 
631.006	0.0088	-0.0234	1.1001	16.9678	75.0732	13.0615	2.3016	4.9658	-5.0262	45.0700	-10	130	-124	100589	0.61 
631.069	-0.1353	0.1055	1.0796	26.9165	112.2437	11.9019	4.7736	13.2990	-2.6917	45.0700	8	126	-128	100589	0.61 
631.209	-0.3560	0.0742	1.3257	14.5264	132.6904	-5.7373	7.6025	24.9664	-0.7086	45.0400	37	123	-131	100590	0.61 
631.287	-1.1880	0.2134	1.2095	-2.9907	50.7813	-23.3765	7.7948	35.5353	-2.5159	45.0300	57	120	-122	100590	0.61 
631.414	-0.9370	0.0815	1.0933	-11.4746	-3.8452	-34.3018	4.0375	38.3533	-7.5751	45.0100	66	118	-118	100590	0.61 
631.492	-0.5249	0.1631	0.9224	-8.2397	-61.5845	-7.4463	1.3458	34.6124	-10.5853	44.9900	53	126	-126	100590	0.61 
631.617	-0.3623	-0.0400	0.7573	-7.3242	-60.1196	-4.5776	0.6317	28.9929	-9.4373	44.9700	43	132	-127	100590	0.61 
