StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
396.529	-0.1875	-0.1128	0.9839	-2.3804	10.4370	5.4932	-3.1366	10.1788	-15.2161	44.4900	-26	152	-87	100588	0.61 
396.623	-0.1396	-0.1636	1.0210	-0.7935	7.4463	11.7798	-3.3563	11.1346	-14.4305	44.4700	-22	152	-87	100589	0.61 
396.747	-0.2275	-0.1587	0.9736	8.9111	5.1270	6.3477	-3.2190	11.6510	-13.9801	44.4800	-21	151	-86	100589	0.61 
396.841	-0.3394	-0.0977	1.1973	4.9438	15.7471	19.5313	-2.3676	12.9968	-12.6837	44.4800	-20	147	-92	100589	0.61 
396.920	-0.2373	0.1729	1.3643	21.4844	5.7983	-11.9629	-0.6921	13.3649	-11.7169	44.4700	-14	148	-91	100589	0.61 
397.013	-0.1567	0.1289	1.0215	19.4092	5.3711	7.0801	2.1478	12.5079	-11.3379	44.4600	-15	146	-97	100589	0.61 
397.140	-0.1138	0.1172	1.0005	14.9536	13.3057	2.5024	4.3396	12.8485	-10.6348	44.4700	-12	143	-100	100589	0.61 
397.234	-0.0684	0.1646	1.0000	3.6011	22.8271	-1.8921	5.5646	14.1779	-10.4205	44.4800	-9	142	-106	100589	0.61 
397.313	-0.2041	0.1328	1.2378	-8.9722	24.5972	-1.8921	5.4657	16.0071	-9.9152	44.4800	-5	139	-107	100589	0.61 
397.421	-0.5444	-0.1704	1.3145	-32.2876	-22.6440	-7.0190	3.9935	17.1826	-10.1349	44.4900	4	144	-101	100589	0.61 
397.531	-0.4497	-0.1050	1.0034	-25.9399	-9.3384	-18.3716	-0.6976	17.7100	-15.1282	44.4800	0	148	-94	100589	0.61 
397.640	-0.2959	-0.1650	0.7046	-13.3667	4.6387	-42.6636	-3.9880	17.9901	-18.5504	44.4800	-6	150	-96	100589	0.61 
397.719	-0.2671	-0.0269	0.8267	-9.2163	16.9067	-13.9771	-5.9711	18.8196	-21.6925	44.4800	-12	154	-93	100590	0.61 
397.859	-0.2720	-0.2847	1.0132	2.1973	24.7803	-7.8735	-6.7786	20.3687	-21.9891	44.4800	-16	155	-91	100590	0.61 
397.953	-0.3496	-0.0781	1.3481	13.1226	-1.0376	1.6479	-5.9766	20.6598	-22.7802	44.4900	-13	151	-92	100589	0.61 
398.046	-0.4009	0.1997	0.8164	6.3477	-46.3257	13.3057	-5.0043	20.8356	-21.1267	44.4800	-9	152	-97	100589	0.61 
398.110	-0.3013	-0.0718	0.8086	27.9541	-26.5503	2.7466	-2.1588	20.8026	-18.9404	44.4800	-2	150	-104	100589	0.61 
398.234	-0.2529	0.0762	0.7046	24.4751	-15.5029	25.8179	1.5216	19.9347	-17.6111	44.4800	-7	147	-115	100589	0.61 
398.328	-0.2568	0.0264	0.7275	16.4185	5.9204	13.4277	4.0155	19.1382	-15.3918	44.4700	-1	145	-122	100588	0.61 
398.468	-0.1133	0.2061	0.9663	-0.7324	-6.5918	21.0571	5.9985	18.5669	-13.4363	44.4700	5	144	-125	100588	0.61 
398.531	-0.2017	0.1367	1.2114	-21.6064	-3.6011	5.4321	5.4602	17.4408	-11.0962	44.4700	13	143	-124	100588	0.61 
398.640	-0.3843	-0.3652	0.7598	-28.6865	-16.4185	0.2441	3.2849	17.1332	-10.2283	44.4600	17	149	-120	100588	0.62 
398.719	-0.2026	-0.0298	0.6768	-27.0996	-20.3857	-6.3477	-0.4285	18.2043	-12.7167	44.4800	16	155	-119	100587	0.62 
398.843	-0.3066	-0.1138	0.8145	-15.0757	4.7607	-23.0103	-3.3069	18.7537	-14.1174	44.4600	13	158	-114	100587	0.62 
398.937	-0.2061	-0.1465	0.8901	-9.5825	5.1880	-18.1274	-5.3833	18.4625	-16.0126	44.4500	7	161	-111	100587	0.62 
399.062	-0.2202	-0.1138	1.0723	-5.9204	10.7422	-15.9912	-6.6083	18.9899	-17.2321	44.4800	4	165	-107	100587	0.62 
399.125	-0.3447	-0.2578	1.4067	3.2959	-3.5400	0.7324	-7.4707	19.0558	-17.2430	44.4800	4	165	-108	100587	0.62 
399.265	-0.2544	0.2900	0.5933	22.6440	-26.9165	33.1421	-5.5975	18.6548	-17.1442	44.4600	4	167	-110	100587	0.62 
399.344	-0.2622	0.0615	0.8193	27.0386	-10.0098	7.2021	-2.0929	19.0283	-14.9908	44.4700	6	162	-119	100586	0.62 
399.453	-0.2832	-0.0039	0.7065	24.1699	-4.2114	24.6582	1.3953	18.3746	-12.7222	44.4500	7	160	-132	100586	0.62 
399.547	-0.2627	0.1216	0.8101	17.7002	1.5869	7.8735	4.0924	17.8363	-11.3434	44.4400	13	154	-142	100586	0.62 
399.656	-0.1699	0.1807	1.0449	-1.1597	21.3013	11.7188	5.5920	18.2758	-10.0964	44.4400	15	150	-145	100586	0.62 
399.765	-0.3047	0.1826	1.3887	-20.9961	1.8311	1.0986	5.0592	18.9734	-8.3551	44.4500	21	147	-145	100586	0.62 
399.844	-0.2827	-0.3213	0.8403	-30.3955	-13.3667	-46.0815	1.4392	18.8910	-9.5911	44.4400	22	157	-138	100585	0.62 
399.922	-0.3022	-0.0386	0.7715	-30.7617	-5.7983	16.1743	-1.6534	18.8690	-10.3876	44.4400	21	162	-132	100585	0.62 
400.078	-0.2368	-0.1172	0.6631	-18.4326	5.3101	-15.9912	-4.8669	19.1602	-10.6952	44.4200	20	170	-121	100585	0.62 
