StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
241.162	-0.1719	-0.0581	1.0273	-0.2441	-0.7935	1.4648	-3.6255	9.3658	73.4271	43.1500	166	48	-119	100593	0.61 
241.271	-0.1626	-0.0513	1.0259	0.1221	1.8921	2.6245	-3.5706	9.3988	73.5150	43.1300	162	48	-121	100593	0.61 
241.380	-0.1616	-0.0439	1.0400	0.6714	3.3569	3.2349	-3.4442	9.6899	73.7292	43.1300	165	53	-120	100593	0.61 
241.474	-0.1489	-0.0566	1.0322	-1.5259	3.9673	9.0942	-3.3398	9.9097	74.3335	43.1300	166	48	-124	100593	0.61 
241.568	-0.1558	-0.1206	1.0166	-3.4180	7.0190	8.4229	-3.5706	10.3107	75.3058	43.1200	166	47	-121	100593	0.61 
241.662	-0.1499	-0.1348	1.0317	0.1831	6.2256	7.3853	-3.7903	10.9094	76.2122	43.1200	171	41	-117	100593	0.61 
241.786	-0.1841	-0.1270	1.0186	5.9814	6.5308	5.3101	-3.6255	11.4423	76.9757	43.1400	174	45	-116	100593	0.61 
241.880	-0.2261	-0.0444	1.0459	10.2539	5.2490	24.9634	-2.4115	12.2937	78.5138	43.0900	176	41	-116	100593	0.61 
241.959	0.0049	0.0723	1.0098	11.4136	-0.7324	20.9961	-0.3790	12.3486	80.5463	43.1100	175	29	-113	100593	0.61 
242.146	-0.1060	0.1904	0.9238	14.8926	9.2773	8.6670	1.4117	12.3486	80.1233	43.1000	177	29	-112	100593	0.61 
242.177	-0.0444	0.1792	1.0415	4.4556	6.2866	4.9438	2.8180	13.0188	80.3210	43.0900	177	24	-109	100594	0.61 
242.271	-0.0298	0.1426	1.1069	0.0000	10.3149	2.3193	3.4552	12.9474	80.5573	43.0800	181	22	-108	100594	0.61 
242.396	0.0078	0.1157	1.3599	-3.6621	-12.3901	-14.5264	3.2849	11.8982	79.2828	43.1100	183	23	-105	100594	0.61 
242.474	-0.4238	0.0269	0.7603	-4.2725	-12.7563	-24.1699	2.8784	10.8160	76.1517	43.1000	175	26	-107	100594	0.61 
242.599	-0.2739	-0.0044	0.9517	-24.1089	-2.7466	-5.1880	0.4724	11.5027	73.9380	43.1000	169	39	-110	100594	0.61 
242.677	-0.1924	-0.1079	0.9116	-17.0898	10.0098	-14.0381	-2.2247	12.2003	73.5260	43.1000	171	43	-104	100594	0.61 
242.802	-0.0454	-0.1309	0.9263	-7.8735	-2.4414	-24.6582	-4.0759	12.1179	72.0209	43.0800	170	48	-97	100594	0.61 
242.896	-0.1377	0.0015	1.1675	6.8359	-15.9302	15.0146	-4.1418	11.7773	71.6583	43.0900	168	54	-96	100594	0.61 
243.021	-0.1377	0.1714	1.5103	-0.6714	-41.4429	42.1753	-3.6694	8.9923	74.6631	43.0800	165	50	-99	100594	0.61 
243.099	-0.3867	0.2300	0.5122	-11.9019	-3.8452	30.2124	-4.1144	7.3444	79.1840	43.1000	164	43	-101	100594	0.61 
243.193	-0.3672	-0.4043	0.9756	18.9209	25.2686	-40.7715	-4.4000	9.0033	81.0132	43.0800	167	35	-102	100593	0.61 
243.365	-0.0308	0.1543	0.8472	21.8506	7.8125	-26.4893	-1.5326	9.2505	75.6793	43.0900	166	38	-103	100593	0.61 
243.412	0.0386	0.1826	0.8667	-4.3335	4.2114	-11.7798	-0.4175	9.3549	73.3777	43.0600	164	42	-101	100593	0.61 
243.490	-0.2603	0.0879	1.3799	8.9722	-2.2583	-31.0059	-0.7416	8.3276	72.1472	43.0900	159	46	-102	100593	0.61 
243.630	-0.8208	0.1587	1.3276	18.0664	-1.3428	-13.5498	0.7581	7.3828	70.1093	43.0900	163	49	-102	100593	0.61 
243.755	-0.3965	0.0205	1.0239	-13.4888	11.6577	15.2588	0.2417	7.8113	71.5814	43.0800	157	48	-109	100593	0.61 
