StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
553.840	-0.3242	-0.0293	0.9116	-5.9204	8.9722	2.1973	-0.3461	13.0078	94.8505	43.9600	272	-17	-73	100552	0.65 
553.950	-0.2944	0.0229	0.6035	-4.5166	38.2080	-4.6387	-1.0931	16.3257	94.7900	43.9500	279	-15	-65	100552	0.65 
554.059	-0.1919	0.1050	0.5996	-5.1880	52.8564	22.0337	-0.9778	21.0498	95.2734	43.9700	290	-17	-49	100552	0.65 
554.154	-0.4536	0.0220	0.5229	-10.8643	140.2588	22.4609	-1.7963	28.7018	97.7618	43.9600	294	-28	-24	100552	0.65 
554.247	-0.3042	0.0474	0.8628	6.2866	86.2427	-5.0049	-1.0767	33.8434	100.1074	43.9600	301	-40	10	100552	0.64 
554.372	-1.0234	0.0137	1.1577	4.2114	72.0215	-15.0146	-0.5768	39.7540	99.6405	43.9500	305	-43	38	100553	0.64 
554.481	-1.2207	-0.1401	1.0679	-18.2495	57.2510	-28.6865	-4.3671	44.8407	95.1691	43.9300	299	-37	58	100554	0.64 
554.559	-0.9175	0.1816	0.8643	4.2725	4.5776	-17.3340	-7.2290	45.7800	91.9611	43.9300	294	-28	73	100555	0.64 
554.684	-0.9614	0.0347	0.8589	-3.6011	7.2632	11.8408	-7.7069	49.9878	91.0217	43.9400	289	-26	89	100556	0.64 
554.794	-1.1348	-0.0688	0.8149	-4.9438	-25.6348	-6.4697	-7.7673	48.5870	92.0709	43.9300	286	-31	94	100556	0.64 
554.888	-1.0483	-0.1812	0.7544	-8.7891	1.4648	14.2212	-7.9431	47.7301	93.0048	43.9200	281	-31	90	100557	0.64 
555.059	-0.6758	-0.0684	0.6440	-1.5869	-6.8359	5.3711	-7.2675	47.7081	94.6857	43.9100	280	-35	89	100558	0.64 
555.122	-0.6777	-0.0596	0.6372	-1.0986	-8.5449	2.1973	-6.5973	47.2632	95.8173	43.9300	286	-42	86	100559	0.64 
555.201	-0.8208	-0.0757	0.6665	-5.5542	-5.9204	17.8223	-5.3558	46.9556	98.1409	43.9300	282	-44	85	100559	0.64 
555.341	-0.8037	-0.0356	0.7573	3.0518	3.1128	15.0757	-4.1583	46.8457	99.9701	43.9400	281	-47	82	100559	0.64 
555.419	-2.0103	0.1826	1.6963	17.5171	59.5093	-5.3101	-2.6093	50.6360	100.9479	43.9400	281	-52	91	100560	0.64 
555.560	-1.3330	0.0981	1.3179	26.2451	15.5640	34.9731	0.7910	53.1683	101.7828	43.9300	285	-51	105	100559	0.64 
555.654	-1.3516	-0.1494	1.1016	10.5591	-78.1860	-13.7939	5.2460	49.6417	104.3701	43.8900	290	-51	107	100559	0.64 
555.747	-1.6553	-0.0620	1.3350	-29.1138	-193.4204	0.9766	4.8889	40.3967	103.5626	43.8700	300	-46	78	100559	0.64 
555.888	-0.6353	-0.1543	-2.0806	21.9727	-69.4580	-62.5610	2.7795	15.1556	99.5032	43.8200	292	-35	-28	100558	0.64 
555.951	0.7222	0.0488	-0.6025	1.9531	-96.9849	4.4556	3.8068	10.6018	97.4707	43.7900	278	-16	-74	100557	0.64 
556.107	-0.2427	0.0103	-0.1572	-8.0566	16.6626	14.9536	-1.3293	8.9374	99.1681	43.7700	261	-12	-106	100555	0.64 
556.185	-0.0464	-0.0439	-0.0483	-15.2588	25.3906	-23.4985	-5.8557	11.9971	100.5139	43.7600	265	-13	-98	100554	0.64 
556.279	-0.0630	-0.0049	-0.1792	-3.3569	29.2969	-19.2261	-6.6577	14.2987	96.2897	43.7600	275	-7	-87	100553	0.64 
556.404	-5.7207	-0.6973	6.3931	15.3198	299.4385	79.8340	-8.3057	39.5178	93.0212	43.7800	299	-6	-20	100553	0.64 
556.498	-1.7075	-0.7002	1.8911	3.6621	44.0063	-25.9399	-8.5364	28.3557	93.2355	43.7400	298	-7	3	100554	0.64 
556.607	-0.0957	0.0825	-0.2358	11.5967	-117.6147	-11.5967	-5.5975	20.3522	92.5323	43.7100	296	3	-15	100554	0.64 
556.685	-0.3418	-0.0220	0.2930	10.4370	22.0337	20.3857	-2.8015	17.2266	94.4879	43.6800	287	1	-55	100554	0.64 
556.810	-0.1685	-0.0435	0.5991	-4.2114	-48.1567	-6.8359	-2.2961	17.2705	95.2240	43.6600	287	-3	-52	100554	0.64 
556.904	-0.6768	-0.0640	1.3018	-5.3711	8.0566	5.0049	-1.7853	19.8138	95.3174	43.6900	286	-5	-49	100555	0.64 
557.013	0.0303	0.0444	0.8921	-5.7373	8.2397	-7.7515	-1.6150	14.5129	95.8063	43.6700	280	-5	-59	100555	0.64 
557.122	-0.2437	-0.1016	0.8813	-5.0049	-4.2725	12.1460	-1.7358	15.1007	96.4929	43.7000	280	-7	-66	100554	0.64 
557.201	-0.3081	0.0000	1.0073	0.6714	-0.4883	-9.4604	-1.6919	15.4578	96.1304	43.7000	280	-9	-61	100555	0.64 
557.326	-0.2529	0.0322	0.9976	1.1597	-0.7324	-4.2725	-1.6754	14.6558	95.2460	43.7000	278	-4	-66	100554	0.64 
557.404	-0.2666	-0.0303	0.9717	-1.5869	-5.1270	8.7891	-1.6260	14.3097	95.4108	43.7200	277	-2	-66	100555	0.64 
557.544	-0.2544	-0.0093	1.0117	-0.9155	-1.0986	4.6997	-1.5656	14.0460	95.8118	43.7200	278	-7	-67	100554	0.64 
557.638	-0.2422	-0.0083	0.9800	-0.6714	0.6104	12.2070	-1.3568	14.2603	96.3556	43.7200	278	-9	-72	100555	0.64 
