StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
257.047	-0.1802	0.0127	1.0269	-0.5493	-6.4697	0.9766	0.6921	9.2670	85.9680	44.3600	195	16	-69	100565	0.63 
257.125	-0.1934	0.0098	1.0234	0.9155	-18.6157	3.7842	0.6866	8.4814	86.0339	44.3600	195	15	-72	100565	0.63 
257.266	-0.2080	0.0156	1.0513	1.8921	-28.6255	1.8311	0.8295	6.5533	86.1877	44.3700	190	18	-77	100565	0.63 
257.344	-0.1216	0.0127	1.0425	5.5542	-47.4243	9.2163	1.2799	2.9333	86.6217	44.3800	186	13	-87	100565	0.63 
257.469	-0.0195	0.0332	1.0645	0.9766	-65.2466	21.3623	1.7523	-2.7081	87.8082	44.3900	175	10	-104	100565	0.63 
257.563	0.1143	0.0332	1.0376	5.1270	-111.2671	0.3662	2.1588	-11.0138	88.1158	44.3900	152	12	-123	100565	0.63 
257.656	0.2212	0.0103	0.7412	5.3711	-70.3735	6.6528	1.7908	-22.6154	89.4672	44.3900	116	5	-149	100566	0.63 
257.766	0.6772	0.0986	0.7236	-1.7700	-114.6240	26.2451	1.8402	-31.5967	90.1373	44.3900	84	4	-168	100566	0.63 
257.875	0.5381	-0.1362	0.6709	-5.4321	-92.4683	22.1558	-0.4944	-41.6711	93.2135	44.3800	46	2	-177	100566	0.63 
257.969	0.9526	-0.1123	0.7695	-8.4839	-86.8530	2.8076	-2.8290	-50.1251	94.9109	44.3800	12	0	-185	100566	0.63 
258.094	1.0410	-0.1602	0.4463	4.3945	-65.0635	-15.5029	-3.2245	-58.9691	95.1526	44.3600	-19	2	-188	100566	0.63 
258.173	0.9878	0.1924	0.3330	5.1270	-68.2373	-0.2441	-1.5051	-65.5170	94.0430	44.3300	-43	0	-183	100566	0.63 
258.313	0.8711	0.0845	0.2861	-0.6104	24.2310	-12.0850	-1.4722	-67.6154	93.9276	44.3100	-58	1	-180	100566	0.63 
258.391	0.9473	-0.0400	0.6123	-9.2773	25.7568	12.5732	-2.9004	-64.2426	94.6802	44.3100	-50	1	-181	100566	0.63 
258.516	0.8267	-0.0894	0.4795	-2.5024	-15.1367	4.1504	-5.5811	-63.1824	97.0807	44.2900	-46	4	-180	100566	0.63 
258.594	0.9258	-0.0024	0.4028	2.7466	-8.4839	-2.0142	-5.3394	-64.4623	96.8719	44.2900	-46	5	-182	100566	0.63 
258.704	0.9507	-0.0010	0.3779	-0.6104	-0.9155	-0.5493	-5.2295	-65.1434	96.6742	44.2900	-51	3	-180	100566	0.63 
258.860	0.8882	-0.0254	0.4341	-0.6714	5.9814	3.2959	-5.3778	-64.8029	96.6962	44.2900	-49	0	-183	100566	0.63 
258.938	0.9248	-0.0640	0.4951	-0.1221	-2.5024	-0.9766	-5.6195	-64.4073	96.8335	44.2800	-47	6	-182	100566	0.63 
259.063	0.9438	-0.0195	0.3862	-0.0610	-4.0283	-0.2441	-5.7074	-64.9292	96.7896	44.2900	-48	3	-184	100566	0.63 
259.141	0.9116	-0.0005	0.4263	-1.3428	-0.4272	2.7466	-5.8008	-65.0006	96.7181	44.2900	-49	3	-183	100566	0.63 
259.313	0.9287	-0.0498	0.4375	-0.3052	0.7935	0.7935	-6.3281	-64.9182	97.1686	44.3000	-49	4	-184	100566	0.63 
259.375	0.9180	-0.0396	0.4111	-0.4272	-0.7935	0.4272	-6.7017	-64.9896	97.4817	44.2800	-50	3	-181	100566	0.63 
259.469	0.9150	-0.0313	0.4302	-0.3662	-0.1831	0.9766	-6.7236	-65.0775	97.3828	44.2800	-50	4	-183	100566	0.63 
259.578	0.9370	-0.0298	0.4263	-0.8545	0.0000	2.0752	-6.8555	-65.1215	97.4487	44.2900	-50	3	-185	100566	0.63 
259.719	0.9404	-0.0127	0.4355	-3.5400	-2.9907	5.2490	-7.3773	-65.2863	97.8497	44.3000	-48	8	-182	100566	0.63 
259.782	0.8740	0.0137	0.4087	-1.6479	-25.1465	-18.7988	-6.1688	-66.3849	95.8282	44.3000	-51	9	-182	100566	0.63 
259.922	0.8086	-0.4448	0.2856	9.2163	-5.2490	29.8462	-11.2445	-67.0276	102.1234	44.3000	-58	4	-176	100566	0.63 
260.016	1.0771	-0.0483	0.4463	7.9346	47.6685	2.0142	-8.4375	-64.5886	100.2722	44.3000	-52	3	-179	100566	0.63 
