11 steps
StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
96.242	-0.1157	-0.0054	1.0029	-2.9907	-7.7515	-5.9814	-0.0110	9.8053	86.0889	44.0000	188	15	-85	100558	0.64 
96.336	-0.0820	0.0454	1.0215	-4.3335	1.8311	12.6343	-0.2802	9.7833	85.9406	44.0200	188	18	-85	100558	0.64 
96.446	-0.0732	-0.0435	1.0273	0.0000	10.4370	4.5166	-0.6317	10.1898	86.4954	44.0100	192	15	-80	100558	0.64 
96.539	-0.1035	-0.0244	0.9834	5.2490	17.8223	-6.0425	-0.5109	11.1456	86.2427	44.0000	196	11	-79	100558	0.64 
96.633	-0.1138	0.0498	0.9146	1.9531	22.5220	1.8921	-0.0934	12.8815	85.9845	44.0300	196	14	-74	100558	0.64 
96.742	-0.1240	-0.1948	1.1377	-31.7383	44.2505	20.2637	-0.6757	15.5896	88.4180	44.0400	203	12	-66	100559	0.64 
96.836	-0.0610	-0.0693	0.8320	2.7466	37.9028	34.6680	-0.7635	17.2485	90.3296	44.0200	213	6	-57	100559	0.64 
96.961	-0.2217	0.0303	1.1216	17.8223	56.2744	-3.3569	0.6262	21.7804	91.2909	44.0200	222	0	-43	100559	0.64 
97.055	0.0391	-0.0874	1.3301	4.5776	45.8374	-8.3618	1.6315	25.1147	90.2582	44.0200	232	0	-27	100559	0.64 
97.164	-0.3301	0.5742	0.1543	2.3804	54.8706	-30.4565	1.8842	26.6693	87.8687	44.0100	236	1	-14	100560	0.64 
97.258	-0.7891	0.2754	1.3999	-9.5825	57.9224	10.4370	3.2684	31.1298	89.5001	43.9800	242	3	-3	100560	0.64 
97.367	-0.0034	-0.0669	0.5688	-7.4463	-110.1074	-123.4131	-0.9064	27.8833	85.6989	43.9600	247	4	0	100560	0.64 
97.446	0.0103	0.0298	-0.0479	5.2490	-93.4448	-70.4956	-3.8562	23.1757	76.6187	43.9300	233	33	-13	100561	0.64 
97.571	-0.6133	-0.1367	0.1123	7.9956	50.0488	13.5498	-0.4010	21.5826	77.4866	43.8600	229	42	-29	100562	0.64 
97.680	-0.3896	-0.1777	1.9722	12.3291	22.8882	80.5664	2.1698	26.8671	83.6169	43.8100	245	31	-11	100562	0.64 
