14 steps
StartTime: 2017-07-14 14:11:10.644
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
12.524	-0.1709	-0.0156	1.0239	0.1831	0.6714	-0.2441	-1.4227	9.7394	-8.1244	44.1800	-5	146	-67	100569	0.63 
12.680	-0.1821	0.0396	1.0112	4.7607	1.8921	9.4604	-1.1206	9.7668	-7.8882	44.2000	-7	147	-70	100569	0.63 
12.727	-0.0850	0.0273	0.9585	1.6479	-13.3667	9.4604	-0.3680	9.3054	-6.4819	44.2000	-4	147	-71	100569	0.63 
12.836	-0.1436	0.0464	1.0034	-4.2725	-6.3477	8.3008	-0.1593	8.6188	-5.3723	44.2100	-6	145	-71	100570	0.63 
12.915	-0.1040	-0.1245	1.0215	-13.6108	9.5825	6.8970	-0.8679	8.7122	-4.3781	44.2000	-3	146	-69	100570	0.63 
13.086	-0.1523	0.0488	1.2139	-7.3242	4.5166	1.9531	-1.9775	10.0580	-5.1746	44.2100	2	149	-66	100570	0.63 
13.133	-0.0498	-0.0557	0.9263	-16.6016	-14.8926	8.2397	-3.3398	9.1736	-4.5758	44.2200	4	149	-64	100570	0.63 
13.243	-0.0942	-0.1338	0.9766	1.1597	3.8452	-5.1270	-4.5923	8.6353	-4.1199	44.2200	6	153	-65	100570	0.63 
13.321	-0.0562	-0.0889	1.1724	0.0610	-13.6108	2.1973	-4.3066	8.4430	-4.0045	44.2200	10	151	-63	100570	0.63 
13.415	0.1016	-0.1260	0.9746	12.6953	-7.5073	-6.2256	-3.9825	7.0972	-4.0045	44.2200	8	150	-62	100571	0.63 
13.555	-0.2563	-0.1626	0.8784	1.7090	-8.1787	30.0903	-3.3673	8.5419	-3.2300	44.2100	13	146	-62	100570	0.63 
13.665	-0.0977	-0.0122	0.8101	25.4517	-6.8970	8.7280	-1.4557	10.0909	-2.3071	44.2200	19	149	-71	100570	0.63 
13.758	-0.2271	0.2100	0.7617	15.8081	21.3623	6.7139	1.0162	10.7776	-1.9940	44.2100	20	148	-80	100570	0.63 
13.806	-0.1582	0.1187	1.0508	8.1787	10.2539	-2.1973	2.2467	12.1234	-1.3293	44.2000	27	143	-83	100570	0.63 
13.930	-0.0410	0.0171	1.2129	-11.5356	-32.8369	5.4932	2.9388	11.5137	-0.2087	44.2000	28	143	-85	100570	0.63 
14.025	-0.3003	0.0469	0.8130	-7.2632	-29.3579	-5.1270	2.3950	11.3104	-0.6097	44.1900	30	143	-88	100570	0.63 
14.165	-0.1548	0.0518	0.9336	-16.4795	-14.5874	-5.1880	0.4285	11.2885	-2.2577	44.1900	27	145	-90	100570	0.63 
14.227	-0.1543	-0.1099	0.6821	-11.3525	-4.3335	-16.4795	-1.7084	10.4425	-2.7136	44.1900	24	151	-85	100570	0.63 
14.352	-0.1338	-0.0698	0.8125	-2.7466	8.7891	-3.6621	-2.6477	10.9094	-3.7463	44.1900	20	154	-87	100569	0.63 
14.477	-0.1904	-0.2749	1.5742	-3.4790	1.5259	-0.3052	-3.1036	11.7883	-3.2849	44.2000	24	153	-84	100569	0.63 
14.524	-0.5386	-0.0474	1.1084	-9.5825	-23.6816	12.6953	-3.1366	11.0083	-3.8123	44.2000	22	154	-84	100568	0.63 
14.618	-0.2710	-0.0337	1.0757	11.7188	-8.3008	28.9917	-1.7743	10.7721	-1.1481	44.2000	24	152	-90	100568	0.63 
14.728	-0.1909	0.0859	0.7676	7.6904	-1.1597	10.8032	-0.2307	10.7117	0.6482	44.1800	31	153	-98	100568	0.63 
14.821	-0.0737	0.0366	0.7310	6.9580	5.3711	15.7471	0.8020	11.3489	2.4774	44.1800	36	153	-101	100567	0.63 
14.930	-0.0762	0.0781	1.1880	7.2632	3.1738	1.6479	1.8127	11.7609	3.8013	44.1800	37	150	-102	100567	0.63 
15.071	-0.7109	0.2378	1.4771	16.7236	9.7656	-29.0527	1.7084	11.9586	2.9279	44.2000	41	151	-103	100566	0.63 
15.134	-0.4253	-0.0142	1.0962	-20.8130	9.9487	-15.3809	0.7361	12.6672	1.4996	44.1900	36	152	-110	100566	0.63 
15.227	-0.0967	-0.1519	0.5703	-18.7988	3.4790	-1.5869	-1.9501	12.0630	1.5491	44.1800	34	156	-102	100565	0.63 
15.337	-0.1621	-0.0273	0.9087	-0.3052	19.4092	-6.3477	-3.2300	13.1891	0.8679	44.2000	37	160	-101	100565	0.63 
