StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
987.254	-0.2808	-0.0962	0.9951	-0.3662	0.0000	0.8545	-5.2295	15.0732	77.7448	45.0300	214	51	-63	100558	0.64 
987.332	-0.3232	-0.0845	0.9922	-1.2817	4.8218	-0.6104	-5.2734	15.2985	77.6569	45.0400	213	52	-66	100558	0.64 
987.426	-0.3218	-0.1025	0.9883	-4.7607	-1.2207	3.2959	-5.4822	15.4688	77.8601	45.0300	215	52	-63	100558	0.64 
987.551	-0.3472	-0.1265	0.9707	3.5400	-8.8501	-0.4272	-5.6195	15.0568	77.9370	45.0400	212	51	-66	100558	0.64 
987.644	-0.3271	-0.1006	0.9526	6.2866	-16.6626	4.4556	-5.0317	14.1064	78.0359	45.0300	210	49	-67	100557	0.64 
987.739	-0.3374	-0.1006	0.9854	4.0283	-21.5454	10.3760	-4.3835	12.7002	78.8269	45.0400	210	50	-76	100557	0.64 
987.855	-0.3135	-0.1079	0.9580	4.4556	-26.7944	9.4604	-3.9276	10.6567	79.9475	45.0400	205	44	-81	100557	0.64 
987.964	-0.2778	-0.0938	0.9399	6.5918	-36.4990	3.0518	-3.4387	8.0255	80.6836	45.0300	197	42	-92	100558	0.64 
988.042	-0.2676	-0.0449	0.9077	7.8125	-40.6494	0.0000	-2.7466	4.7845	80.7330	45.0400	191	43	-105	100558	0.64 
988.136	-0.1855	-0.0659	0.7437	5.4321	-37.3535	4.2725	-2.0874	1.5985	80.9363	45.0500	181	37	-114	100558	0.64 
988.261	-0.1738	0.2485	0.0078	-2.2583	-8.7280	33.5083	-0.5768	-0.5493	81.0956	45.0500	173	35	-125	100557	0.64 
988.355	0.0068	-0.1621	0.4268	5.6763	-5.3711	7.8125	-0.5328	-1.2799	83.1061	45.0300	172	28	-125	100558	0.64 
988.464	0.9043	0.7627	2.2188	-23.1323	-151.7944	41.9312	0.0714	-9.1736	84.8309	45.0300	162	20	-129	100558	0.64 
988.543	1.3286	-0.6348	1.0381	-61.7676	-401.6724	137.5732	-10.0635	-37.9248	99.4977	45.0200	99	14	-161	100559	0.64 
988.683	0.9893	-0.4751	-0.0571	-91.5527	-123.4131	34.6680	-35.0354	-62.6495	120.5640	45.0100	-4	22	-182	100560	0.64 
988.777	0.5913	-0.3916	-0.8315	-4.3945	-105.2246	-1.8921	-67.7637	-68.1372	151.3312	45.0000	-61	46	-170	100560	0.64 
988.886	0.7373	-0.3413	-0.3657	26.3672	97.5342	-14.1602	-67.6868	-68.0823	151.3477	44.9800	-77	51	-161	100561	0.64 
988.995	0.9282	-0.3013	0.7329	40.4053	108.4595	-61.1572	-36.6010	-63.0341	120.9265	44.9700	-53	47	-174	100561	0.64 
989.089	0.7456	-0.0620	0.6689	-1.3428	-14.4043	-10.0708	-24.3292	-60.7599	108.6987	44.9600	-28	32	-180	100561	0.64 
989.199	0.7456	-0.0757	0.5723	-7.9346	-4.0894	10.4980	-23.8348	-60.1611	107.5726	44.9700	-24	30	-183	100561	0.64 
989.339	1.0215	-0.3052	0.3652	-7.5684	-10.9253	3.4790	-27.0923	-61.2213	110.2753	44.9700	-29	33	-187	100561	0.64 
989.448	0.8799	-0.3208	0.3662	-1.4648	14.7095	3.2959	-28.9435	-60.9906	111.8518	44.9700	-27	36	-182	100562	0.64 
989.512	0.8008	-0.2134	0.5361	4.2114	7.3242	-4.2114	-27.4493	-59.6063	110.4785	44.9700	-21	34	-182	100563	0.64 
989.652	0.8550	-0.1919	0.4849	-0.6104	-1.6479	-0.5493	-26.1969	-59.4086	109.3030	44.9600	-22	33	-182	100563	0.64 
989.746	0.8672	-0.2026	0.4390	-2.5024	4.6997	1.5259	-26.2244	-59.4305	109.0997	44.9800	-19	32	-185	100563	0.64 
989.870	0.8726	-0.2422	0.4956	0.1221	7.5684	0.6104	-26.0431	-58.7000	108.8416	44.9700	-16	32	-183	100563	0.64 
989.964	0.8477	-0.2202	0.5181	-0.4883	2.3193	-0.4272	-25.6036	-58.0737	108.3691	44.9800	-13	35	-180	100563	0.64 
990.074	0.8506	-0.2148	0.5049	0.3052	2.1973	-1.5869	-25.1971	-57.8485	107.8253	44.9700	-13	37	-183	100564	0.64 
990.168	0.8413	-0.1992	0.5088	0.4883	2.5024	-3.2349	-24.6423	-57.7332	107.2046	44.9700	-14	34	-184	100564	0.63 
990.292	0.8535	-0.2148	0.5254	-0.6714	1.5869	0.8545	-24.4281	-57.4255	106.9849	44.9700	-12	32	-185	100564	0.63 
990.387	0.8535	-0.2178	0.5122	-0.4883	-0.3052	1.4038	-24.6918	-57.3212	107.2266	44.9700	-10	33	-184	100564	0.63 
990.511	0.8530	-0.2212	0.4951	-0.2441	-0.3662	0.7935	-24.9060	-57.3596	107.5397	45.0000	-11	33	-187	100564	0.64 
990.620
