StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1155.110	-0.1694	-0.0469	1.0005	-0.3052	1.7090	8.5449	-3.7354	11.6785	170.9308	45.3700	53	-152	-110	100553	0.64 
1155.203	-0.1611	-0.0718	0.9673	-4.7607	22.8271	2.8076	-3.7958	12.5848	171.2933	45.3800	50	-153	-110	100553	0.64 
1155.297	-0.2329	-0.0859	0.9722	-1.5869	11.7798	-10.4370	-4.2407	14.2603	170.8154	45.3700	51	-152	-110	100554	0.64 
1155.407	-0.2554	-0.0054	0.9658	-5.3711	21.1792	-13.9771	-5.0372	15.3973	168.9148	45.3800	63	-147	-111	100554	0.64 
1155.500	-0.2446	0.0542	0.9668	-18.4326	17.5781	0.1831	-5.6744	17.2321	168.6786	45.3900	64	-150	-110	100554	0.64 
1155.612	-0.2856	0.0386	0.9600	-23.8647	7.3853	16.1743	-6.8280	18.6658	169.4806	45.3700	70	-144	-114	100554	0.64 
1155.721	-0.4238	-0.0737	0.9771	-28.7476	12.5732	-7.8125	-8.9923	19.8083	169.9091	45.4000	69	-143	-114	100553	0.64 
1155.799	-0.4014	-0.0356	0.8521	-39.1846	15.0757	-21.4844	-12.3047	21.1102	168.5138	45.3700	70	-134	-124	100553	0.64 
1155.924	-0.3477	-0.0737	0.6816	-49.9268	16.3574	-15.4419	-16.9849	22.2418	166.1133	45.3500	79	-122	-132	100553	0.64 
1156.003	-0.3115	-0.0640	0.6802	-34.9731	8.0566	-44.5557	-22.5549	22.4396	161.9769	45.3200	92	-105	-140	100554	0.64 
1156.127	-0.1328	-0.2046	0.1143	5.6763	18.4326	-72.9980	-26.4606	21.0663	156.5167	45.2800	97	-93	-145	100555	0.64 
1156.237	0.0947	-0.0825	0.0908	-24.9023	25.8789	-109.3140	-31.8768	20.4456	145.3107	45.2600	114	-81	-140	100555	0.64 
1156.346	-0.4014	-1.5996	2.0488	-133.6060	24.7803	-155.2734	-44.0497	12.7771	133.5388	45.2500	131	-53	-138	100556	0.64 
1156.440	0.4673	-2.0801	0.0029	-137.7563	-171.0815	-23.9258	-60.2985	-2.0270	137.2577	45.2300	116	3	-156	100557	0.64 
1156.565	0.1777	-0.1982	0.2114	-100.2197	-99.0601	16.9067	-71.1694	-5.4327	145.1184	45.2100	76	48	-168	100558	0.64 
1156.643	0.0366	-0.7925	-0.0493	-78.1250	-70.3125	-7.6294	-83.3533	-11.2006	152.3254	45.1700	46	85	-164	100559	0.64 
1156.784	0.2261	-1.2417	-0.2388	12.0239	-3.1128	31.4331	-88.6597	-9.8602	157.0715	45.1600	29	99	-156	100560	0.64 
1156.893	0.0254	-1.0498	0.0493	26.8555	-7.8125	46.9971	-85.8527	-5.6744	157.2693	45.1300	33	98	-154	100560	0.64 
1156.971	-0.0703	-0.9683	0.0972	17.5171	8.4229	26.4893	-84.1553	-0.9833	158.2526	45.1400	39	88	-157	100560	0.64 
1157.127	-0.1006	-1.0200	0.1621	-2.3193	4.8828	-15.9302	-83.3258	-0.1813	158.2031	45.1400	42	80	-159	100561	0.64 
1157.190	0.0229	-1.0400	0.0908	-7.3853	-3.1738	-30.6396	-84.0619	-2.6093	158.3514	45.1600	41	88	-159	100561	0.64 
1157.331	0.1523	-0.9624	0.0425	-0.4272	-4.0283	-12.5732	-84.6716	-5.1086	158.7469	45.1500	37	90	-157	100561	0.64 
1157.409	0.0776	-0.9766	0.0811	1.0376	0.5493	10.6812	-84.6002	-5.1965	159.0930	45.1500	37	88	-158	100562	0.64 
1157.487	0.0420	-1.0098	0.0903	-5.6152	-5.3711	5.9204	-84.7760	-4.1858	159.6643	45.1600	37	87	-161	100562	0.64 
1157.612	0.0664	-0.9990	0.0469	-1.4038	-3.3569	-0.6714	-85.2759	-4.0430	160.5157	45.1800	33	92	-158	100562	0.64 
1157.706	0.0640	-1.0015	0.0674	-2.5024	-0.1831	1.8921	-85.5121	-3.8947	160.7739	45.1700	34	90	-162	100562	0.64 
1157.799	0.0483	-1.0005	0.0601	-3.5400	-2.1362	2.5024	-85.7867	-3.6859	161.1255	45.1700	34	92	-159	100562	0.64 
1157.940	0.0508	-0.9844	0.0596	-1.0376	1.0376	4.0894	-86.1218	-3.4113	161.3837	45.1800	35	91	-155	100562	0.64 
1158.018	0.0547	-1.0088	0.0615	-1.0376	0.9766	4.5776	-86.2921	-2.9828	161.5594	45.2000	38	86	-159	100562	0.64 
1158.112	0.0405	-1.0000	0.0566	-1.1597	-0.4883	2.6245	-86.4020	-2.5598	161.7078	45.1800	39	88	-156	100562	0.64 
1158.237	0.0640	-0.9951	0.0547	0.0610	0.6714	0.1831	-86.4844	-2.4554	161.8945	45.2000	36	93	-156	100562	0.64 
1158.346	0.0342	-1.0117	0.0547	-0.8545	0.7935	1.2207	-86.5558	-2.3676	162.0319	45.1800	37	92	-159	100562	0.64 
1158.425	0.0352	-0.9990	0.0645	0.8545	1.7090	1.4648	-86.5613	-2.2797	162.1307	45.1900	38	89	-159	100563	0.64 
1158.550
