StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1122.361	-0.2446	-0.0942	0.9937	0.3662	1.2207	-2.5635	-4.8505	13.7769	-4.7296	45.3800	16	151	-100	100552	0.65 
1122.502	-0.2607	-0.0874	0.9976	1.8921	2.9297	-2.5024	-4.8669	14.0240	-5.1196	45.3500	15	146	-102	100552	0.65 
1122.564	-0.2583	-0.1099	0.9985	2.1362	4.8828	-0.6714	-4.7461	14.3756	-5.3448	45.3800	15	146	-101	100552	0.64 
1122.689	-0.2656	-0.1191	0.9946	3.8452	6.1646	-1.6479	-4.6033	14.9854	-5.5042	45.3800	15	145	-103	100552	0.64 
1122.767	-0.2759	-0.0903	0.9761	5.1880	7.0801	-0.6104	-4.3011	15.5841	-5.7678	45.3500	16	145	-108	100552	0.65 
1122.814	-0.2549	-0.1450	0.9351	10.9253	13.0615	6.9580	-3.6200	16.4575	-5.5920	45.3700	18	143	-109	100551	0.65 
1122.955	-0.3179	-0.0845	0.9541	18.9819	15.6860	6.4087	-2.2357	18.0890	-5.3284	45.3800	20	141	-109	100551	0.65 
1123.095	-0.3145	-0.0811	0.9595	18.4937	8.4839	16.6016	-0.0659	19.0503	-4.1583	45.3600	23	139	-116	100551	0.65 
1123.142	-0.3159	-0.1084	0.9453	19.4092	4.5776	17.2729	1.9281	19.5502	-2.5433	45.3700	33	135	-121	100551	0.65 
1123.220	-0.3369	-0.1357	0.8853	35.4004	11.5356	-0.4272	4.0924	20.4456	-2.0490	45.3800	37	129	-126	100551	0.65 
1123.345	-0.4224	-0.0508	0.7822	51.0864	12.7563	14.8315	8.1299	22.0001	-1.9556	45.3700	39	119	-135	100551	0.65 
1123.471	-0.4185	-0.0742	0.6948	65.2466	20.5688	7.3242	13.6945	24.4940	-1.5656	45.3500	47	105	-145	100552	0.65 
1123.533	-0.3374	0.1846	0.4141	50.7202	2.6855	15.9302	19.1766	25.8069	-1.7908	45.3500	49	90	-152	100552	0.65 
1123.642	-0.1768	0.1328	0.1460	41.7480	-24.3530	109.5581	27.6910	21.9562	4.9109	45.3200	53	69	-162	100551	0.65 
1123.736	-0.2681	1.0347	-0.0596	112.4268	-36.3159	162.2925	39.6606	13.3759	14.8370	45.2800	68	46	-168	100551	0.65 
1123.830	0.0889	2.4360	1.8853	162.3535	-145.2637	239.5630	56.4368	-3.1915	25.3180	45.2200	75	-3	-173	100552	0.64 
1123.940	0.5566	0.8789	0.3652	105.7739	-89.2334	114.2578	71.7242	-22.7252	20.6049	45.1900	34	-60	-170	100553	0.64 
1124.034	0.6147	0.2344	-0.4321	32.8979	-42.1143	55.7251	84.1278	-33.6676	14.2163	45.1500	-11	-92	-156	100554	0.64 
1124.158	0.5854	0.6245	-0.1616	-31.2500	30.1514	59.3262	85.8417	-39.5837	12.9419	45.1500	-31	-100	-149	100555	0.64 
1124.314	0.9717	0.8037	0.3647	-36.2549	42.4805	-1.4038	78.4644	-43.7256	18.6273	45.1300	-37	-87	-155	100556	0.64 
1124.377	0.6670	0.5688	0.3867	-8.8501	1.2817	-58.5327	73.8776	-40.7758	22.1594	45.1300	-28	-76	-163	100557	0.64 
1124.502	0.4370	0.7461	0.2598	-25.5737	-8.2397	-55.4199	73.8666	-35.0024	20.2588	45.1300	-22	-73	-161	100558	0.64 
1124.565	0.2046	1.0400	0.4033	-10.6201	22.3389	-35.9497	71.9989	-30.0256	20.0830	45.1300	-12	-74	-166	100558	0.64 
1124.721	0.2959	1.0029	0.2285	-0.5493	21.2402	-20.6299	72.0758	-27.0209	19.4843	45.1400	-4	-70	-169	100558	0.64 
1124.768	0.4824	0.8110	0.2720	2.4414	8.4229	-2.5635	71.2573	-25.3345	21.2036	45.1200	4	-70	-167	100558	0.64 
1124.908	0.3765	0.9194	0.3477	-1.6479	-0.0610	-1.6479	70.4608	-24.5764	22.3572	45.1100	10	-69	-167	100559	0.64 
1124.986	0.3984	0.8760	0.3286	0.4272	1.8311	-3.5400	70.4993	-24.3842	22.5000	45.1200	12	-70	-169	100560	0.64 
1125.111	0.3984	0.8452	0.3418	-0.2441	0.1221	-4.2114	70.4279	-23.9832	22.6263	45.1200	12	-73	-166	100560	0.64 
1125.189	0.3472	0.9014	0.3296	1.3428	0.8545	-5.3101	70.4388	-23.5162	22.6208	45.1100	11	-74	-165	100560	0.64 
1125.346	0.3789	0.8677	0.3286	-2.0752	2.1362	2.9907	70.2521	-23.5657	22.9669	45.1100	14	-70	-169	100561	0.64 
1125.439	0.4028	0.8530	0.3511	-2.3193	1.7700	2.8076	69.7302	-23.7964	23.4119	45.1200	15	-70	-173	100561	0.64 
1125.502	0.3901	0.8750	0.3477	-1.2817	0.6714	2.8687	69.3951	-23.9172	23.7579	45.1300	15	-71	-168	100561	0.64 
1125.627	0.4214	0.8438	0.3462	-1.2207	1.5259	0.3052	69.1754	-24.0601	23.9447	45.1200	11	-72	-166	100561	0.64 
1125.721	0.3994	0.8652	0.3335	0.8545	-0.3052	-1.3428	69.3457	-23.7360	23.7469	45.1100	13	-70	-168	100560	0.64 
1125.815	0.3853	0.8711	0.3374	-0.2441	-0.1831	0.9155	69.3292	-23.6261	23.7854	45.1200	12	-71	-165	100560	0.64 
1125.924	0.3857	0.8682	0.3394	0.1221	0.1831	-1.0986	69.2358	-23.5712	23.9172	45.1200	15	-72	-166	100560	0.64 
1126.002	0.3657	0.8716	0.3545	0.0000	2.2583	-4.0894	69.1644	-22.9669	24.0985	45.1500	14	-73	-167	100560	0.64 
1126.158	0.3706	0.8623	0.3525	-0.2441	1.7090	-4.0283	69.1260	-22.4670	24.1370	45.1400	16	-75	-166	100561	0.64 
1126.205	0.3643	0.8813	0.3350	-0.1831	-0.6714	3.6011	69.1315	-22.4011	24.1425	45.1300	17	-69	-165	100561	0.64 
1126.361	0.3726	0.8701	0.3433	-1.8311	-0.1831	5.6763	68.9282	-22.8296	24.3732	45.1300	15	-71	-168	100561	0.64 
