StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1500.040	-0.2290	-0.0649	1.0015	-0.1831	0.6104	1.1597	-3.5980	12.6947	91.3184	44.0700	258	5	-88	100553	0.64 
1500.150	-0.2373	-0.0625	1.0024	0.0000	0.8545	1.1597	-3.5815	12.7991	91.3513	44.0600	261	5	-86	100553	0.64 
1500.259	-0.2544	-0.0654	0.9893	0.7935	1.5869	-0.2441	-3.5651	13.0023	91.3019	44.0700	259	7	-81	100552	0.64 
1500.353	-0.2642	-0.1074	0.9658	2.9297	5.3101	-6.9580	-3.5211	13.6285	90.9064	44.0800	264	3	-80	100552	0.64 
1500.447	-0.2896	-0.0337	0.9209	7.0190	18.0664	-5.3101	-3.2849	15.1886	89.8846	44.0800	262	8	-79	100552	0.64 
1500.587	-0.1865	0.0308	0.6748	-4.0894	46.8140	9.7656	-2.8839	18.3032	89.8022	44.0800	265	10	-67	100552	0.65 
1500.665	-0.3364	-0.0864	0.6230	-4.0894	62.1338	-1.5869	-3.4717	24.5599	90.4669	44.0800	276	6	-49	100552	0.64 
1500.759	-0.1968	0.0635	0.4512	-8.4229	66.2842	25.5127	-2.7795	31.0858	91.6260	44.1000	285	0	-20	100552	0.64 
1500.869	-0.6250	-0.1582	0.8008	7.2021	46.0205	-1.4648	-2.9333	37.7161	92.0435	44.0800	290	-6	12	100553	0.64 
1500.978	-0.7349	0.0762	0.8149	5.4932	39.0015	11.3525	-1.4886	42.5116	92.4994	44.0900	289	-8	35	100554	0.64 
1501.103	-1.2329	0.0083	0.9771	12.0239	60.7300	6.6528	-0.1154	48.1586	93.7958	44.0800	288	-14	56	100554	0.64 
1501.212	-1.6309	-0.0195	1.3887	-0.3662	80.2002	-2.1973	0.1923	55.4645	93.1970	44.0900	288	-14	79	100555	0.64 
1501.306	-1.5181	-0.0103	1.2178	-2.3193	-68.9697	-22.9492	-2.7740	55.0470	89.7418	44.0800	283	-13	97	100556	0.64 
1501.400	-0.7520	0.2964	0.8193	-32.5928	-118.2251	-35.7056	-5.3613	45.0220	87.5665	44.0600	286	-4	78	100556	0.64 
1501.525	0.1226	-0.5479	0.8594	43.9453	-325.5615	31.5552	-4.3286	28.5809	88.9728	44.0400	289	6	27	100556	0.64 
1501.603	-0.6792	0.1235	0.7983	4.6997	40.4053	-29.2358	-5.1086	17.5616	88.0499	43.9900	273	12	-55	100556	0.64 
1501.728	0.0879	-0.0879	-0.3818	-4.5166	-44.0674	-6.2256	-6.6302	11.4862	87.4951	43.9600	265	17	-76	100555	0.64 
1501.806	0.0557	0.0498	-0.0381	12.4512	3.6011	10.6201	-7.6135	11.6785	86.2701	43.9400	261	19	-85	100554	0.64 
1501.916	-0.0171	0.3252	-0.2056	12.7563	47.6074	25.8789	-0.0934	13.3429	88.1818	43.9400	263	12	-80	100553	0.64 
1502.025	0.7329	-0.3794	1.0513	-15.8081	-52.5513	21.7285	-0.2747	15.6500	89.6594	43.9300	271	4	-49	100553	0.64 
1502.134	-0.2842	-0.0845	1.2866	-3.8452	-17.5781	0.6104	-1.8512	17.1716	89.0112	43.9000	275	3	-46	100553	0.64 
1502.228	-0.2612	-0.1021	0.9878	0.1831	-24.1089	-0.0610	-2.2028	15.1172	89.2584	43.8900	271	4	-56	100553	0.64 
1502.307	-0.2378	0.0083	0.6328	7.1411	-18.7988	-4.4556	-1.6864	12.2607	89.0991	43.8600	263	3	-66	100553	0.64 
1502.431	-0.2700	-0.0771	1.0313	-3.1128	5.5542	-6.0425	-1.7249	11.7938	88.9508	43.8800	261	6	-74	100553	0.64 
1502.526	-0.2061	-0.1050	0.9819	-2.6855	2.8687	6.2256	-1.8622	11.8597	89.2090	43.8600	260	6	-74	100553	0.64 
1502.634	-0.3188	-0.0425	0.9976	2.0142	4.8828	-4.6997	-2.2357	12.7606	88.9178	43.8800	262	7	-71	100553	0.64 
1502.729	-0.3169	-0.0371	1.0005	0.4883	-0.7935	-0.6104	-2.1588	13.1836	88.4839	43.8800	264	10	-67	100553	0.64 
1502.869	-0.2920	-0.0557	0.9897	-3.2959	2.2583	6.4697	-2.2797	13.5132	88.8025	43.9000	263	13	-70	100552	0.64 
1502.947	-0.2993	-0.0703	0.9365	-1.0376	10.4980	12.7563	-2.2906	14.1559	89.8792	43.9100	265	7	-68	100552	0.64 
1503.059	-0.3740	-0.0400	0.9248	-0.9155	27.2827	2.5024	-2.1918	16.5454	90.5768	43.9000	265	2	-60	100553	0.64 
1503.122	-0.2813	-0.0479	0.7021	-4.3945	43.8843	-4.5776	-2.6862	20.2423	90.4999	43.9400	272	0	-48	100552	0.64 
1503.246	-0.2563	0.0093	0.5322	-10.3760	67.8711	6.5308	-3.1201	26.0870	90.0439	43.9300	280	3	-29	100552	0.64 
1503.341	-0.3521	-0.0342	0.5830	-4.0283	57.5562	7.9346	-3.3179	32.5525	90.0220	43.9400	285	0	-4	100553	0.64 
1503.465	-0.4946	-0.0244	0.6836	5.2490	65.3687	-4.3335	-4.3506	38.3478	88.6542	43.9300	286	0	24	100553	0.64 
1503.559	-0.9185	-0.0693	0.9575	5.1880	46.6919	6.9580	-4.3616	43.5773	88.3136	43.9400	288	0	48	100553	0.64 
1503.668	-0.9927	-0.0381	0.8955	-3.1738	24.4751	27.3438	-2.4994	46.5601	90.8514	43.9600	284	-4	64	100554	0.64 
1503.762	-1.4790	-0.0913	1.0186	4.8828	27.3438	13.3057	-0.4395	49.2902	94.1803	43.9400	284	-16	74	100554	0.64 
1503.887	-1.4385	-0.0371	1.0386	-6.6528	46.3257	13.7939	1.4392	53.4595	96.5424	43.9400	278	-24	84	100555	0.64 
1504.028	-1.3716	-0.0093	1.0991	-7.5684	39.9170	-6.8970	0.4449	58.0902	96.5039	43.9200	274	-26	104	100556	0.64 
1504.075	-1.3159	0.0093	0.9951	-21.1792	-56.7627	-0.4883	-1.5051	57.2278	95.7129	43.9200	274	-26	112	100556	0.64 
1504.200	-1.4531	-0.2490	1.4443	15.0757	-126.4648	-41.3818	-4.8175	47.3730	91.8842	43.9000	281	-22	87	100556	0.64 
1504.310	-0.3677	0.1191	-3.4312	-2.0142	-129.3335	22.1558	-2.1478	16.4850	94.0210	43.9000	276	-7	-11	100555	0.64 
1504.403	-0.0698	0.0337	-0.1055	0.6104	-55.7251	15.5029	-2.1478	14.9084	93.7244	43.8500	270	-4	-57	100555	0.64 
1504.528	0.0112	-0.0752	0.1821	-5.9204	35.3394	1.9531	1.0272	15.3973	95.1801	43.8500	268	-4	-69	100554	0.64 
1504.607	-0.1289	-0.0098	0.0352	0.1221	13.4277	-16.4185	-1.1206	17.0288	93.6749	43.8300	272	-7	-60	100553	0.64 
1504.747	-3.3340	-0.4116	4.9189	21.7896	141.7847	-74.9512	-4.5154	23.9227	91.6699	43.8100	278	-3	-47	100553	0.64 
1504.810	-0.6777	-0.4438	1.4839	0.0610	-14.7095	-16.6626	-4.3011	20.5609	91.1316	43.8200	277	0	-41	100553	0.64 
1504.935	-0.0938	0.1816	0.1226	11.2305	-17.9443	-7.0190	-3.4058	17.5726	88.9453	43.7700	271	6	-49	100553	0.64 
1505.059	-0.3335	-0.0923	0.8057	-3.8452	-16.4185	10.1929	-2.1808	17.6221	89.4727	43.7600	276	9	-54	100553	0.64 
1505.122	-0.3213	0.0293	1.0415	-3.1128	-19.5313	0.3662	-3.0322	16.9080	88.9178	43.7600	273	6	-59	100553	0.64 
1505.294	-0.3242	-0.2036	0.9297	-7.1411	-6.1646	11.7188	-3.2135	16.2268	90.7635	43.7600	269	6	-65	100553	0.64 
1505.340	-0.3296	-0.0117	1.0166	-0.3052	-3.9673	0.9155	-3.5760	16.2268	90.9064	43.7700	269	4	-61	100553	0.64 
1505.465	-0.2798	-0.1001	0.9897	0.7935	-2.4414	9.5215	-3.3398	15.8093	91.8622	43.7900	267	1	-64	100553	0.64 
1505.528	-0.2979	-0.0850	0.9790	3.6621	-0.3052	3.7231	-3.0652	15.7544	92.4609	43.7900	269	4	-69	100554	0.64 
1505.684	-0.2871	-0.0742	0.9746	1.4648	3.4790	1.4038	-2.8070	16.0675	92.7026	43.8000	267	1	-64	100554	0.64 
1505.747	-0.3174	-0.0786	0.9893	0.3052	4.7607	2.2583	-2.7411	16.4850	92.7686	43.8100	270	0	-65	100553	0.64 
1505.903	-0.3330	-0.0698	0.9565	2.1362	11.2305	0.0000	-2.7905	17.2540	92.6477	43.8100	268	-1	-64	100553	0.64 
1505.950	-0.3574	-0.0825	0.9043	4.4556	24.9023	2.8076	-2.5214	19.0887	92.7521	43.8300	270	0	-56	100553	0.64 
1506.075	-0.3687	-0.0215	0.8091	4.3335	39.4897	3.3569	-2.0215	22.2198	92.8729	43.8400	273	-2	-46	100553	0.64 
1506.154	-0.3604	-0.0195	0.7227	-3.7231	53.5278	6.1646	-1.7523	27.0538	93.0762	43.8400	285	-6	-28	100553	0.64 
1506.294	-0.4419	-0.0044	0.7046	-6.1035	56.7017	13.2446	-1.9116	32.6349	93.3838	43.8400	288	-7	-4	100553	0.64 
1506.388	-0.5161	-0.0498	0.7275	-8.3008	44.7388	18.9209	-1.5656	37.1777	94.9878	43.8300	290	-12	15	100554	0.64 
1506.497	-0.6670	-0.0508	0.7813	-2.9907	43.3960	7.2632	-1.7908	40.9680	95.9821	43.8500	290	-15	35	100554	0.64 
1506.622	-0.7363	-0.0283	0.7764	4.2114	24.7803	2.4414	-1.0822	44.0991	96.8335	43.8600	288	-22	50	100554	0.64 
1506.700	-0.9194	0.0151	0.9287	8.1787	5.7983	9.8267	0.1703	45.9393	97.5696	43.8600	286	-30	64	100555	0.64 
1506.810	-1.1577	-0.0176	0.9170	-4.1504	17.3340	15.5640	1.3568	46.6864	99.2725	43.8700	281	-30	64	100556	0.64 
1506.923	-1.4009	0.0273	0.9292	0.7324	40.7715	9.5825	1.7853	49.2242	100.0800	43.8500	281	-32	70	100557	0.64 
1507.033	-1.1436	0.0205	0.9312	-6.7749	51.3916	0.6104	2.6971	54.1956	101.4478	43.8500	277	-38	83	100557	0.64 
1507.142	-1.4629	0.0029	1.1387	10.9863	19.6533	-3.2349	2.3346	58.5956	101.1072	43.8300	273	-40	102	100557	0.64 
1507.221	-1.1338	-0.0171	0.8755	-28.0151	-104.7363	-38.8184	-4.7021	52.8937	93.8342	43.8100	277	-28	102	100558	0.64 
1507.361	-1.1812	-0.0703	1.6499	67.1997	-312.2559	-47.7905	-6.8610	37.7765	90.6097	43.8200	288	-13	65	100559	0.64 
1507.455	-0.4131	0.1289	0.4497	7.3853	44.0063	-24.4141	-5.5920	19.0448	91.5436	43.7800	276	-3	-36	100558	0.64 
1507.580	0.0693	-0.0767	-0.5894	13.6719	-24.1089	16.7236	-4.7955	12.0959	91.6150	43.7700	265	4	-71	100557	0.64 
1507.689	-0.1206	0.0215	0.0601	10.6812	34.3018	0.9155	-7.5751	15.2490	91.7468	43.7400	267	0	-76	100556	0.64 
1507.767	0.0420	0.4224	-0.0938	2.2583	0.1221	28.6865	-2.9224	17.5946	90.4395	43.7300	269	-4	-66	100556	0.64 
1507.939	0.4155	0.0898	1.4585	-36.0107	-128.2959	55.3589	-4.1309	18.3527	91.4502	43.7300	275	-9	-50	100556	0.64 
1508.002	-0.2314	-0.0981	1.0146	2.9907	-22.3389	-23.4375	-5.4547	18.3142	91.3843	43.7100	267	-11	-52	100556	0.64 
1508.095	-0.2998	-0.0313	0.4326	4.7607	12.8174	8.8501	-3.7354	18.0231	91.4777	43.7000	268	-9	-63	100555	0.64 
1508.174	-0.4468	0.0293	1.2104	-2.0142	8.1787	-3.5400	-3.6145	18.7372	91.3898	43.6800	274	-11	-63	100556	0.64 
1508.345	-0.0776	-0.0825	0.7344	-0.4272	-26.3672	-3.2959	-3.8727	16.3971	91.4227	43.7000	270	-7	-67	100555	0.64 
1508.439	-0.3354	-0.0015	1.0850	-0.3052	-18.1274	10.0708	-3.7628	15.2380	91.2964	43.6900	260	-5	-68	100555	0.64 
1508.548	-0.1953	-0.0854	0.9688	-5.2490	-3.6621	0.9155	-3.8562	13.8922	91.8896	43.7000	263	-5	-78	100555	0.64 
1508.627	-0.2393	-0.0581	1.0298	-1.4038	-6.7749	1.2207	-4.0540	13.4967	91.9775	43.6900	261	-7	-80	100555	0.64 
