StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1326.056	-0.1021	-0.1128	0.9922	0.0610	-4.5166	0.3662	-5.1141	8.1134	80.1947	43.3400	188	42	-94	100547	0.65 
1326.134	-0.1230	-0.1143	0.9937	2.2583	-0.1831	-0.3662	-5.0647	8.0640	80.0958	43.3400	189	40	-92	100547	0.65 
1326.259	-0.1128	-0.0806	1.0093	1.4038	1.9531	-0.4272	-4.9384	8.2617	79.8981	43.3500	187	42	-95	100547	0.65 
1326.368	-0.1289	-0.1050	1.0107	-1.2207	6.1646	7.3242	-4.8615	8.6353	80.0684	43.3400	190	47	-96	100547	0.65 
1326.462	-0.1304	-0.0786	0.9541	-0.7324	9.4604	8.4229	-4.8065	9.3109	80.6671	43.3500	188	42	-94	100547	0.65 
1326.556	-0.2319	-0.0278	0.9805	-13.4277	43.3350	21.4844	-5.3558	11.6840	81.7767	43.3400	194	37	-89	100547	0.65 
1326.696	-0.0786	-0.2188	1.0376	2.6855	11.7188	-0.8545	-5.7678	13.6890	83.2379	43.3700	204	34	-79	100547	0.65 
1326.775	-0.1299	-0.0444	1.0063	15.0146	18.9819	-5.5542	-4.9823	15.0897	82.7106	43.3500	205	33	-72	100548	0.65 
1326.868	-0.0547	-0.0654	0.9873	4.6997	8.5449	-6.6528	-3.7079	15.7324	82.4304	43.3500	211	30	-69	100548	0.65 
1326.947	-0.1743	-0.0107	1.1245	4.8828	6.0425	-11.3525	-3.7244	15.6610	80.8704	43.3600	213	33	-64	100548	0.65 
1327.103	-0.2295	-0.0679	1.1836	2.7466	11.4746	3.9673	-2.7631	16.1774	80.6561	43.3800	211	36	-64	100549	0.65 
1327.181	-0.3569	-0.1431	0.8472	0.4272	-4.2725	20.3247	-1.8567	17.1167	82.2052	43.3700	219	34	-63	100549	0.65 
1327.259	-0.4033	-0.1582	0.7671	-1.5259	-4.1504	-13.9771	-2.2797	17.7594	82.1393	43.3600	218	28	-65	100549	0.65 
1327.384	-0.3208	0.0801	0.8779	-12.2070	-11.6577	4.0283	-3.0817	17.4847	80.5408	43.3500	218	36	-67	100549	0.65 
1327.540	-0.1768	-0.1582	0.8970	-17.2119	-18.0664	23.3154	-4.4110	16.2872	82.3151	43.3500	218	34	-67	100549	0.65 
1327.587	-0.0635	-0.1104	0.9150	-2.0752	-3.1128	28.1372	-4.7076	14.3921	84.9738	43.3400	216	29	-72	100549	0.65 
1327.681	-0.1187	-0.1270	1.4102	-12.7563	-16.4185	7.1411	-5.3998	13.7274	86.9733	43.3500	217	23	-72	100550	0.65 
1327.775	-0.5249	0.0103	0.6743	-21.3623	3.0518	6.0425	-7.1301	13.7549	87.3688	43.3300	216	24	-75	100549	0.65 
1327.900	-0.3770	-0.1582	0.9355	6.5918	-14.6484	14.4043	-7.7838	15.0348	87.4951	43.3300	219	27	-73	100549	0.65 
1327.993	-0.1606	-0.1768	0.7817	25.0854	7.7515	-12.9395	-6.3007	14.5074	87.9346	43.3300	221	20	-74	100549	0.65 
1328.103	-0.1333	0.0815	0.8691	10.1929	-2.0752	-4.5166	-4.1638	14.4305	85.7813	43.3400	221	24	-76	100550	0.65 
1328.197	-0.1787	-0.0293	1.3203	0.0610	18.7378	-28.3203	-3.9111	13.7439	84.5782	43.3400	218	22	-80	100550	0.65 
1328.306	-0.7773	-0.0518	1.0400	18.0664	-2.3804	15.9302	-2.9663	14.0680	83.9246	43.3600	223	25	-77	100550	0.65 
1328.400	-0.5698	-0.1089	1.1123	11.2915	8.4839	-20.3247	-1.2909	15.1721	84.2596	43.3600	222	24	-79	100550	0.65 
1328.509	-0.2402	0.1279	0.7705	-27.4658	-18.8599	17.3950	-1.8347	14.4196	83.6938	43.3400	217	22	-80	100550	0.65 
1328.587	-0.1372	-0.2559	0.8887	-20.8740	-2.1973	43.8232	-3.4772	14.4196	87.5281	43.3500	219	19	-82	100550	0.65 
1328.712	-0.0347	-0.0532	0.8906	1.5869	-3.1738	13.1226	-3.7848	13.4418	89.9341	43.3500	223	11	-82	100550	0.65 
1328.807	-0.0986	0.0259	1.4204	-9.8877	-8.4229	-0.2441	-4.3231	13.7439	90.5054	43.3700	225	8	-78	100549	0.65 
1328.915	-0.4097	0.0610	0.7637	-24.0479	4.8218	-1.5259	-6.2622	14.2493	90.1428	43.3500	225	10	-83	100549	0.65 
1329.025	-0.1499	-0.2334	0.7979	18.6768	-13.0615	-2.8076	-6.6138	14.9744	90.1758	43.3400	232	11	-80	100549	0.65 
1329.119	-0.1284	-0.0156	0.7881	28.5645	7.5684	-36.2549	-4.8450	14.5789	88.6432	43.3400	229	8	-87	100549	0.65 
1329.244	-0.0210	0.1021	0.8823	3.2959	-9.7656	-9.9487	-2.9663	13.5516	86.0394	43.3500	233	13	-85	100549	0.65 
1329.322	-0.2461	0.2329	1.5493	11.3525	1.2817	-13.9160	-3.2904	13.6230	83.5620	43.3500	233	19	-83	100550	0.65 
1329.415	-0.6025	-0.0967	0.7637	32.9590	-23.8647	19.2871	-1.2030	14.1064	84.6826	43.3400	234	19	-83	100550	0.65 
1329.527	-0.5127	-0.0249	1.0698	-0.1221	-7.3853	-23.8647	-0.7086	14.9854	84.5343	43.3300	236	14	-90	100550	0.65 
1329.621	-0.2856	0.0410	0.7817	-24.7192	-1.1597	20.3247	-1.9006	14.5844	83.6060	43.3400	237	22	-94	100550	0.65 
1329.730	-0.0039	-0.2295	0.8428	-5.7373	-1.4038	9.5215	-3.5870	14.0790	86.2372	43.3400	238	18	-97	100550	0.65 
1329.855	-0.3574	-0.1987	1.3032	-5.3711	19.8364	24.7192	-3.7024	14.7382	87.7148	43.3400	243	20	-90	100550	0.65 
1329.933	-0.7305	-0.2363	1.0225	-26.8555	-6.7749	12.4512	-4.2297	14.4031	89.6924	43.3200	247	16	-89	100550	0.65 
1330.058	-0.6006	-0.0815	1.1807	-14.5874	12.7563	12.6953	-6.5424	16.5948	90.2142	43.3200	251	14	-84	100550	0.65 
1330.136	-0.1938	-0.1367	0.8394	23.8647	4.8828	-13.3667	-5.8997	16.4301	90.4669	43.3200	253	11	-84	100550	0.65 
1330.246	-0.1689	0.1748	0.8306	21.1792	1.3428	-24.4141	-3.7958	16.6553	87.1930	43.2900	249	21	-83	100550	0.65 
1330.355	-0.0396	-0.1284	0.9546	-0.9155	-4.3335	-34.9121	-3.2684	14.7162	85.0946	43.3000	249	29	-85	100550	0.65 
1330.434	-0.2515	-0.0752	1.2646	5.9204	6.8359	-15.5640	-3.1476	14.1339	82.3920	43.3300	245	38	-86	100550	0.65 
1330.574	-0.3442	-0.1846	0.7549	16.9067	3.1738	9.5825	-1.0657	15.3204	83.2324	43.3200	247	39	-92	100550	0.65 
1330.652	-0.3047	0.1094	0.8921	-20.0195	-17.0288	5.2490	-1.3898	15.9192	82.6392	43.3100	249	42	-93	100550	0.65 
1330.761	-0.2139	-0.1172	0.8057	-27.3438	-2.8687	34.4849	-3.2574	15.2216	84.3091	43.3200	244	46	-92	100550	0.65 
1330.855	-0.0039	-0.1348	0.8960	-1.0376	-3.9673	3.2349	-4.5593	14.2932	86.3196	43.3100	243	43	-91	100549	0.65 
1330.980	-0.2119	-0.2368	1.5161	-9.7046	0.3052	-9.3384	-5.3119	14.4360	86.4294	43.3200	241	41	-87	100549	0.65 
1331.074	-0.6050	0.0034	0.7188	-27.3438	-0.2441	6.1035	-7.3389	14.1284	86.6437	43.3200	239	48	-89	100549	0.65 
1331.168	-0.4585	-0.2266	1.1025	8.7891	-7.5073	12.5122	-8.5913	15.6830	87.0282	43.3000	240	52	-85	100549	0.65 
1331.246	-0.1294	-0.1748	0.7070	33.5693	8.9722	-12.9395	-6.4270	15.1776	87.0172	43.3000	237	49	-88	100549	0.65 
1331.371	-0.1548	0.2017	0.9121	17.7002	-2.6245	-15.6860	-3.8562	15.6006	83.7213	43.3000	234	50	-85	100549	0.65 
