StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1799.455	-0.3472	-0.0156	0.9663	-0.3662	-0.4272	0.2441	-1.4117	19.0173	160.9222	45.3200	116	-178	-139	100527	0.67 
1799.487	-0.3418	-0.0181	0.9673	-0.4272	-0.1831	0.7935	-1.3898	19.0118	160.9662	45.3200	121	-176	-135	100528	0.67 
1799.565	-0.3462	-0.0186	0.9722	-0.3662	-0.1831	0.7324	-1.4008	18.7976	161.1365	45.3300	112	-179	-137	100529	0.66 
1799.659	-0.3408	-0.0229	0.9653	-0.4883	-0.2441	0.2441	-1.4117	18.8306	161.1584	45.3300	114	-177	-137	100529	0.66 
1799.690	-0.3271	-0.0171	0.9624	-0.7935	0.0610	0.7324	-1.4612	18.8745	161.0980	45.3600	118	-178	-139	100529	0.66 
1799.752	-0.3218	-0.0059	0.9575	-0.6104	0.0610	0.7935	-1.4117	18.9514	161.1859	45.3400	117	-176	-138	100529	0.66 
1799.846	-0.3320	-0.0083	0.9678	-1.4038	2.0752	0.1831	-1.4392	19.1986	161.1475	45.3400	116	-176	-137	100528	0.66 
1799.862	-0.3662	0.0103	1.0225	-1.8311	6.7749	5.3101	-1.3129	19.6875	161.5375	45.3600	117	-175	-137	100529	0.66 
1799.909	-0.3340	0.0063	0.9756	-3.7842	-3.2959	0.0000	-1.4063	19.6051	161.7407	45.3500	118	-175	-136	100528	0.66 
1800.049	-0.3467	0.0103	0.9346	-3.4180	-6.2866	3.1128	-1.5765	19.3140	161.9604	45.3500	111	-174	-140	100528	0.66 
1800.127	-0.4072	-0.0996	0.8916	4.0894	1.2817	-9.7046	-1.7908	19.4128	161.7517	45.3600	113	-174	-138	100529	0.66 
1800.284	-0.2139	0.0361	1.0708	-4.3335	-6.8359	-0.5493	-1.9281	19.1711	160.5981	45.3800	115	-175	-139	100528	0.67 
1800.346	-0.2930	-0.1274	0.9316	-12.6953	0.9766	11.4136	-2.6532	18.4845	161.4496	45.3900	114	-175	-141	100528	0.66 
1800.440	-0.2173	-0.1680	0.9365	-0.6104	-10.3149	-0.7935	-3.5266	17.8473	161.5430	45.3800	111	-171	-145	100528	0.67 
1800.534	-0.1235	-0.0293	0.8984	12.6343	-10.3760	11.9019	-2.7356	16.5839	162.0044	45.4000	105	-173	-147	100528	0.66 
1800.737	-0.2637	-0.1411	1.0073	17.3340	20.3247	15.6860	-1.2524	16.9409	162.9767	45.3800	103	-177	-142	100528	0.66 
1800.784	-0.1631	-0.0430	0.7876	6.3477	-1.2817	2.8687	0.2802	16.4026	163.4106	45.3800	93	-180	-135	100528	0.66 
1800.877	-0.7710	-0.1196	1.4526	-3.8452	-12.4512	-3.9673	-0.0879	15.9686	164.2621	45.3900	84	-185	-130	100528	0.66 
1800.956	-0.3867	0.1738	0.8950	17.3340	1.7700	1.4648	-0.1154	16.5454	164.0918	45.4000	84	-184	-137	100529	0.66 
1801.143	-0.4111	0.1299	0.9624	-1.7700	7.2632	6.2256	0.7141	16.6718	164.1193	45.3900	86	-188	-135	100529	0.66 
1801.174	-0.2954	0.0034	0.9355	-8.7280	-4.1504	1.1597	0.3406	17.6221	164.6191	45.3800	84	-186	-136	100529	0.66 
1801.268	-0.2314	0.0010	0.9668	-23.3154	-4.6387	13.0005	-0.6976	16.6882	166.3660	45.4000	77	-183	-143	100529	0.66 
1801.347	-0.0669	0.1802	0.7759	-23.2544	-20.1416	-3.5400	-2.8674	14.2328	165.1575	45.3800	72	-179	-148	100530	0.66 
1801.534	-0.2715	-0.0493	0.7661	-14.8315	-25.7568	5.9814	-3.8013	13.2825	166.7670	45.4000	60	-175	-157	100529	0.66 
1801.565	-0.5439	0.0420	1.1089	4.7607	-11.4746	30.4565	-3.2574	14.1449	168.8544	45.3900	51	-173	-154	100530	0.66 
1801.674	-0.0752	-0.2197	1.0508	16.9678	-8.3008	-18.0664	-2.7411	14.8206	170.0134	45.4100	48	-177	-156	100530	0.66 
1801.784	-0.4028	0.0537	1.0513	12.5732	33.9966	-1.0376	-1.1975	16.6937	168.6786	45.3800	55	-182	-149	100530	0.66 
