StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
315.787	-0.4072	0.0010	0.9414	0.0000	-0.4272	0.5493	-0.0330	22.8790	91.3678	44.9700	245	-1	-27	100553	0.64 
315.865	-0.4038	-0.0010	0.9399	0.0000	-0.1831	0.0610	-0.0220	22.8900	91.3568	44.9700	240	0	-26	100553	0.64 
316.006	-0.4063	0.0000	0.9404	-0.1831	-0.2441	0.9766	-0.0055	22.9230	91.3348	44.9700	243	1	-25	100552	0.64 
316.068	-0.4111	-0.0010	0.9438	-0.1221	-0.2441	0.6714	0.0000	22.9449	91.3239	44.9700	244	0	-22	100553	0.64 
316.178	-0.4087	-0.0005	0.9409	-0.2441	-0.9766	0.7324	0.0055	22.9230	91.3019	44.9700	241	0	-26	100553	0.64 
316.287	-0.4263	0.0063	0.9438	-0.2441	-1.3428	1.4648	0.0220	22.9120	91.3458	44.9800	247	-1	-23	100553	0.64 
316.381	-0.4800	0.0073	0.9731	-0.6104	-0.1221	3.9673	0.1044	23.0054	91.5765	45.0000	246	-1	-26	100553	0.64 
316.506	-0.4009	0.0034	0.9053	1.6479	0.7324	0.9155	0.1373	22.6099	91.6644	44.9900	245	-2	-29	100553	0.64 
316.600	-0.4790	0.0410	0.8945	-0.6714	-13.4888	3.0518	0.4669	22.3187	91.7029	45.0000	242	-1	-27	100553	0.64 
316.694	-0.4644	0.0156	0.9346	-3.7231	-23.8647	4.5776	0.5109	20.7147	92.1808	44.9800	241	-4	-31	100553	0.64 
316.818	-0.4497	0.0093	0.9370	-5.4932	-26.7334	6.9580	0.3076	18.6438	92.7301	45.0100	238	-2	-41	100553	0.64 
316.912	-0.4097	0.0068	0.9365	-5.2490	-31.0669	4.3335	-0.0879	16.1115	93.0762	45.0000	236	-4	-47	100553	0.64 
317.021	-0.3877	0.0298	0.8916	-1.4648	-41.2598	-2.7466	-0.3790	12.9913	93.0322	45.0000	228	-3	-59	100553	0.64 
317.178	-0.3428	0.0806	0.7700	-3.2349	-45.7153	4.6997	-0.2856	9.2670	92.8729	45.0000	218	-2	-74	100552	0.64 
317.209	-0.2598	0.0322	0.5210	-6.1646	-33.8745	16.6016	-0.2362	6.1853	93.8782	45.0000	209	-2	-90	100552	0.64 
