StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
37.009	-0.3296	-0.0229	0.9688	-0.0610	-0.3052	1.4038	-1.7688	18.6273	89.2145	43.8900	215	5	-73	100547	0.65 
37.118	-0.3442	-0.0166	0.9775	0.2441	0.7935	2.1973	-1.6919	18.7317	89.3298	43.8800	212	7	-70	100547	0.65 
37.196	-0.3403	-0.0205	0.9736	-0.1221	0.3662	0.9766	-1.5765	18.8525	89.4781	43.8900	216	9	-71	100547	0.65 
37.337	-0.3330	-0.0435	0.9761	0.1221	4.5776	0.7935	-1.5381	19.1162	89.5660	43.8900	213	8	-70	100547	0.65 
37.400	-0.3579	0.0469	0.9995	1.4038	12.1460	13.4277	-1.1536	19.6106	89.8682	43.8800	217	7	-68	100547	0.65 
37.540	-0.2168	-0.0210	0.9043	0.1831	10.6812	-2.9297	-1.0327	19.5612	90.1978	43.9000	216	4	-67	100547	0.65 
37.618	-0.3076	0.0142	0.9233	-5.2490	4.8828	4.8218	-1.0107	20.8521	90.3021	43.8900	218	5	-61	100548	0.65 
37.728	-0.3540	-0.0176	0.9312	-12.3291	9.5825	15.0146	-1.3129	21.6376	91.4667	43.8900	222	2	-60	100548	0.65 
37.791	-0.2744	-0.1621	0.9321	-0.4272	18.1274	-2.5024	-2.4280	22.9065	91.7853	43.9100	219	1	-55	100548	0.65 
37.962	-0.3506	-0.1279	0.8945	-8.0566	27.3438	3.7842	-2.5708	25.4828	92.4005	43.8900	226	0	-51	100548	0.65 
38.009	-0.4258	-0.0161	1.0640	0.0610	39.8560	-8.6670	-3.7738	28.5535	90.6921	43.8900	232	0	-38	100549	0.65 
38.134	-0.2695	-0.0703	1.0830	-9.0942	7.4463	4.8828	-4.2133	28.6578	90.1373	43.8800	229	2	-30	100549	0.65 
38.212	-0.4629	-0.2988	1.5366	0.0610	30.0903	20.5688	-4.3451	30.2234	91.4117	43.8600	232	4	-24	100549	0.65 
38.353	-0.1460	0.1050	0.3096	3.4790	-23.9868	42.8467	-2.6587	29.0424	94.2737	43.8300	233	-2	-18	100549	0.65 
38.462	-0.9961	0.3101	2.0752	35.8276	69.1528	-147.5220	-2.0215	33.2391	93.7683	43.7600	232	-10	-13	100549	0.65 
38.572	-0.8369	-0.0459	1.3833	51.4526	21.1182	-79.6509	-1.9006	34.0302	86.3635	43.7800	236	3	0	100549	0.65 
38.650	-0.4370	-0.0728	0.8184	12.8174	-32.5317	76.2939	2.3346	30.7123	85.7483	43.7600	230	17	0	100550	0.65 
38.759	-0.2441	0.0435	0.1318	-44.4946	-97.4731	28.3203	1.6260	25.7959	88.6432	43.7500	233	8	-8	100550	0.65 
38.853	-0.9956	0.6201	-0.7749	-36.4990	-45.2881	27.4048	-6.6083	20.3467	89.7748	43.7300	234	10	-31	100550	0.65 
38.962	-0.1475	-0.0679	0.7822	-27.4048	-48.5229	-42.1143	-3.0048	26.7902	92.9224	43.7100	243	-1	-15	100550	0.65 
39.072	-0.8965	-0.3237	2.1484	-27.1606	-41.0156	-20.1416	-4.0375	28.7347	92.9553	43.7000	252	-4	-8	100550	0.65 
39.181	-0.1704	0.2378	-0.5117	40.0391	-25.0244	12.9395	0.2307	20.1929	93.8562	43.6700	249	-2	-27	100550	0.65 
39.275	-0.6274	-0.4839	1.3423	-37.5366	272.0337	-90.1489	1.8237	21.3354	93.6694	43.6600	249	-6	-48	100550	0.65 
39.384	0.0483	-0.0503	0.7334	36.1328	-23.1323	-22.8882	1.4996	22.6208	88.3081	43.6500	255	9	-29	100550	0.65 
39.463	-0.2319	0.2446	0.2520	-32.5317	-136.6577	27.1606	1.9006	20.9235	87.0996	43.6200	251	14	-27	100550	0.65 
39.587	0.1216	0.1118	-0.0054	-13.6108	-8.4839	-1.0376	-6.7236	15.1831	87.6160	43.6000	246	14	-54	100551	0.65 
39.681	-1.8560	-1.0068	4.2065	7.0801	5.2490	79.2236	-2.8345	25.3674	91.1261	43.5800	261	11	-41	100551	0.65 
39.790	-0.7217	-0.2427	1.5674	-10.4980	61.7676	41.0767	-4.5923	22.7472	91.0052	43.5600	265	2	-35	100551	0.65 
39.885	-0.1040	0.3765	-0.5029	42.9077	-94.4824	18.6768	-1.4502	16.3422	91.2854	43.5300	267	1	-41	100551	0.65 
40.009	-0.4497	-1.4355	-0.6279	-48.7061	109.2529	-15.1367	4.5319	13.2605	94.2572	43.5100	265	-8	-66	100550	0.65 
40.088	0.2236	-0.1411	1.1094	32.4707	-73.0591	24.1089	2.0380	19.6765	89.6979	43.4900	277	3	-42	100550	0.65 
40.212	-0.3979	0.2725	1.0425	-13.9771	-102.7832	41.2598	3.6475	19.0613	92.1918	43.4900	277	0	-37	100550	0.65 
40.369	0.3164	-0.2095	-0.4321	-33.8745	-19.1650	19.5313	-4.7296	12.4969	95.6909	43.4700	267	-7	-67	100550	0.65 
40.416	-2.1616	-1.0132	3.6182	-20.5078	-25.7568	53.7109	-1.8292	23.6426	98.6902	43.4600	281	-22	-47	100551	0.65 
40.509	-0.8140	0.2720	1.6724	13.4277	82.6416	20.3247	-3.3728	19.2590	94.5154	43.4500	279	-15	-50	100550	0.65 
40.634	0.1294	0.1260	-0.9893	48.4009	-102.4170	26.0620	-1.6205	9.4318	96.6852	43.4500	274	-11	-67	100550	0.65 
40.713	-0.7344	-0.6182	1.5479	-55.7251	317.9321	-160.2173	2.8839	11.6235	95.5042	43.4200	263	-12	-94	100550	0.65 
40.807	0.4531	-0.1880	0.9746	35.1563	24.1089	-3.2349	1.5765	14.4031	89.0826	43.4200	270	11	-67	100550	0.65 
40.994	-0.2437	0.4536	0.5781	-13.5498	-116.8823	-8.1787	2.6367	14.8151	88.4070	43.3900	266	18	-55	100551	0.65 
41.025	0.0454	-0.1890	0.0469	-25.7568	13.4888	10.4370	-2.5378	10.2502	89.7528	43.3900	254	19	-73	100551	0.65 
41.197	-1.8672	-1.0562	4.0591	15.9302	22.4609	61.6455	1.5271	20.3741	92.0490	43.3900	254	13	-65	100551	0.65 
41.244	-0.7295	0.0361	1.5068	-1.2817	51.2695	19.3481	-0.5164	17.1661	88.1213	43.3600	247	13	-59	100551	0.65 
41.384	0.0073	0.3154	-0.8652	40.4663	-118.5913	-7.2632	1.3184	9.5801	87.8522	43.3300	233	14	-64	100551	0.65 
41.447	-0.8320	-1.2681	-0.6230	-17.2729	-38.6353	70.4956	6.7401	6.8939	89.0771	43.3300	222	9	-87	100551	0.65 
