StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
153.897	-0.3423	-0.0156	0.9663	-0.3662	0.1221	1.7090	-1.1426	19.0723	10.0964	44.3400	66	134	-120	100553	0.64 
154.006	-0.3442	-0.0195	0.9756	-0.5493	-0.5493	0.8545	-1.1536	19.1547	10.0964	44.3300	66	136	-125	100553	0.64 
154.100	-0.3457	-0.0166	0.9727	-0.6714	-0.0610	1.5869	-1.1316	19.1492	10.1624	44.3500	66	135	-122	100553	0.64 
154.209	-0.3491	-0.0254	0.9795	-0.0610	0.9155	0.4272	-1.1591	19.1876	10.2008	44.3500	67	135	-124	100553	0.64 
154.318	-0.3726	-0.0356	0.9648	-0.0610	-1.1597	-0.8545	-1.2085	19.1876	10.0690	44.3400	67	133	-119	100553	0.64 
154.397	-0.4600	-0.0264	0.9399	-0.0610	6.7139	-0.2441	-1.3348	19.6490	9.6021	44.3400	67	135	-123	100553	0.64 
154.525	-0.4292	0.0020	0.8052	1.4648	13.6719	-0.9155	-1.2524	20.9180	8.9923	44.3500	67	134	-122	100553	0.64 
154.605	-0.4263	0.0078	0.6104	-4.8828	34.5459	-8.0566	-1.5436	23.4503	7.8003	44.3600	72	136	-124	100553	0.64 
154.761	-0.2798	-0.0645	0.3579	-2.3193	57.5562	2.1973	-1.8622	29.3555	6.3171	44.3600	80	138	-122	100553	0.64 
154.823	-0.4678	0.0366	0.9756	-5.8594	15.6250	17.7612	-1.8677	34.0302	6.9214	44.3400	88	135	-113	100553	0.64 
154.917	-0.3828	-0.1382	0.7266	-6.6528	0.0000	12.6953	-1.7468	32.3273	8.2343	44.3500	90	134	-110	100554	0.64 
154.996	-0.5601	-0.0034	1.0332	-4.0283	-19.7754	-2.6855	-1.7413	30.9320	9.2670	44.3500	96	130	-109	100554	0.64 
155.152	-0.6982	-0.0464	1.3052	-7.4463	-12.5122	-1.5869	-2.0764	29.1522	9.6844	44.3500	89	132	-98	100554	0.64 
155.215	-0.5112	-0.0454	1.2656	-0.3052	-49.4385	-1.7700	-2.2467	24.6533	10.1129	44.3600	85	131	-98	100554	0.64 
155.355	-0.3521	-0.0093	1.0996	-0.7324	-27.0386	6.1035	-1.7633	20.0281	10.9204	44.3500	74	135	-104	100555	0.64 
155.417	-0.2925	-0.0278	1.1328	-8.2397	-30.8838	3.5400	-2.1533	16.0565	11.5082	44.3500	70	131	-106	100556	0.64 
155.526	-0.2515	-0.0801	1.0967	-1.5869	-23.6206	-1.7700	-2.6477	13.6945	11.9696	44.3300	63	130	-102	100557	0.64 
155.620	-0.1328	-0.0830	0.9634	1.1597	-16.6016	1.9531	-2.7850	11.8213	12.4420	44.3400	61	134	-101	100557	0.64 
155.777	-0.1714	-0.0879	0.9951	2.0752	-11.8408	4.3335	-2.5708	10.4095	13.2825	44.3300	58	134	-106	100558	0.64 
155.823	-0.1870	-0.0371	1.0181	3.5400	-6.0425	1.4648	-2.3346	9.5087	13.7054	44.3200	57	129	-104	100558	0.64 
155.948	-0.1494	-0.0332	1.0029	4.2114	-2.6855	0.1221	-1.8842	9.2010	13.8593	44.3300	54	134	-105	100558	0.64 
156.027	-0.1567	-0.0132	1.0078	4.3945	0.0610	1.6479	-1.3678	9.2670	14.1998	44.3400	57	134	-109	100558	0.64 
156.136	-0.2070	-0.0146	1.0171	2.8687	0.5493	-0.6714	-1.0382	9.4812	14.3042	44.3400	55	134	-109	100558	0.64 
156.245	-0.1880	-0.0098	1.0127	3.6621	-0.7935	0.8545	-0.6042	9.6240	14.4360	44.3500	55	130	-109	100558	0.64 
156.339	-0.1885	-0.0005	1.0264	-0.3662	2.1973	0.9155	-0.4779	9.6735	14.6063	44.3200	58	130	-109	100558	0.64 
156.402	-0.1880	-0.0098	1.0054	-0.6104	-2.1973	0.4883	-0.5109	9.6680	14.6228	44.3400	56	129	-109	100558	0.64 
156.542	-0.1831	-0.0015	1.0083	-1.5869	-2.6245	0.8545	-0.6207	9.5087	14.6558	44.3300	58	129	-106	100558	0.64 
156.620	-0.1763	-0.0093	1.0186	-2.2583	-0.1831	0.0000	-0.7526	9.5197	14.7766	44.3400	56	131	-112	100558	0.64 
156.761	-0.1821	-0.0186	1.0088	-2.4414	-0.0610	0.6104	-0.9943	9.5361	14.7931	44.3300	53	131	-111	100558	0.64 
156.839	-0.1802	-0.0269	1.0171	-1.4038	0.2441	0.9766	-1.1920	9.5142	14.8370	44.3400	54	132	-112	100559	0.64 
156.948	-0.1763	-0.0239	1.0112	-1.0986	1.3428	0.0000	-1.3184	9.6350	14.8425	44.3400	53	130	-110	100559	0.64 
157.027	-0.1875	-0.0220	1.0073	0.2441	2.7466	-0.4883	-1.3568	9.8822	14.8810	44.3200	56	133	-110	100559	0.64 
157.152	-0.1670	-0.0562	1.0020	1.0376	1.4038	-1.1597	-1.3074	10.1733	14.8645	44.3400	58	133	-109	100559	0.64 
157.245	-0.2178	-0.0020	0.9839	-0.9766	23.0103	-0.3662	-1.2854	11.2720	14.9139	44.3200	59	132	-110	100559	0.64 
157.355	-0.1680	-0.0381	1.0073	1.9531	21.8506	-0.1221	-1.3403	13.3539	14.8425	44.3200	60	130	-110	100559	0.64 
157.418	-0.1543	-0.0688	1.2075	-3.0518	37.5366	-0.3662	-1.3019	15.7544	15.1611	44.3300	68	127	-116	100559	0.64 
157.605	-0.5942	0.0005	1.7124	-9.3994	39.8560	-28.1372	-1.6864	21.1267	14.8206	44.3600	73	123	-107	100558	0.64 
157.652	-0.5776	0.0674	1.1396	11.0474	50.6592	2.0142	-2.0490	24.1095	13.1616	44.3500	77	125	-104	100558	0.64 
157.761	-0.5854	-0.0459	1.2495	4.2114	2.0142	4.8828	-2.0490	27.4219	11.8652	44.3300	82	129	-107	100558	0.64 
157.839	-0.4321	0.0039	1.0835	-1.6479	-3.3569	-0.1831	-2.3236	25.8728	11.5027	44.3000	79	134	-112	100558	0.64 
157.964	-0.2456	-0.0034	0.6777	-3.6011	18.1274	12.7563	-2.6971	22.9559	12.0355	44.2700	73	134	-116	100557	0.64 
158.027	-0.2490	-0.0435	0.5244	-0.1221	-21.3623	-1.7090	-2.0215	22.6318	12.7551	44.2400	75	135	-115	100557	0.64 
158.167	-0.4004	-0.0742	0.6958	10.1929	4.5166	-0.2441	-1.5710	22.2528	12.1509	44.2500	73	135	-117	100556	0.64 
158.245	-0.4419	0.0049	0.8154	3.6011	-9.9487	2.1973	-0.8240	22.0166	11.8158	44.2500	75	132	-122	100555	0.64 
158.355	-0.4053	0.0156	0.9448	-1.4648	-17.1509	-1.4648	-0.6482	21.5222	11.5192	44.2500	72	131	-121	100555	0.64 
158.433	-0.4316	0.0591	0.9326	-5.5542	2.3193	16.2354	-0.7086	20.8246	11.8542	44.2600	68	133	-123	100555	0.64 
158.512	-0.3877	-0.0410	0.9546	-3.7842	-8.8501	20.9351	-0.4285	20.9454	13.6670	44.2600	74	133	-121	100554	0.64 
158.636	-0.3364	-0.0239	0.9497	0.0610	-3.8452	0.1221	-0.4724	20.3796	14.5898	44.2600	77	133	-118	100554	0.64 
158.792	-0.3823	-0.0117	0.9785	-0.4272	1.5869	4.9438	-0.4395	20.3851	14.6832	44.2700	78	132	-120	100553	0.64 
158.855	-0.3423	-0.0288	0.9658	-0.6104	-1.8921	-1.2207	-0.5054	20.2917	14.7986	44.2700	79	132	-120	100553	0.64 
158.981	-0.3369	-0.0122	0.9585	-0.1221	0.0610	-4.3945	-0.7196	20.0940	14.3372	44.2700	76	132	-123	100553	0.64 
159.044	-0.3296	-0.0073	0.9658	0.1221	0.4272	-3.9063	-0.8350	20.0830	13.8263	44.2900	75	132	-120	100552	0.64 
159.122	-0.3511	-0.0190	0.9478	-0.8545	0.1221	1.2207	-0.9174	20.2423	13.5132	44.2900	75	135	-120	100552	0.64 
159.246	-0.3687	0.0054	0.9712	-0.4883	0.8545	-0.9155	-0.9668	20.4456	13.4967	44.3000	78	136	-122	100552	0.64 
159.403	-0.3662	-0.0039	0.9697	-0.0610	1.8921	-0.6714	-1.1206	20.5170	13.2770	44.3000	78	130	-120	100552	0.64 
159.434	-0.3662	-0.0239	0.9668	-0.4272	2.3804	-1.3428	-1.1536	20.6873	13.1671	44.3100	74	131	-119	100553	0.64 
159.512	-0.3667	-0.0117	0.9585	0.1221	1.7700	-1.5869	-1.2415	20.8246	12.7991	44.3200	73	134	-121	100553	0.64 
159.653	-0.3613	-0.0283	0.9585	0.2441	-0.1831	-2.3804	-1.2854	20.8905	12.4091	44.3200	73	137	-121	100553	0.64 
159.731	-0.3696	-0.0122	0.9673	0.0000	0.7935	-0.6714	-1.3239	20.8740	12.1509	44.3300	74	134	-121	100553	0.64 
159.871	-0.3623	-0.0283	0.9385	0.0000	-1.2817	-0.5493	-1.4008	20.7587	11.9641	44.3300	72	135	-123	100553	0.64 
159.934	-0.3643	-0.0186	0.9590	0.7324	-2.4414	-0.7324	-1.3623	20.6708	11.7169	44.3400	72	134	-120	100554	0.64 
160.045	-0.3687	-0.0171	0.9639	0.7324	-0.9155	0.0610	-1.2469	20.5005	11.6180	44.3400	72	137	-120	100553	0.64 
160.155	-0.3638	-0.0156	0.9619	0.5493	-0.7324	0.1221	-1.1810	20.4016	11.5521	44.3600	71	138	-122	100553	0.64 
160.264	-0.3540	-0.0298	0.9614	0.5493	-1.4038	-1.0986	-1.1316	20.2478	11.4093	44.3600	71	134	-122	100553	0.64 
160.342	-0.3555	-0.0098	0.9614	0.4272	-1.7090	0.1831	-1.0931	20.1215	11.2280	44.3700	71	133	-124	100553	0.64 
160.468	-0.3560	-0.0078	0.9634	-0.0610	-2.1362	1.5259	-0.9888	19.9896	11.2665	44.3700	70	137	-121	100553	0.64 
160.546	-0.3584	-0.0234	0.9863	-0.3662	-0.7324	0.0000	-1.0272	19.8743	11.2775	44.3600	67	135	-122	100553	0.64 
160.658	-0.3564	-0.0146	0.9639	-0.1221	-1.0986	0.5493	-1.0437	19.6600	11.1511	44.3600	68	134	-122	100553	0.64 
160.767	-0.3442	-0.0161	0.9663	-0.3052	-1.2207	1.1597	-1.0327	19.5007	11.1072	44.3900	68	135	-124	100553	0.64 
160.861	-0.3447	-0.0210	0.9688	-0.3052	-0.9766	1.2207	-1.0107	19.4348	11.2006	44.3800	71	134	-120	100553	0.64 
160.924	-0.3608	-0.0068	0.9575	0.0000	-1.0986	0.7324	-0.9998	19.3524	11.2170	44.3800	71	133	-122	100553	0.64 
161.064	-0.3696	-0.0186	0.9463	1.2207	-1.0376	1.8921	-0.8954	19.3304	11.2170	44.4000	68	131	-125	100553	0.64 
161.142	-0.4028	-0.0664	0.8096	0.6714	22.4609	-9.5825	-0.9338	20.0885	10.6403	44.4000	66	132	-123	100552	0.64 
161.283	-0.5063	0.0879	0.7285	12.6343	34.5459	-23.2544	-0.9338	24.6039	7.7618	44.3900	73	132	-124	100552	0.65 
161.345	-0.3887	-0.0181	0.5464	-4.2114	70.9839	27.4048	0.6757	30.3882	8.7067	44.3900	77	130	-123	100552	0.64 
161.454	-0.4561	-0.0479	0.5405	-5.7983	60.4858	-18.5547	-0.5603	37.1393	7.9651	44.3900	93	132	-117	100552	0.64 
161.548	-0.3989	0.0034	0.7607	-9.8877	4.2725	15.0146	-0.6647	40.2374	8.7286	44.3900	107	133	-106	100552	0.64 
161.673	-0.7065	-0.0601	0.8105	-3.7231	-30.7617	-8.9111	-1.7963	39.0454	7.8552	44.4000	113	130	-101	100553	0.64 
161.752	-0.6929	-0.0854	0.9741	-5.4932	-32.4707	2.0752	-2.4390	35.7990	7.8113	44.3900	104	127	-101	100554	0.64 
161.892	-0.7280	0.0063	1.2319	-5.8594	-66.8335	10.9863	-2.4774	30.9705	8.9648	44.3800	95	126	-99	100555	0.64 
161.970	-0.4331	-0.0083	1.1499	-0.2441	-59.4482	7.6294	-2.2247	24.8730	10.5853	44.3800	87	130	-103	100556	0.64 
162.080	-0.3735	-0.0557	1.1606	6.2256	-48.9502	12.8174	-1.0492	18.7756	12.5464	44.3800	75	127	-106	100556	0.64 
162.158	-0.2764	-0.0283	1.2451	4.4556	-31.9824	0.1221	-0.6866	14.2328	12.9474	44.3800	66	126	-109	100556	0.64 
162.314	-0.0542	0.0166	0.9375	3.1128	-10.8032	-3.7842	-0.2856	11.5247	13.0682	44.3600	59	125	-107	100557	0.64 
162.361	-0.1484	0.0200	0.9775	1.5259	-17.7002	1.4648	0.1648	10.5139	13.5242	44.3800	58	129	-108	100557	0.64 
162.501	-0.2109	-0.0317	1.0283	-3.5400	-5.9814	1.7700	-0.0220	9.0363	13.7823	44.3800	54	129	-111	100557	0.64 
162.580	-0.1670	-0.0005	1.0332	-1.8311	-2.3804	1.0986	-0.3296	8.7616	13.8373	44.3700	50	132	-107	100557	0.64 
162.675	-0.1519	-0.0225	0.9961	-0.9766	0.9155	1.8311	-0.3680	8.8330	14.1669	44.3500	51	128	-106	100557	0.64 
162.754	-0.1758	-0.0210	1.0068	-0.3662	1.7090	0.0610	-0.4779	9.0308	14.2053	44.3600	50	129	-106	100557	0.64 
162.910	-0.1875	0.0044	1.0234	-2.3193	1.4648	-0.6714	-0.5878	9.3494	14.1559	44.3700	53	128	-108	100558	0.64 
162.972	-0.1934	-0.0093	1.0176	-2.7466	2.4414	-2.8076	-0.8679	9.6899	13.9417	44.3500	50	130	-109	100558	0.64 
163.083	-0.2051	-0.0381	0.9980	-1.8921	1.5869	-4.6997	-1.1920	9.8712	13.5132	44.3500	50	133	-106	100558	0.64 
163.176	-0.2046	-0.0322	1.0151	-0.4272	1.0376	0.0000	-1.3513	9.9591	13.1616	44.3500	51	135	-105	100559	0.64 
163.286	-0.1914	-0.0205	1.0137	-0.9766	0.3662	1.0986	-1.3898	10.0525	13.1671	44.3300	47	131	-107	100559	0.64 
163.364	-0.1948	-0.0205	1.0103	1.7700	1.4038	1.1597	-1.3623	10.1019	13.1177	44.3300	50	127	-106	100559	0.64 
163.489	-0.1855	-0.0210	1.0093	1.5869	-0.6104	1.3428	-1.1755	10.2393	13.3319	44.3300	51	130	-109	100559	0.64 
163.583	-0.2017	-0.0171	1.0015	2.0142	-2.9907	1.6479	-0.9448	10.2667	13.5297	44.2900	52	127	-106	100559	0.64 
163.692	-0.2114	-0.0161	1.0239	1.6479	4.0894	1.4038	-0.7526	10.3326	13.6121	44.3000	50	128	-107	100559	0.64 
163.755	-0.1865	0.0146	1.0117	0.0610	-4.3945	6.2256	-0.5383	10.2722	13.7878	44.3100	53	126	-106	100559	0.64 
163.911	-0.1685	-0.0371	0.9819	-5.7373	1.0986	13.9771	-0.6097	10.0800	14.8645	44.3000	52	125	-108	100559	0.64 
163.974	-0.1831	-0.0015	0.9966	-6.8359	12.6953	1.2207	-1.2305	11.1786	15.5841	44.3200	55	129	-108	100559	0.64 
164.099	-0.1245	-0.0015	1.0415	2.0752	24.5361	9.2773	-1.2360	13.0573	16.0400	44.3200	58	128	-109	100559	0.64 
164.162	-0.3066	-0.1050	1.2935	-5.3711	49.9878	4.0283	-1.6644	16.1499	16.9189	44.3500	67	126	-105	100558	0.64 
164.302	-0.4932	-0.0635	1.5615	1.2207	72.8149	-44.3115	-1.5326	23.0878	16.7432	44.3200	80	123	-97	100558	0.64 
164.365	-0.6646	-0.0137	1.1094	8.4839	68.2373	-16.1133	-2.5543	29.2346	12.9968	44.3300	84	124	-90	100558	0.64 
164.459	-0.7017	-0.0693	1.1646	7.9956	-19.5923	-3.7842	-2.9333	32.4646	10.9094	44.3200	90	129	-92	100557	0.64 
164.614	-0.2964	-0.0493	0.6226	3.7842	-25.6958	-6.4697	-2.9388	28.1085	10.5469	44.2900	80	132	-100	100557	0.64 
164.677	-0.3145	-0.0425	0.5757	4.2114	-44.0674	0.3052	-2.8235	25.2301	10.0909	44.2800	73	135	-107	100557	0.64 
164.787	-0.2231	0.0146	0.3311	10.4980	-35.8887	4.4556	-1.6644	21.1707	9.9426	44.2800	63	135	-110	100556	0.64 
164.929	-0.4102	0.0239	0.6650	3.7842	1.4648	15.3198	-0.3131	20.6653	10.6018	44.2600	60	134	-117	100555	0.64 
164.976	-0.4878	-0.0884	1.0049	-0.9155	-2.9297	0.2441	0.0220	21.2805	10.9369	44.2500	66	131	-115	100554	0.64 
165.070	-0.4014	0.0405	0.8813	-4.6387	-5.5542	6.2866	-0.2142	20.7092	10.8051	44.2700	62	130	-115	100554	0.64 
165.195	-0.4897	0.0225	1.0420	-3.0518	4.5776	11.4136	-0.4889	21.1157	11.0358	44.2700	61	130	-117	100553	0.64 
165.274	-0.3276	-0.0591	0.9346	-2.8687	-2.8076	9.8267	-0.2417	20.7642	12.2937	44.2800	64	127	-115	100553	0.64 
165.382	-0.3877	-0.0166	0.9766	-1.1597	2.3193	1.6479	-0.4669	20.8575	12.2223	44.2800	69	131	-114	100553	0.64 
165.570	-0.3530	-0.0259	0.9614	-0.3052	-3.4790	-0.5493	-0.4834	20.7861	12.2717	44.2800	69	132	-112	100553	0.64 
165.601	-0.3584	0.0078	0.9731	-0.6104	-3.2959	2.3193	-0.5109	20.4730	12.2278	44.3000	69	134	-113	100552	0.64 
165.664	-0.3540	-0.0244	0.9517	-1.8921	0.0000	4.4556	-0.4889	20.2643	12.5684	44.3000	68	133	-115	100552	0.64 
165.804	-0.3516	-0.0181	0.9634	-0.2441	-1.6479	0.2441	-0.6262	20.2368	12.5464	44.2900	66	129	-115	100552	0.64 
165.883	-0.3550	-0.0156	0.9731	-0.3662	0.6104	0.0610	-0.6702	20.1764	12.4420	44.3000	70	132	-117	100552	0.65 
165.992	-0.3379	-0.0142	0.9502	-0.7324	-0.1221	1.2817	-0.7361	20.0940	12.3157	44.3100	67	132	-116	100552	0.64 
166.070	-0.3540	-0.0078	0.9697	-0.1221	-0.6104	-0.0610	-0.7581	20.1160	12.2443	44.3100	67	131	-113	100553	0.64 
166.195	-0.3623	-0.0132	0.9751	-0.2441	-0.9766	0.5493	-0.7635	20.0446	12.1124	44.3200	70	132	-112	100553	0.64 
166.289	-0.3438	-0.0132	0.9658	-0.7324	0.9155	0.3662	-0.7800	19.9567	12.1674	44.3300	68	133	-113	100553	0.64 
166.398	-0.3555	-0.0181	0.9707	-0.2441	-0.1221	2.0142	-0.7800	20.0226	12.2498	44.3200	68	132	-114	100553	0.64 
166.492	-0.3472	-0.0156	0.9614	0.2441	0.6714	-0.4883	-0.8130	19.9677	12.2333	44.3400	71	128	-113	100553	0.64 
166.601	-0.3384	-0.0151	0.9619	0.2441	-1.0376	-0.4272	-0.7910	19.9017	12.1179	44.3400	67	134	-117	100554	0.64 
166.711	-0.3599	-0.0088	0.9712	0.1221	-1.7090	-0.7324	-0.7745	19.9347	11.8652	44.3400	67	130	-112	100554	0.64 
166.836	-0.3491	-0.0088	0.9624	0.0610	-0.7935	0.5493	-0.7581	19.8688	11.7224	44.3500	65	130	-112	100554	0.64 
166.883	-0.3477	-0.0166	0.9663	0.0000	-0.7935	-1.0376	-0.7635	19.7919	11.6290	44.3400	66	136	-115	100554	0.64 
166.993	-0.3535	-0.0117	0.9702	0.0610	0.4272	-1.0376	-0.7965	19.7424	11.4423	44.3500	67	131	-114	100554	0.64 
167.101	-0.3477	-0.0098	0.9668	0.0000	-0.5493	-0.8545	-0.8295	19.7040	11.2445	44.3700	66	131	-115	100554	0.64 
167.196	-0.3369	-0.0225	0.9683	-0.2441	-2.7466	-0.7324	-0.8789	19.5007	11.0797	44.3700	66	132	-116	100554	0.64 
167.290	-0.3286	-0.0059	0.9663	0.7324	-3.9673	-3.1128	-0.9283	19.3085	10.7227	44.3800	65	132	-119	100554	0.64 
167.417	-0.3364	0.0015	0.9746	0.6104	-0.6714	1.1597	-0.8514	19.1492	10.5688	44.3600	63	133	-114	100554	0.64 
167.495	-0.3447	-0.0156	0.9727	0.3662	-1.1597	1.0376	-0.7635	19.0887	10.6403	44.3900	61	131	-117	100554	0.64 
167.604	-0.3398	-0.0171	0.9683	0.0610	-1.2817	0.4883	-0.7306	18.9514	10.5688	44.4000	61	133	-119	100554	0.64 
167.683	-0.3291	-0.0063	0.9648	0.0000	-0.4883	2.0142	-0.6812	18.8965	10.5634	44.4000	62	134	-116	100554	0.64 
167.824	-0.3262	-0.0142	0.9756	-0.7935	-1.9531	1.7090	-0.6317	18.8086	10.6567	44.3900	64	131	-113	100554	0.64 
167.887	-0.3242	-0.0098	0.9785	-0.3052	-1.2817	0.0610	-0.6537	18.7756	10.7007	44.3900	60	134	-113	100554	0.64 
168.027	-0.3394	-0.0156	0.9731	0.0610	-1.0986	-1.0986	-0.6647	18.7097	10.5853	44.4100	61	133	-119	100554	0.64 
168.089	-0.3599	-0.0396	0.9517	0.3662	1.3428	-4.2725	-0.7965	18.7427	10.0909	44.4200	59	131	-116	100554	0.64 
168.214	-0.4375	0.0586	0.8701	-2.4414	14.7095	2.0752	-0.9503	19.6051	9.4647	44.4100	63	136	-120	100554	0.64 
168.292	-0.5518	-0.1475	0.8159	-6.8359	41.1377	-4.2114	-1.0602	23.9447	9.7339	44.4300	69	132	-115	100554	0.64 
168.417	-0.5259	0.0801	0.7256	-2.1362	51.5747	13.6108	-1.5051	28.8336	8.9923	44.4200	80	134	-116	100554	0.64 
168.511	-0.3740	-0.1167	0.4526	-1.0376	58.1055	9.4604	-0.3845	35.7275	10.8435	44.4300	93	131	-102	100553	0.64 
168.621	-0.3057	-0.0698	0.6226	-0.0610	64.3921	0.7324	-0.8624	40.9845	9.3933	44.4400	103	133	-98	100554	0.64 
168.730	-0.5557	0.0693	0.8125	9.8877	-23.2544	-6.3477	-0.3516	42.4677	10.1843	44.4200	117	127	-96	100554	0.64 
168.824	-0.8452	0.0317	1.0776	-6.5918	-33.5693	-5.0659	-0.6427	40.0287	9.9207	44.4200	115	126	-97	100555	0.64 
