step N
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1167.342	-1.5991	-0.0010	1.7061	13.4888	-2.8076	-16.3574	-0.2802	43.6816	123.6786	40.5300	130	-192	340	100952	0.31 
1167.483	-1.5957	0.0640	1.6748	3.4180	-1.5869	4.3945	0.1978	43.4180	122.7283	40.5400	136	-189	340	100952	0.31 
1167.576	-1.5522	-0.0503	1.5845	2.1362	-2.9907	-8.6060	1.0217	43.2532	123.1348	40.5400	137	-192	343	100951	0.31 
1167.686	-1.6328	-0.0146	1.7119	17.2119	-4.7607	-2.0752	0.3241	43.3521	121.0968	40.5400	137	-190	342	100951	0.31 
1167.795	-1.5859	0.0244	1.6792	7.2632	-4.1504	-6.7749	0.4724	42.8796	119.5367	40.5300	136	-188	346	100951	0.31 
1167.904	-1.5566	0.0039	1.6802	-4.9438	1.4648	9.2773	0.8899	42.5995	120.1135	40.5300	138	-186	343	100951	0.31 
1168.014	-1.5649	-0.0518	1.6948	-8.3618	-2.5024	9.7046	1.0272	42.6324	121.5363	40.5400	139	-187	342	100951	0.31 
1168.092	-1.5459	-0.0571	1.7139	3.5400	-3.6011	0.0000	1.1371	42.3798	122.0416	40.5500	134	-188	339	100951	0.31 
1168.218	-1.5386	0.0317	1.7139	4.3945	0.2441	-4.0283	1.3733	42.1820	121.5692	40.5500	136	-189	338	100951	0.31 
1168.327	-1.5376	-0.0078	1.6719	4.0283	3.6621	-0.7935	1.5051	42.3138	121.2781	40.5500	136	-190	341	100951	0.31 
1168.451	-1.6138	-0.0449	1.7197	6.9580	-3.6621	4.8828	2.3126	42.9675	121.6132	40.5500	135	-188	344	100951	0.31 
1168.530	-1.5708	0.0342	1.5732	9.5825	-14.4043	-8.2397	1.8567	42.5116	120.1300	40.5500	133	-187	342	100951	0.31 
1168.670	-1.5737	-0.0605	1.7007	-0.7935	-1.7090	4.0283	1.3678	42.5116	119.5422	40.5600	136	-188	342	100952	0.31 
1168.764	-1.5649	0.0117	1.6616	0.1221	-3.2349	-6.9580	1.3293	42.3083	119.3225	40.5400	137	-187	339	100952	0.31 
1168.858	-1.5791	-0.0449	1.6992	-1.9531	7.3853	3.0518	1.0876	42.7588	119.2566	40.5400	139	-185	339	100951	0.31 
1168.968	-1.5996	-0.0029	1.6992	-5.9204	2.0752	4.0894	0.9229	42.9950	119.5917	40.5400	137	-187	341	100951	0.31 
1169.077	-1.5811	-0.0283	1.7051	-2.6245	5.3711	5.6152	0.9668	43.2916	120.3937	40.5200	139	-188	344	100950	0.31 
1169.217	-1.5767	0.0122	1.6958	-3.4180	2.4414	2.5635	1.0272	43.4619	120.8112	40.5400	137	-189	343	100951	0.31 
1169.327	-1.5757	-0.0156	1.7119	-4.1504	2.6245	8.3008	1.2689	43.6926	121.7340	40.5400	137	-187	344	100950	0.31 
1169.420	-1.5850	0.0020	1.7007	-4.8828	-1.5869	7.9346	1.4063	43.6981	122.5195	40.5500	134	-188	342	100950	0.31 
1169.530	-1.5820	0.0308	1.6890	-11.9019	0.9155	24.2310	2.1588	43.5608	124.6454	40.5500	134	-193	344	100950	0.31 
1169.624	-1.5820	-0.0894	1.6860	-10.0098	1.8311	24.6582	3.3728	43.5718	128.1061	40.5300	129	-201	341	100950	0.31 
1169.733	-1.5801	-0.0044	1.6802	1.9531	2.8076	-1.0986	3.5101	43.7970	128.6829	40.5100	127	-204	341	100950	0.31 
1169.858	-1.6240	0.0439	1.6938	1.4038	10.4370	1.4648	3.7573	44.6210	128.4796	40.5200	126	-204	342	100950	0.31 
1169.952	-1.6309	0.0093	1.6909	1.8921	5.0049	3.5400	3.8123	45.2747	128.3478	40.5100	125	-204	342	100950	0.31 
1170.030	-1.6167	0.0361	1.6763	3.2349	-5.6763	2.8076	4.1144	45.0769	128.3148	40.5000	126	-206	347	100950	0.31 
1170.155	-1.6147	0.0581	1.6602	-1.5259	-1.5259	8.4229	4.6802	44.6484	128.8367	40.5100	123	-208	349	100950	0.31 
1170.265	-1.6128	0.0522	1.6768	-6.5308	3.9673	11.9019	5.0537	44.7034	129.9243	40.5200	121	-208	344	100950	0.31 
1170.389	-1.6021	0.0386	1.6597	-9.1553	6.4697	14.0381	5.5042	44.9286	131.6382	40.5100	121	-211	345	100950	0.31 
1170.468	-1.6294	0.0396	1.6792	-7.7515	5.5542	13.3057	5.6909	45.4285	133.0554	40.5200	118	-214	344	100950	0.31 
1170.592	-1.6362	0.0244	1.6533	-2.9297	6.8359	3.1738	5.8722	45.8020	133.8904	40.5300	118	-215	347	100950	0.31 
1170.717	-1.6558	0.0439	1.6582	0.0000	3.4180	-0.8545	5.6250	46.3184	133.5443	40.5200	116	-220	347	100950	0.31 
1170.780	-1.6626	0.0371	1.6558	2.8687	0.2441	-4.1504	5.2295	46.4502	132.6764	40.5400	116	-217	347	100951	0.31 
1170.905	-1.6470	0.0449	1.6460	6.3477	-0.9155	-7.7515	4.8340	46.2964	131.2976	40.5400	114	-216	347	100950	0.31 
1171.015	-1.6426	0.0640	1.6470	7.9956	-0.4272	-8.6670	4.5319	46.1371	129.7266	40.5300	120	-211	349	100951	0.31 
1171.124	-1.6172	0.0835	1.6514	7.8125	-3.0518	-9.5825	4.3066	45.9833	128.1226	40.5600	121	-211	353	100951	0.31 
1171.218	-1.6182	0.0781	1.6514	1.7090	0.8545	-3.9673	3.9716	45.8130	126.9690	40.5600	126	-208	354	100951	0.31 
1171.374	-1.6089	0.0640	1.6616	-2.3193	3.4790	1.2817	3.7408	45.9338	126.7053	40.5700	124	-206	351	100950	0.31 
1171.452	-1.6196	0.0293	1.6792	-3.9673	-0.0610	-2.8687	3.3673	46.0931	126.5515	40.5900	126	-207	351	100950	0.31 
1171.577	-1.6494	-0.0630	1.5781	-3.1738	3.3569	-9.2773	2.0874	46.1096	125.5078	40.5700	130	-209	354	100951	0.31 
1171.686	-1.6890	0.0415	1.8555	1.3428	7.1411	-39.1846	-0.8405	47.0435	121.1298	40.5700	131	-203	351	100951	0.31 
1171.780	-1.5371	-0.1387	1.5830	-24.7192	-6.7749	0.2441	-3.3234	45.8789	119.5532	40.5900	132	-197	350	100950	0.31 
1171.874	-1.5522	-0.1377	1.6992	-8.2397	12.6343	-14.2822	-6.1688	46.4117	117.8668	40.5800	135	-190	348	100950	0.31 
1171.999	-1.5117	-0.0571	1.6372	-0.9766	11.2305	-6.0425	-7.5476	46.8896	115.9332	40.5700	138	-191	350	100950	0.31 
