StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1427.120	-1.5161	-0.0405	1.7246	-0.0610	-3.8452	-0.9766	-0.8295	41.2152	92.3346	40.9500	-76	-8	199	100943	0.32 
1427.229	-1.5195	-0.0537	1.7256	2.5024	-1.4038	-2.8687	-0.9833	41.0559	91.9611	40.9500	-74	-9	203	100943	0.32 
1427.338	-1.5298	-0.0322	1.7310	0.4272	-0.3052	-0.6104	-1.1096	41.0339	91.5546	40.9300	-75	-6	200	100943	0.32 
1427.448	-1.5317	-0.0439	1.7354	-2.9297	-2.2583	4.1504	-0.9998	40.9625	91.9830	40.9400	-76	-3	201	100943	0.32 
1427.526	-1.5259	-0.0664	1.7402	-1.2207	-1.2207	5.1270	-0.9393	40.8197	92.3401	40.9400	-75	-6	204	100943	0.32 
1427.651	-1.5288	-0.0469	1.7207	-0.7324	-1.9531	-0.3052	-0.8459	40.7703	92.3016	40.9300	-75	-1	203	100943	0.32 
1427.761	-1.5718	-0.0972	1.7046	-2.9907	-0.6104	1.0376	-1.0107	40.7867	92.2742	40.9400	-75	-2	200	100943	0.32 
1427.854	-1.5566	-0.0796	1.6816	1.9531	4.0894	-1.6479	-1.1700	40.9680	91.7194	40.9500	-74	-1	205	100943	0.32 
1428.041	-1.5576	-0.0635	1.5781	1.2817	13.9771	-1.3428	-1.0931	41.9568	91.2415	40.9300	-79	-2	202	100943	0.32 
1428.120	-1.6084	-0.0342	1.6387	-13.9771	26.7334	4.2114	-1.5106	44.5825	91.3623	40.9400	-72	-3	202	100942	0.32 
1428.166	-1.5918	-0.1621	1.6177	-22.3389	27.0996	1.1597	-3.2684	47.2577	91.3953	40.9500	-66	0	208	100943	0.32 
1428.291	-1.5796	-0.0840	1.6660	-21.7285	-0.7324	-1.9531	-5.1251	48.5980	91.0437	40.9400	-64	0	207	100943	0.32 
1428.416	-1.5098	-0.1230	1.5835	-15.5640	-28.4424	-1.2207	-6.9269	46.4667	90.4010	40.9400	-67	8	213	100943	0.32 
1428.495	-1.5483	-0.1567	1.6758	-11.0474	-46.5088	3.7231	-8.0804	42.7588	90.0439	40.9400	-76	13	216	100943	0.32 
1428.651	-1.5908	-0.3672	1.8853	6.6528	-76.4160	0.1221	-7.3718	37.6556	90.0824	40.9500	-85	13	221	100944	0.32 
1428.729	-1.4482	0.0410	2.1558	30.2734	-85.6934	21.7896	-3.4167	29.0039	90.8240	40.9300	-106	10	224	100944	0.32 
1428.807	-1.0693	-0.1802	1.8164	17.1509	-37.8418	30.2734	0.7800	23.6920	92.4005	40.9100	-120	7	226	100945	0.32 
1428.917	-1.1963	-0.0356	1.8887	4.3945	-37.1704	11.7798	1.9116	20.7312	91.2250	40.9000	-127	4	224	100945	0.32 
1429.026	-1.0972	-0.1089	1.9038	6.1646	-31.8604	10.1929	2.7026	17.4463	90.0165	40.9100	-129	6	230	100945	0.32 
1429.135	-1.0396	-0.0684	1.8848	3.7231	-15.4419	-6.4697	3.8287	15.6226	84.7101	40.9000	-136	2	230	100945	0.32 
1429.229	-0.9854	0.0068	1.8833	3.3569	-14.7705	-3.1128	4.6582	14.6503	77.7942	40.9000	-141	1	232	100946	0.32 
1429.354	-0.9634	-0.0435	1.8643	2.3193	-10.3149	-1.2207	5.6580	13.8043	71.1255	40.8900	-145	1	232	100946	0.32 
1429.432	-0.9775	-0.0107	1.8818	5.3711	-6.6528	-2.9297	6.5863	13.7659	64.3854	40.9000	-145	1	235	100946	0.32 
1429.525	-0.9658	0.0093	1.8843	4.9438	-2.1973	-0.1221	7.7893	14.0680	58.0023	40.8900	-147	-2	230	100946	0.32 
1429.636	-0.9653	0.0117	1.8667	4.6997	1.2817	0.9155	8.9648	14.7107	51.5808	40.9000	-151	-4	231	100946	0.32 
1429.735	-0.9888	-0.0132	1.8906	6.5918	2.7466	4.2725	10.0690	15.6995	45.6592	40.8900	-151	-3	227	100946	0.32 
1429.876	-0.9922	0.0562	1.8960	5.3711	7.6294	-3.2959	11.2445	16.7706	39.5782	40.9000	-148	-4	228	100946	0.32 
1429.938	-1.0010	0.0313	1.8682	4.1504	7.6904	1.2207	12.2113	18.1989	33.3380	40.9000	-151	-2	227	100946	0.32 
1430.063	-1.0313	0.0464	1.8862	1.9531	3.2349	3.8452	12.9968	19.5337	27.5482	40.8800	-146	-6	223	100946	0.32 
1430.173	-1.0327	0.0649	1.8994	0.9155	5.3101	0.5493	13.4857	20.6818	21.5167	40.8900	-146	-6	225	100945	0.32 
1430.266	-1.0366	0.0635	1.8701	-1.2207	0.0610	-0.3662	13.7769	21.5552	15.1996	40.8700	-147	-8	223	100946	0.32 
1430.360	-1.0278	0.0493	1.8857	-4.4556	-0.3052	-0.7935	13.6176	22.3737	9.0308	40.8900	-144	-3	226	100945	0.32 
1430.469	-1.0352	0.0273	1.8877	-2.3804	-0.1831	-0.7324	13.1287	23.1262	3.2574	40.8700	-145	-5	223	100945	0.32 
1430.579	-1.0405	0.0166	1.8945	-1.7700	-0.1221	0.5493	12.8101	23.7579	-2.3071	40.8700	-143	-3	226	100945	0.32 
1430.641	-1.0225	0.0293	1.8975	-1.0376	-1.9531	0.9766	12.4310	24.3347	-7.6300	40.9000	-147	-3	226	100945	0.32 
1430.767	-1.0132	0.0381	1.8765	-2.0752	-0.5493	-0.3052	12.1124	24.7522	-12.7551	40.8800	-148	-5	227	100945	0.32 
1430.892	-1.0200	0.0264	1.8857	-1.2817	-1.1597	0.3662	11.6565	25.2960	-17.5616	40.8700	-147	-3	225	100946	0.32 
1430.970	-1.0249	0.0176	1.8906	-0.7935	-0.1221	0.6104	11.1951	25.7739	-21.9781	40.8800	-146	-4	224	100946	0.32 
1431.095	-1.0264	0.0205	1.8921	-0.3052	0.0000	0.7935	10.7776	26.2024	-26.1145	40.8700	-147	-4	230	100945	0.32 
1431.173	-1.0327	0.0161	1.8901	-0.6104	-0.5493	0.1221	10.3766	26.6089	-30.3717	40.8700	-149	-5	231	100945	0.32 
1431.282	-1.0283	0.0239	1.8892	-0.6714	0.7324	0.6714	9.9591	26.9989	-34.5685	40.8700	-148	-5	228	100945	0.32 
1431.376	-1.0264	0.0205	1.8926	-0.3052	-0.1831	0.9766	9.5746	27.3560	-38.4302	40.8800	-149	-5	232	100945	0.32 
1431.501	-1.0190	0.0166	1.8896	-0.1831	-0.4272	0.3662	9.1791	27.6251	-42.0941	40.8800	-149	-4	228	100945	0.32 
1431.580	-1.0249	0.0225	1.8892	-0.2441	0.4272	0.5493	8.7891	27.8998	-45.8624	40.8800	-147	-5	230	100944	0.32 
1431.704	-1.0225	0.0220	1.8911	0.0000	0.1831	0.7935	8.4045	28.1470	-49.3066	40.8900	-147	-6	226	100944	0.32 
1431.814	-1.0264	0.0215	1.8892	0.7324	-0.1221	0.3662	8.0914	28.3667	-52.7454	40.8900	-147	-5	229	100944	0.32 
1431.907	-1.0156	0.0195	1.8892	0.1221	0.0610	0.7935	7.7893	28.4216	-55.7336	40.8800	-149	-5	227	100944	0.32 
1432.017	-1.0181	0.0278	1.8823	-0.1831	-0.4883	0.3052	7.4487	28.5150	-58.6505	40.8800	-148	-4	229	100944	0.32 
1432.111	-1.0166	0.0273	1.8823	0.3662	-1.8311	0.6714	7.1136	28.5919	-61.3257	40.8700	-147	-3	229	100944	0.32 
1432.205	-1.0259	0.0249	1.8921	0.2441	0.6104	1.2817	6.8500	28.7018	-63.6163	40.8900	-146	-3	226	100944	0.32 
1432.298	-0.9980	0.0215	1.8794	-0.3052	3.2959	0.6714	6.5314	28.8446	-66.0059	40.8600	-146	-7	228	100944	0.32 
1432.423	-1.0195	0.0244	1.8818	-0.7935	3.7231	0.6714	6.2347	29.2017	-68.4833	40.8700	-145	-5	225	100944	0.32 
1432.532	-1.0435	0.0249	1.8926	0.0000	2.8687	1.1597	5.9216	29.6521	-71.0046	40.8800	-147	-5	228	100944	0.32 
1432.611	-1.0435	0.0249	1.8872	-0.6104	-0.2441	0.7935	5.6360	29.7620	-73.4052	40.8800	-148	-6	226	100944	0.32 
1432.736	-1.0171	0.0293	1.8828	-0.5493	2.3193	0.7935	5.3558	29.8608	-75.6079	40.8700	-145	-4	227	100944	0.32 
1432.830	-1.0474	0.0215	1.8779	-0.9766	-0.9766	0.4272	5.0427	29.8773	-77.5690	40.8800	-146	-4	228	100944	0.32 
1432.924	-1.0239	0.0186	1.8838	-0.4883	-0.6104	0.7324	4.7406	29.8114	-79.3103	40.8700	-146	-6	226	100944	0.32 
1433.095	-1.0400	0.0142	1.8857	-0.5493	-0.1831	0.0000	4.4550	29.7784	-81.1285	40.8900	-144	-6	227	100944	0.32 
1433.142	-1.0244	0.0244	1.8755	-1.5869	1.7090	1.1597	4.1748	29.8334	-82.6721	40.8700	-147	-6	227	100944	0.32 
1433.251	-1.0171	0.0332	1.8809	-6.5918	8.6060	1.0376	3.6365	30.2454	-84.1663	40.8800	-149	-3	227	100944	0.32 
1433.361	-1.0317	0.0093	1.8828	-6.6528	11.3525	1.6479	2.9169	31.2122	-85.2264	40.8800	-145	-4	226	100944	0.32 
1433.454	-1.0649	0.0000	1.8711	-5.9204	20.7520	4.3335	2.2797	32.7502	-85.9845	40.8800	-140	-2	228	100943	0.32 
1433.549	-1.0850	-0.0293	1.8574	-6.7749	29.4189	1.8921	1.7963	35.0299	-83.7872	40.8700	-137	0	223	100944	0.32 
1433.658	-1.0713	0.0527	1.8691	-16.1743	68.4204	2.3804	0.9833	39.0729	-82.0239	40.8800	-125	4	221	100944	0.32 
1433.752	-1.3027	-0.0645	1.8828	-13.1836	81.3599	-2.1973	0.4559	46.9775	-75.0311	40.8600	-107	9	221	100943	0.32 
1433.908	-1.6753	-0.0654	1.9683	-11.6577	81.7871	-12.5122	-1.7084	55.6677	-69.5819	40.8700	-82	12	217	100944	0.32 
1433.986	-1.6826	-0.2173	1.7607	10.3760	38.7573	-37.0483	-3.4222	60.6720	-65.7697	40.8600	-71	13	216	100944	0.32 
1434.080	-1.6348	-0.0347	1.6655	20.2637	22.7051	-12.8174	-6.0864	62.2375	-65.0665	40.8300	-69	12	218	100944	0.32 
1434.205	-1.6870	-0.1465	1.6387	13.6108	15.9912	14.9536	-1.3403	63.9020	-55.5029	40.8100	-62	8	212	100944	0.32 
1434.283	-1.6387	-0.0850	1.5669	15.4419	11.5967	6.6528	4.2023	64.3250	-45.1483	40.8000	-56	3	212	100945	0.32 
1434.408	-1.6519	-0.1001	1.5649	16.0522	16.5405	10.1929	10.0854	64.9072	-34.5795	40.7800	-48	0	208	100945	0.32 
1434.486	-1.6519	-0.0078	1.5625	10.6812	-3.3569	-2.3804	13.3484	64.1876	-26.6034	40.7800	-42	-4	205	100944	0.32 
1434.611	-1.6699	0.0264	1.5815	11.2305	-10.3760	6.8359	16.0400	62.4518	-18.9404	40.7800	-46	-8	209	100944	0.32 
1434.736	-1.6338	0.0161	1.5415	10.0098	-6.5918	4.8828	17.6440	60.0238	-12.3816	40.7800	-47	-9	207	100944	0.32 
1434.814	-1.6621	0.0571	1.5923	0.8545	-12.8174	4.2725	18.7756	57.9968	-6.1798	40.7900	-46	-10	203	100943	0.32 
1434.970	-1.6460	0.0459	1.6597	-14.8926	-15.4419	12.2070	18.7372	55.5029	0.3955	40.7700	-49	-10	204	100943	0.32 
1435.048	-1.5977	-0.0605	1.6797	-12.3901	-12.3901	6.8359	18.1494	52.9266	6.8280	40.7700	-48	-7	206	100943	0.32 
1435.142	-1.5771	0.0303	1.6328	-10.7422	-19.8975	8.5449	16.7432	50.2570	11.6235	40.7800	-51	-7	206	100943	0.32 
1435.221	-1.5537	-0.0088	1.6895	-7.9956	-0.2441	11.4136	16.7816	48.4003	17.9681	40.7900	-52	-4	209	100943	0.32 
1435.345	-1.5591	-0.0249	1.7148	0.4883	2.8687	-3.2349	16.1389	47.5873	22.4945	40.7700	-54	-2	209	100943	0.32 
1435.424	-1.5767	0.0088	1.7041	6.6528	8.1787	-10.9863	15.3644	47.6477	25.4993	40.7900	-54	-2	210	100942	0.32 
1435.564	-1.6094	0.0127	1.6904	6.2256	1.4648	-4.1504	14.7162	47.9828	28.1799	40.7800	-52	-7	208	100943	0.32 
1435.642	-1.5820	-0.0068	1.6528	1.7090	-2.3193	-5.0049	14.4250	47.3511	31.7120	40.7900	-54	-7	212	100943	0.32 
1435.783	-1.5659	0.0439	1.6934	-10.3149	13.4277	-2.3804	12.9529	47.3785	34.6564	40.7800	-54	-9	207	100942	0.32 
1435.892	-1.6074	-0.0610	1.7314	-5.9204	-2.9907	2.2583	11.4258	47.2357	38.1061	40.7900	-53	-4	208	100942	0.32 
1435.986	-1.6104	-0.0068	1.6943	6.0425	-1.5259	5.6763	11.2939	46.6974	41.4514	40.8000	-53	-3	209	100943	0.32 
1436.095	-1.5737	0.0205	1.6792	-4.4556	-3.1128	1.7700	11.1511	46.0272	44.6759	40.7900	-56	-7	211	100943	0.32 
1436.190	-1.6011	-0.0020	1.7070	-6.7139	-0.6104	7.7515	10.1569	45.2911	47.7246	40.8000	-52	0	211	100943	0.32 
1436.283	-1.5562	-0.0410	1.6953	-2.7466	2.1973	10.6812	10.5084	44.8132	51.9379	40.8100	-50	-1	214	100943	0.32 
1436.392	-1.5898	-0.0342	1.6807	-0.5493	-2.5635	1.0986	10.0415	44.4781	54.3988	40.7900	-51	-2	214	100943	0.32 
1436.487	-1.5649	-0.0068	1.7036	2.8076	-1.8311	-3.8452	9.3549	44.0936	56.0468	40.8000	-52	-1	210	100943	0.32 
1436.611	-1.5806	0.0000	1.7002	0.9766	-2.6245	0.0000	8.8934	43.8574	57.7551	40.8000	-51	0	209	100943	0.32 
