run 10 
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
453.581	-1.2505	0.0352	1.8579	-1.5869	-3.6621	4.1504	2.9553	32.1075	140.2734	40.3100	71	-223	275	100951	0.31 
453.706	-1.2222	0.0337	1.8721	0.7324	0.5493	3.8452	3.1256	32.0142	140.6470	40.3300	74	-222	276	100951	0.31 
453.784	-1.2314	0.0229	1.8638	0.7935	4.1504	2.1973	3.2794	32.2394	140.8887	40.3300	72	-225	274	100951	0.31 
453.956	-1.2412	0.0220	1.8618	1.3428	2.6245	-0.7324	3.3289	32.5909	140.8282	40.3200	71	-226	276	100952	0.31 
454.050	-1.2427	0.0317	1.8418	0.9155	1.2207	-1.8311	3.2629	32.8271	140.5591	40.3300	74	-229	281	100952	0.31 
454.159	-1.2363	-0.0176	1.8687	-0.9766	1.6479	0.1831	3.0103	33.1018	140.2734	40.3200	70	-226	276	100952	0.31 
454.222	-1.1514	-0.0200	1.8511	-0.3052	1.2817	0.4883	2.7521	33.2941	140.0208	40.3300	70	-223	278	100952	0.31 
454.315	-1.2227	0.0044	1.7861	6.1646	13.7939	2.6855	3.0707	33.9587	140.2570	40.3500	74	-223	278	100952	0.31 
454.440	-1.1387	0.1426	1.6299	9.7656	20.4468	26.1841	5.1691	35.7111	142.3059	40.3400	74	-225	286	100951	0.31 
454.597	-1.2700	0.0601	1.8306	12.2681	29.0527	21.3623	8.1354	38.6664	146.3159	40.3600	72	-234	289	100952	0.31 
454.659	-1.3110	-0.1753	2.1465	6.3477	16.2964	-0.9155	9.1406	40.8032	147.6288	40.3500	71	-242	300	100952	0.31 
454.737	-1.3657	0.0908	2.2734	18.1274	27.8320	-14.4653	9.8767	42.8467	146.3763	40.3300	79	-238	312	100952	0.31 
454.878	-1.1709	-0.1011	1.3877	-12.9395	-34.3018	-19.7144	8.6572	41.8304	144.5416	40.3100	82	-237	316	100952	0.31 
454.987	-1.5957	1.1304	0.8145	18.6157	60.8521	33.3252	4.5538	40.1056	138.9166	40.2800	84	-232	302	100952	0.31 
455.081	-1.0718	0.1719	1.7881	8.9111	45.9595	-19.4702	7.2290	43.0554	142.5311	40.2800	88	-237	313	100953	0.31 
455.160	-1.3389	-0.2231	1.9541	3.7842	-42.1143	-36.7432	4.7461	44.0717	139.6088	40.2700	95	-233	318	100953	0.31 
455.285	-1.0293	0.2319	0.6753	-17.7002	-29.8462	51.6357	3.3783	39.3915	138.3618	40.2000	100	-228	306	100953	0.31 
455.394	-1.7515	0.1548	2.6338	-27.4658	-0.3662	1.6479	4.1473	43.7750	141.2183	40.1900	94	-235	307	100952	0.31 
455.488	-1.3228	0.0674	2.3120	-7.3853	-31.0059	39.0625	5.7294	43.1927	143.4924	40.2000	96	-238	309	100953	0.31 
455.612	-1.0542	-0.1221	0.6509	-9.7046	-41.6870	-36.8652	3.6475	38.9355	140.9326	40.1600	88	-237	298	100953	0.31 
455.722	-2.1616	1.8086	1.5640	66.9556	128.2959	60.2417	1.9995	39.4409	135.0714	40.1300	99	-230	289	100953	0.31 
455.831	-1.5176	0.6797	2.2847	-14.7095	68.2373	17.6392	4.2188	41.8414	138.7189	40.1100	98	-233	304	100953	0.31 
455.925	-0.8633	0.2192	0.6719	-2.5635	-78.0640	2.3804	4.0979	37.5952	140.8118	40.1000	89	-238	292	100953	0.31 
456.019	-1.1631	-0.2544	0.6685	-28.5034	35.0342	92.3462	6.7731	35.7880	148.3539	40.0600	75	-242	271	100953	0.31 
456.222	-1.2432	-0.2397	2.2466	-20.5688	2.1362	38.8794	8.4540	41.6986	152.4298	40.0600	71	-252	283	100953	0.31 
456.284	-1.0225	-0.0264	1.2817	-27.8931	-63.7207	8.3618	8.8220	39.6552	154.0833	40.0300	66	-257	282	100952	0.31 
456.363	-1.0205	0.4155	0.8789	10.8643	-29.6021	-76.2329	1.9336	37.0789	143.8110	39.9900	66	-254	271	100953	0.31 
456.472	-1.1851	-0.0776	2.8276	3.0518	-100.2197	-44.9829	4.8889	42.0996	145.5963	39.9800	78	-251	284	100953	0.31 
