walk 15
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
193.415	-1.2617	0.0313	1.8486	-0.3662	-1.0986	1.0376	0.3955	32.7448	136.5765	40.6500	63	-226	298	100961	0.30 
193.510	-1.2529	0.0464	1.8569	-0.9766	-1.4038	4.0894	0.5438	32.7008	136.8896	40.6500	63	-227	295	100960	0.30 
193.603	-1.2534	0.0537	1.8525	-1.6479	-2.5024	7.5684	0.8295	32.6184	137.6147	40.6500	61	-228	291	100960	0.30 
193.728	-1.2534	0.0488	1.8423	-2.0142	-2.5635	8.6060	1.2250	32.4701	138.6694	40.6400	59	-228	293	100960	0.30 
193.853	-1.2422	0.0283	1.8613	-2.3804	0.3052	7.6904	1.5491	32.3767	139.7241	40.6500	55	-230	291	100960	0.30 
193.947	-1.2539	0.0303	1.8486	-0.7324	1.1597	1.8921	1.5765	32.5140	140.1306	40.6400	53	-235	293	100960	0.30 
194.072	-1.2427	0.0244	1.8604	-1.4038	0.0000	1.2207	1.5326	32.6624	140.3119	40.6500	52	-233	289	100960	0.30 
194.150	-1.2578	0.0361	1.8589	-0.7935	0.0610	-1.0376	1.3403	32.7722	140.1416	40.6500	53	-233	291	100960	0.30 
194.260	-1.2515	0.0171	1.8530	-0.3052	-0.7935	-2.6855	1.1536	32.7997	139.9329	40.6700	53	-234	289	100960	0.30 
194.354	-1.2378	0.0229	1.8423	-0.1831	-0.2441	-3.2959	0.9009	32.8107	139.5154	40.6500	57	-234	291	100960	0.30 
194.462	-1.2588	0.0107	1.8540	0.4272	1.5259	-5.6152	0.6592	33.0579	139.0704	40.6700	54	-230	291	100960	0.30 
194.603	-1.2412	-0.0117	1.8496	0.9155	0.3052	-3.3569	0.5054	33.3325	138.6420	40.6600	54	-232	290	100960	0.30 
194.728	-1.2207	0.0654	1.7896	-0.1221	-3.6011	-3.4180	0.4230	33.3875	138.5046	40.6700	56	-233	291	100960	0.30 
194.791	-1.2710	-0.0181	1.8384	0.4272	2.5635	-2.4414	0.5054	33.7610	138.9111	40.6800	56	-229	289	100960	0.30 
194.901	-1.2510	-0.0098	1.8730	-0.6714	0.1831	-2.0142	0.5603	34.0521	138.9716	40.6700	58	-234	290	100959	0.30 
194.994	-1.2515	-0.0186	1.8374	-1.5869	0.3662	-2.2583	0.3625	34.1235	138.9935	40.6700	56	-232	290	100960	0.30 
195.150	-1.2803	-0.0308	1.8115	-1.2207	8.9111	-6.5918	-0.1373	34.7772	138.3124	40.6700	58	-229	292	100959	0.30 
195.228	-1.2954	-0.0386	1.9126	-10.6812	1.4038	2.9907	-0.4834	35.5902	138.4003	40.6900	61	-227	292	100959	0.30 
195.307	-1.1675	-0.0522	1.8511	-8.5449	1.2207	3.1128	-1.4337	35.7275	138.4167	40.6800	63	-227	292	100959	0.30 
195.416	-1.1855	-0.0122	1.8994	-1.9531	11.1694	21.7896	-0.9119	36.2549	139.9438	40.7000	61	-228	291	100959	0.30 
195.588	-1.2622	-0.1362	1.9473	-1.3428	13.3667	18.4326	0.6702	37.1063	142.8827	40.6800	57	-235	291	100959	0.30 
195.806	-1.1421	-0.0820	1.9102	8.9111	-10.2539	6.5308	1.5051	36.3098	143.9923	40.6700	52	-235	293	100959	0.30 
195.869	-1.3828	0.0698	1.5781	-11.1694	-6.3477	-3.1738	1.8842	35.2551	143.8110	40.6700	50	-239	297	100960	0.30 
195.947	-1.3530	-0.0693	1.8315	13.7329	-11.1084	-15.5640	1.6644	35.0024	142.7728	40.6600	48	-238	294	100959	0.30 
196.025	-1.2349	0.0991	1.7397	27.0386	4.5776	-36.9873	1.9556	34.4586	139.5209	40.6300	54	-237	294	100959	0.30 
196.088	-1.1621	0.0322	1.7837	14.1602	9.8877	-37.3535	1.7468	35.1837	135.6537	40.6000	66	-236	301	100960	0.30 
196.197	-1.1875	0.2759	2.0249	8.7280	3.4790	-28.6865	-0.2197	35.3265	131.0394	40.5900	79	-227	303	100960	0.30 
196.447	-1.8418	0.1768	1.9458	11.2915	-20.2637	10.9253	-0.1263	33.4314	130.6110	40.5800	85	-221	306	100960	0.30 
198.123	-1.3188	0.1899	1.8638	-4.6387	-6.4697	-7.9346	0.2692	32.0636	130.0452	40.5800	83	-221	300	100960	0.30 
199.696	-1.1392	-0.0347	1.5718	-20.9961	4.2114	25.3906	-0.5603	31.8823	132.0337	40.5700	82	-223	295	100960	0.30 
199.774	-1.1816	-0.0620	1.8530	-12.6953	22.1558	30.8228	-0.1868	33.8434	135.7416	40.5700	75	-225	293	100960	0.30 
199.852	-1.1641	-0.2554	2.0137	-18.9209	-8.9722	60.1807	1.7468	34.1290	141.3391	40.5700	71	-232	291	100959	0.30 
199.883	-1.7334	0.4287	1.8267	-20.5078	-11.9019	2.6245	-0.2747	33.5028	140.5261	40.5900	62	-235	284	100959	0.30 
199.946	-1.4795	-0.0264	1.9116	-5.5542	-11.0474	16.0522	-1.3733	33.5303	141.5808	40.5800	58	-235	279	100959	0.30 
199.993	-1.1553	0.0015	1.8721	15.6250	14.9536	-20.9961	0.5438	35.2441	134.4562	40.5600	79	-234	291	100960	0.30 
200.086	-1.2930	0.4590	2.2539	-5.3711	6.2866	24.7192	1.8677	35.3870	137.9114	40.5100	86	-247	299	100961	0.30 
200.149	-1.2021	-0.2603	2.0283	-16.4185	-3.9673	-2.5024	2.0874	34.6014	140.3009	40.5200	80	-252	295	100961	0.30 
200.211	-1.4336	-0.0332	1.9219	-14.8315	12.6343	-4.1504	0.3021	34.6674	140.6689	40.5000	72	-256	288	100960	0.30 
200.290	-1.3174	-0.1172	1.7251	16.9678	-10.3149	1.4648	0.8514	34.1345	141.4764	40.5000	70	-255	284	100960	0.30 
200.337	-1.2031	0.0972	1.7134	22.9492	9.5215	-33.6304	1.2579	34.2444	138.5760	40.4700	67	-254	290	100960	0.30 
200.383	-1.1313	-0.0532	1.9224	8.7280	3.9673	-31.6772	1.1975	35.3320	135.6866	40.4900	75	-257	296	100961	0.30 
200.477	-1.1367	-0.1802	1.8774	-12.0239	-10.9253	-7.5684	0.7745	34.2828	134.5770	40.4800	85	-253	301	100960	0.30 
200.556	-1.3960	0.0986	1.9209	8.4839	13.8550	-16.1743	1.5710	33.6346	133.6926	40.4800	79	-257	300	100961	0.30 
200.680	-1.1982	-0.0400	1.4956	-24.3530	-7.2021	32.1045	1.4832	33.2831	135.5658	40.4700	78	-254	297	100960	0.30 
200.790	-1.1821	-0.0933	1.8232	-7.8735	7.9956	6.9580	1.7358	34.7882	138.7189	40.4700	65	-261	292	100961	0.30 
200.946	-1.2798	-0.3052	2.0537	-9.8267	0.9155	28.8696	2.2906	35.0793	141.2183	40.4800	57	-264	289	100961	0.30 
201.008	-1.7188	0.4058	1.7495	-20.5688	-2.9297	-8.5449	1.2360	34.6124	140.0647	40.4800	52	-262	286	100960	0.30 
201.118	-1.4370	-0.0776	1.8345	7.9346	-20.1416	0.7935	0.5164	34.5190	141.1304	40.4600	48	-260	284	100960	0.30 
201.227	-1.1621	0.0039	1.6792	14.8315	6.7749	-10.7422	1.8347	33.8434	140.8667	40.4800	41	-257	280	100960	0.30 
201.321	-1.0234	-0.0103	1.8003	7.1411	-4.6387	-30.0903	1.3129	34.6509	138.0652	40.4600	46	-257	284	100960	0.30 
201.431	-1.2461	0.0225	1.8906	1.0376	2.1973	-0.4883	0.7800	33.7885	136.7798	40.4800	51	-251	285	100960	0.30 
201.525	-0.9673	-0.0547	1.4678	-4.6997	-1.1597	-27.0386	1.5326	31.8109	136.6260	40.4700	43	-250	284	100960	0.30 
201.649	-1.2119	-0.1035	1.5981	-25.6348	-12.8784	14.4653	0.9338	32.3602	137.8070	40.4500	46	-248	283	100960	0.30 
201.758	-1.0625	-0.0630	1.8105	-7.4463	0.6104	8.7891	0.0000	32.8107	138.6475	40.4800	40	-245	276	100960	0.30 
201.837	-1.1084	-0.2500	2.0522	-18.3105	-17.4561	34.5459	0.4340	32.9480	141.4819	40.4600	35	-243	275	100960	0.30 
201.962	-1.7026	0.1958	1.8027	-27.7710	-1.2207	-15.6250	-0.4669	33.1073	141.7841	40.4600	31	-238	274	100960	0.30 
202.072	-1.4009	-0.1895	1.9873	6.8970	21.3623	11.5967	-0.6592	33.3160	143.0640	40.4400	30	-231	270	100960	0.30 
202.165	-1.2212	0.1138	1.7979	15.6250	22.5220	-19.1650	0.7141	33.9862	142.0862	40.4300	28	-235	274	100960	0.30 
202.275	-1.0791	-0.0874	1.7949	4.5776	25.1465	-27.0386	-0.0934	34.8761	139.4714	40.4100	37	-232	282	100960	0.30 
202.415	-0.9478	-0.2744	2.0269	-7.6904	-54.1992	2.7466	-0.3571	34.6509	138.4167	40.4100	43	-227	283	100960	0.30 
